schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B238-Q201,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,43e6fcce-78f4-40d5-b07a-af6e223358a0,L52-S15,,CLOZE_SINGLE,"La randonnée était éprouvante, mais ils ont atteint le refuge ___.",fr-FR,quand même,par conséquent,à cause de,afin que,fr-FR,A,پاسخ A صحیح است. quand même exprime souvent à l’oral une concession ou un reproche. در این بافت، «quand même» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,درست است. quand même exprime souvent à l’oral une concession ou un reproche.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,fa-IR,,c4b1940c-f57e-5633-88ef-fd8838a86e1a,5a0b8ab3-6dd3-59bb-a615-ba1b4572123a,d6c91dbe-38b0-5988-8298-07d7549a3255,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 254,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q202,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,e54f2f7b-da87-4e46-8f9b-02199d0fc984,L52-S06,,CLOZE_SINGLE,"La sonde a cessé de transmettre ; ___, la mission a activé le système de secours.",fr-FR,bien que,par conséquent,grâce à,pour que,fr-FR,B,"پاسخ B صحیح است. donc, par conséquent et alors introduisent une conséquence avec des nuances de registre. در این بافت، «par conséquent» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.","نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. donc, par conséquent et alors introduisent une conséquence avec des nuances de registre.","درست است. donc, par conséquent et alors introduisent une conséquence avec des nuances de registre.","نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. donc, par conséquent et alors introduisent une conséquence avec des nuances de registre.","نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. donc, par conséquent et alors introduisent une conséquence avec des nuances de registre.",fa-IR,5a0b8ab3-6dd3-59bb-a615-ba1b4572123a,,bcaa1423-da28-5a5f-ba8a-66b47122fa09,ebb074f1-ef7d-5e7a-964b-8cf43a67e3d9,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 252,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q203,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,43e6fcce-78f4-40d5-b07a-af6e223358a0,L52-S15,,CLOZE_SINGLE,Tu savais que la réunion commençait à neuf heures ; tu pouvais ___ prévenir de ton retard !,fr-FR,de sorte que,puisque,quand même,afin de,fr-FR,C,پاسخ C صحیح است. quand même exprime souvent à l’oral une concession ou un reproche. در این بافت، «quand même» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,درست است. quand même exprime souvent à l’oral une concession ou un reproche.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. quand même exprime souvent à l’oral une concession ou un reproche.,fa-IR,c4b1940c-f57e-5633-88ef-fd8838a86e1a,5a0b8ab3-6dd3-59bb-a615-ba1b4572123a,,d6c91dbe-38b0-5988-8298-07d7549a3255,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 254,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q204,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,6b4a785a-d16d-4a91-9f66-3e8c1da66869,L52-S02,,CLOZE_CONTEXT,"___ le musée ferme exceptionnellement plus tôt, nous avançons l'heure de la visite.",fr-FR,Pourtant,Donc,Pour que,Comme,fr-FR,D,پاسخ D صحیح است. comme place typiquement la cause en tête de phrase et l’installe comme cadre. در این بافت، «Comme» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,درست است. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,fa-IR,ebb074f1-ef7d-5e7a-964b-8cf43a67e3d9,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,bcaa1423-da28-5a5f-ba8a-66b47122fa09,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 250,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q205,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,6b4a785a-d16d-4a91-9f66-3e8c1da66869,L52-S02,,CLOZE_CONTEXT,"La cause sert de cadre avant la décision : ___ la route côtière est inondée, le car passera par l'intérieur des terres.",fr-FR,Comme,Cependant,Par conséquent,Afin que,fr-FR,A,پاسخ A صحیح است. comme place typiquement la cause en tête de phrase et l’installe comme cadre. در این بافت، «Comme» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,درست است. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,fa-IR,,ebb074f1-ef7d-5e7a-964b-8cf43a67e3d9,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,bcaa1423-da28-5a5f-ba8a-66b47122fa09,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 250,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q206,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,972c84e1-6ed5-41f7-a6db-d6f789bc7c24,L52-S07,,CLOZE_CONTEXT,"Le vent a renforcé toute la nuit, ___ plusieurs traversées ont été annulées au matin.",fr-FR,pour que,si bien que,bien que,à cause de,fr-FR,B,پاسخ B صحیح است. si bien que et de sorte que peuvent introduire une conséquence réelle. در این بافت، «si bien que» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,درست است. si bien que et de sorte que peuvent introduire une conséquence réelle.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,fa-IR,d6c91dbe-38b0-5988-8298-07d7549a3255,,bcaa1423-da28-5a5f-ba8a-66b47122fa09,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 252,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q207,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,6b4a785a-d16d-4a91-9f66-3e8c1da66869,L52-S02,,CLOZE_CONTEXT,"Dans cette phrase, l'information initiale explique la suite : ___ les archives sont déjà numérisées, l'équipe peut consulter les dossiers à distance.",fr-FR,Toutefois,Alors,Comme,Malgré,fr-FR,C,پاسخ C صحیح است. comme place typiquement la cause en tête de phrase et l’installe comme cadre. در این بافت، «Comme» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,درست است. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,fa-IR,ebb074f1-ef7d-5e7a-964b-8cf43a67e3d9,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,,bcaa1423-da28-5a5f-ba8a-66b47122fa09,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 250,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q208,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,972c84e1-6ed5-41f7-a6db-d6f789bc7c24,L52-S07,,CLOZE_CONTEXT,"Le logiciel a répété la même erreur sur chaque dossier, ___ le traitement automatique a dû être suspendu.",fr-FR,afin que,puisque,malgré,de sorte que,fr-FR,D,پاسخ D صحیح است. si bien que et de sorte que peuvent introduire une conséquence réelle. در این بافت، «de sorte que» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. si bien que et de sorte que peuvent introduire une conséquence réelle.,درست است. si bien que et de sorte que peuvent introduire une conséquence réelle.,fa-IR,d6c91dbe-38b0-5988-8298-07d7549a3255,bcaa1423-da28-5a5f-ba8a-66b47122fa09,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 252,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q209,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,6b4a785a-d16d-4a91-9f66-3e8c1da66869,L52-S02,,CLOZE_CONTEXT,"Le rédacteur veut présenter d'abord la circonstance causale, sans la traiter comme une information nouvelle : ___ les chiffres ont déjà été vérifiés, il passe directement à l'analyse.",fr-FR,Comme,C’est pourquoi,Pourtant,Pour que,fr-FR,A,پاسخ A صحیح است. comme place typiquement la cause en tête de phrase et l’installe comme cadre. در این بافت، «Comme» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.,درست است. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. comme place typiquement la cause en tête de phrase et l’installe comme cadre.,fa-IR,,ebb074f1-ef7d-5e7a-964b-8cf43a67e3d9,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,bcaa1423-da28-5a5f-ba8a-66b47122fa09,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 250,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B238-Q210,1,f0a5d28c-4b03-42c8-bd92-0708737ab3f1,L52,854bb16a-2b2d-4a45-b14f-a543b1ad33ab,L52-S12,,CORRECT_SENTENCE,Quelle phrase oppose correctement deux habitudes parallèles ?,fr-FR,"Nadia travaille surtout le matin, malgré son collègue préfère avancer le soir.","Nadia travaille surtout le matin, tandis que son collègue préfère avancer le soir.","Nadia travaille surtout le matin, grâce à son collègue préfère avancer le soir.","Nadia travaille surtout le matin, pour son collègue préfère avancer le soir.",fr-FR,B,"پاسخ B صحیح است. tandis que et alors que mettent deux faits en opposition ou contraste. در این بافت، «Nadia travaille surtout le matin, tandis que son collègue préfère avancer le soir.» تنها گزینه‌ای است که رابطهٔ منطقی و ساخت هدف را درست حفظ می‌کند.",نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. tandis que et alors que mettent deux faits en opposition ou contraste.,درست است. tandis que et alors que mettent deux faits en opposition ou contraste.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. tandis que et alors que mettent deux faits en opposition ou contraste.,نادرست است؛ این گزینه با رابطهٔ منطقی یا ساخت دستوری هدف این زیرموضوع سازگار نیست. tandis que et alors que mettent deux faits en opposition ou contraste.,fa-IR,bcaa1423-da28-5a5f-ba8a-66b47122fa09,,d6c91dbe-38b0-5988-8298-07d7549a3255,7fe70f36-76a1-5f6f-a141-460fdb42fa3d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 52; printed p. 254,chatgpt-qb-runner-v1.0,,logical_relation|subordination|register_variation,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
