schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B081-Q001,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,9f65916f-0c81-4b75-a82a-eca35eebb24b,L18-S01,,CLOZE_SINGLE,"Dans la phrase « Le cycliste est ___ », le blanc qualifie directement le nom « cycliste ». Choisissez l’adjectif attendu.",fr-FR,vite,rapidement,bien,rapide,fr-FR,D,"Un adjectif qualifie un nom : « rapide » décrit ici le cycliste, tandis que « vite » et « rapidement » sont des adverbes.","Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « rapide » : Un adjectif qualifie un nom : « rapide » décrit ici le cycliste, tandis que « vite » et « rapidement » sont des adverbes.","Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « rapide » : Un adjectif qualifie un nom : « rapide » décrit ici le cycliste, tandis que « vite » et « rapidement » sont des adverbes.","Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « rapide » : Un adjectif qualifie un nom : « rapide » décrit ici le cycliste, tandis que « vite » et « rapidement » sont des adverbes.","Un adjectif qualifie un nom : « rapide » décrit ici le cycliste, tandis que « vite » et « rapidement » sont des adverbes.",fr-FR,a6dde892-62fb-56d2-a9b3-78e5e4fb8119,884867bb-2462-59b9-9b1b-2328c145743f,d255768b-e73f-5469-8127-15c57b1e3453,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q002,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,ecea5ee1-14a0-48db-aa25-28d9d108d203,L18-S02,,CLOZE_SINGLE,"Le contexte est une confirmation après vérification d’un montant. Complétez la formule du manuel : « Oui, c’est ___ ça. »",fr-FR,bien,bon,beaucoup,mal,fr-FR,A,"Pour confirmer une information, le manuel donne « Oui, c’est bien ça ».","Pour confirmer une information, le manuel donne « Oui, c’est bien ça ».","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bien » : Pour confirmer une information, le manuel donne « Oui, c’est bien ça ».","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bien » : Pour confirmer une information, le manuel donne « Oui, c’est bien ça ».","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bien » : Pour confirmer une information, le manuel donne « Oui, c’est bien ça ».",fr-FR,,ab8c6221-4bb9-5fa5-a769-ab4f1f6f1885,06c17533-db22-5adb-8644-9f48e8c1de0f,2d2047e5-5588-5070-9706-86f05609a9c5,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q003,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,64f455fa-d39a-48c5-8216-c72eaeecec3a,L18-S03,,CLOZE_SINGLE,"Le blanc porte sur la quantité de l’action « parle » : « À la radio, elle parle ___. »",fr-FR,très,beaucoup,très beaucoup,bonne,fr-FR,B,« beaucoup » modifie le verbe et exprime une grande quantité ; « très » ne s’emploie pas seul de cette manière avec « parler ».,Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « beaucoup » : « beaucoup » modifie le verbe et exprime une grande quantité ; « très » ne s’emploie pas seul de cette manière avec « parler ».,« beaucoup » modifie le verbe et exprime une grande quantité ; « très » ne s’emploie pas seul de cette manière avec « parler ».,Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « beaucoup » : « beaucoup » modifie le verbe et exprime une grande quantité ; « très » ne s’emploie pas seul de cette manière avec « parler ».,Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « beaucoup » : « beaucoup » modifie le verbe et exprime une grande quantité ; « très » ne s’emploie pas seul de cette manière avec « parler ».,fr-FR,51969b9f-9159-5178-bba0-27da95766d72,,54443c6a-b6e3-5418-957a-d695818ff621,c1b4fa2b-27b3-5085-9255-d940063b9cc2,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q004,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,1d7fbf82-c298-48b7-9a8b-c1d5ed9c59b9,L18-S04,,CLOZE_SINGLE,"Le scénario impose une relation d’amitié, sans déclaration amoureuse. Complétez : « Depuis l’université, Nadia ___ beaucoup Samir. »",fr-FR,aime bien,aime très,aime,est bonne,fr-FR,C,"Dans l’échelle du manuel, « aimer beaucoup » correspond à l’amitié ; le blanc devant « beaucoup » est donc « aime ».","Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime » : Dans l’échelle du manuel, « aimer beaucoup » correspond à l’amitié ; le blanc devant « beaucoup » est donc « aime ».","Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime » : Dans l’échelle du manuel, « aimer beaucoup » correspond à l’amitié ; le blanc devant « beaucoup » est donc « aime ».","Dans l’échelle du manuel, « aimer beaucoup » correspond à l’amitié ; le blanc devant « beaucoup » est donc « aime ».","Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime » : Dans l’échelle du manuel, « aimer beaucoup » correspond à l’amitié ; le blanc devant « beaucoup » est donc « aime ».",fr-FR,faa63ea2-c483-51c9-9d19-201d5784fe5d,de3883f2-2289-5815-9ab9-77af41931997,,0bb4d432-0544-5ecb-aa41-0ec248f69c38,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q005,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,7b326a24-2848-47ad-905f-601470d0f656,L18-S05,,CLOZE_SINGLE,Appliquez le cas particulier indiqué dans la leçon : « énorme → ___ ».,fr-FR,énormeement,énormement,énormamment,énormément,fr-FR,D,Le manuel donne explicitement le cas particulier « énorme → énormément ».,Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « énormément » : Le manuel donne explicitement le cas particulier « énorme → énormément ».,Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « énormément » : Le manuel donne explicitement le cas particulier « énorme → énormément ».,Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « énormément » : Le manuel donne explicitement le cas particulier « énorme → énormément ».,Le manuel donne explicitement le cas particulier « énorme → énormément ».,fr-FR,257a1d92-f1ed-5348-b72f-e30f28c05d4e,275341f0-6bc8-5206-bdac-55c88788ea37,c75e1b46-956c-596e-8f99-5da8b1f3d91c,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q006,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,9f65916f-0c81-4b75-a82a-eca35eebb24b,L18-S01,,CLOZE_CONTEXT,"Dans le compte rendu, on décrit la manière dont la secrétaire écrit. Complétez avec un adverbe : « Elle écrit ___. »",fr-FR,lentement,lente,lent,rapidement bonne,fr-FR,A,Le mot modifie le verbe « écrit » ; un adverbe est donc requis. « lentement » exprime la manière.,Le mot modifie le verbe « écrit » ; un adverbe est donc requis. « lentement » exprime la manière.,Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « lentement » : Le mot modifie le verbe « écrit » ; un adverbe est donc requis. « lentement » exprime la manière.,Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « lentement » : Le mot modifie le verbe « écrit » ; un adverbe est donc requis. « lentement » exprime la manière.,Cette option ne respecte pas la règle ciblée « Adjectif vs adverbe ». La réponse attendue est « lentement » : Le mot modifie le verbe « écrit » ; un adverbe est donc requis. « lentement » exprime la manière.,fr-FR,,a6dde892-62fb-56d2-a9b3-78e5e4fb8119,884867bb-2462-59b9-9b1b-2328c145743f,d255768b-e73f-5469-8127-15c57b1e3453,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q007,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,ecea5ee1-14a0-48db-aa25-28d9d108d203,L18-S02,,CLOZE_CONTEXT,"Après avoir goûté une soupe, le client juge précisément le goût. Complétez : « Oui, c’est vraiment ___. »",fr-FR,bien,bon,beaucoup,vite,fr-FR,B,"Pour le goût, la leçon emploie « c’est bon » ; « bien » sert aux évaluations générales.","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bon » : Pour le goût, la leçon emploie « c’est bon » ; « bien » sert aux évaluations générales.","Pour le goût, la leçon emploie « c’est bon » ; « bien » sert aux évaluations générales.","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bon » : Pour le goût, la leçon emploie « c’est bon » ; « bien » sert aux évaluations générales.","Cette option ne respecte pas la règle ciblée « « bon » vs « bien » ». La réponse attendue est « bon » : Pour le goût, la leçon emploie « c’est bon » ; « bien » sert aux évaluations générales.",fr-FR,ab8c6221-4bb9-5fa5-a769-ab4f1f6f1885,,06c17533-db22-5adb-8644-9f48e8c1de0f,2d2047e5-5588-5070-9706-86f05609a9c5,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q008,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,64f455fa-d39a-48c5-8216-c72eaeecec3a,L18-S03,,CLOZE_CONTEXT,"Le médecin demande l’intensité d’une sensation physique. Complétez conformément au cas particulier : « Après l’injection, j’ai ___ mal au bras. »",fr-FR,beaucoup,très beaucoup,très,souvent,fr-FR,C,"Avec « avoir mal », la leçon impose « très » plutôt que « beaucoup ».","Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « très » : Avec « avoir mal », la leçon impose « très » plutôt que « beaucoup ».","Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « très » : Avec « avoir mal », la leçon impose « très » plutôt que « beaucoup ».","Avec « avoir mal », la leçon impose « très » plutôt que « beaucoup ».","Cette option ne respecte pas la règle ciblée « « très » vs « beaucoup » ». La réponse attendue est « très » : Avec « avoir mal », la leçon impose « très » plutôt que « beaucoup ».",fr-FR,51969b9f-9159-5178-bba0-27da95766d72,54443c6a-b6e3-5418-957a-d695818ff621,,c1b4fa2b-27b3-5085-9255-d940063b9cc2,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q009,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,1d7fbf82-c298-48b7-9a8b-c1d5ed9c59b9,L18-S04,,CLOZE_CONTEXT,"Le narrateur précise qu’il éprouve de la sympathie pour son voisin, rien de plus. Complétez : « Je l’___. »",fr-FR,aime beaucoup,aime,aime très,aime bien,fr-FR,D,« aimer bien » correspond à la sympathie dans la gradation de la leçon.,Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime bien » : « aimer bien » correspond à la sympathie dans la gradation de la leçon.,Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime bien » : « aimer bien » correspond à la sympathie dans la gradation de la leçon.,Cette option ne respecte pas la règle ciblée « « aimer bien/beaucoup » ». La réponse attendue est « aime bien » : « aimer bien » correspond à la sympathie dans la gradation de la leçon.,« aimer bien » correspond à la sympathie dans la gradation de la leçon.,fr-FR,faa63ea2-c483-51c9-9d19-201d5784fe5d,de3883f2-2289-5815-9ab9-77af41931997,0bb4d432-0544-5ecb-aa41-0ec248f69c38,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B081-Q010,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,7b326a24-2848-47ad-905f-601470d0f656,L18-S05,,CLOZE_CONTEXT,"L’adjectif de départ est « modéré », terminé par une voyelle. Complétez : « Le conférencier réagit ___. »",fr-FR,modérément,modéréement,modéramment,modèrement,fr-FR,A,"Pour un adjectif masculin terminé par une voyelle, on ajoute directement « -ment » : « modéré → modérément ».","Pour un adjectif masculin terminé par une voyelle, on ajoute directement « -ment » : « modéré → modérément ».","Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « modérément » : Pour un adjectif masculin terminé par une voyelle, on ajoute directement « -ment » : « modéré → modérément ».","Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « modérément » : Pour un adjectif masculin terminé par une voyelle, on ajoute directement « -ment » : « modéré → modérément ».","Cette option ne respecte pas la règle ciblée « Formation des adverbes en -ment ». La réponse attendue est « modérément » : Pour un adjectif masculin terminé par une voyelle, on ajoute directement « -ment » : « modéré → modérément ».",fr-FR,,257a1d92-f1ed-5348-b72f-e30f28c05d4e,275341f0-6bc8-5206-bdac-55c88788ea37,c75e1b46-956c-596e-8f99-5da8b1f3d91c,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
