compatibility_id,lesson_id,lesson_no,lesson_title_fr,subtopic_id,subtopic_code,subtopic_title_fr,question_type_id,question_type_code,cognitive_level,compatibility_status,allocation_factor,rationale_fa,conditional_guardrail_required,source_ref,compatibility_version,recovery_version
1dd054b7-d479-5d24-b717-f8fd2e33809e,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,e9f1df52-d4b8-5e27-a3fb-c7301f53be50,CLOZE_SINGLE,RECALL,PREFERRED,1.0,یک slot بسته با پاسخ یکتا برای این قاعده قابل طراحی است.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
5eb34368-d442-5ff4-864d-945d18527567,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,32374c7b-9284-562f-8bcd-c3bbcad6728f,CLOZE_CONTEXT,APPLICATION,ALLOWED,0.55,context کوتاه می‌تواند شرط انتخاب را روشن و پاسخ را یکتا کند.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
736bdbb2-63d4-5bbe-b897-6471236aee50,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,21ebada3-ac9a-519a-a0b1-58a57ba7e9c9,CORRECT_SENTENCE,DISCRIMINATION,ALLOWED,0.55,سه خطای هدف موازی و یک جمله معتبر قابل ساخت است.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
220fcec3-8e4f-5a5b-86c0-b9236c673dca,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,a2fbc3d0-466a-5e81-bfdd-376ec6796aae,INCORRECT_SENTENCE,DISCRIMINATION,PREFERRED,1.0,یک خطای منفرد و سه جمله صحیح قابل کنترل است.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
36031e6d-60ed-5e47-bda6-1e5f625cf9f3,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,646c0bc6-2722-50af-b7c9-ae0657805553,ERROR_LOCATION,DISCRIMINATION,PREFERRED,1.0,خطا/نقض قاعده در یک span قابل محلی‌سازی است.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
020f3c02-3574-5574-9dbf-77e7aade67e5,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,bd178d4e-0325-51b4-9c06-8040893e4437,CONJUGATION,RECALL,PREFERRED,1.0,صورت فعل/ریشه/پایانه هدف مستقیم است.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
ad7cac99-c7f5-5bf3-93d9-a777237f4c97,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,8fb82828-73d5-573a-8ccd-7d165372beab,TENSE_CHOICE,APPLICATION,NOT_SUITABLE,0.0,انتخاب زمان محور آموزشی این زیرموضوع نیست.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
2d3445dc-07d3-5ab4-b75a-38b3b483caea,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,b6e57a62-931c-5b3f-8aff-dafe096d5d65,PRONOUN_CHOICE,APPLICATION,NOT_SUITABLE,0.0,ضمیر جزء هدف این زیرموضوع نیست.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
a103f972-b714-53dc-a408-856980ee6f44,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,080bebd0-8e3d-51e9-ad82-13c256bc513a,PREPOSITION_CHOICE,APPLICATION,NOT_SUITABLE,0.0,انتخاب حرف اضافه جزء construct اصلی این زیرموضوع نیست.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
8aefe9ed-ebe8-5d10-9b0f-7fe2da33074a,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,e7c92ba5-b1c8-5672-b377-08c7a1641350,REWRITE_EQUIV,DISCRIMINATION,ALLOWED,0.55,با کنترل معنا و ساختار می‌توان بازنویسی بسته طراحی کرد.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
f1f4033d-01cf-596e-be61-c03d0ec70707,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,Être au dialogue de base,d925f39a-26df-5760-8581-4e1577d0afb3,FR_TO_FA,RECALL,ALLOWED,0.55,تنها با context کافی و یک معنای هدف یکتا.,False,Lesson 1; printed p. 8,question-type-compatibility-v0.9.0,question-authoring-recovery-v1.0.0
