catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,B170-B173,GMP-FULL-B170-Q001,39,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || Cette option ne respecte pas la règle ciblée. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ». || Cette option ne respecte pas la règle ciblée. Pour une personne, le chapitre emploie « aller voir » et non « visiter ».",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,50415b1c-ce1d-5610-b266-c14d6ea508cb,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,B170-B173,GMP-FULL-B170-Q001,42,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. « Rentrer » exprime ici le retour à son domicile.,Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,593ead56-d46f-5915-a1e7-3cc691cc91b5,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,B170-B173,GMP-FULL-B170-Q001,30,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. « Rentrer » exprime ici le retour à son domicile.,Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,19ef3561-b32d-5302-b285-3aec35a14491,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,B170-B173,GMP-FULL-B170-Q002,38,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,a8531911-41fe-514c-a4f5-e70ecdaa4df3,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,B170-B173,GMP-FULL-B170-Q002,44,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Le déplacement se fait vers le lieu où se trouve le locuteur : on emploie « venir ».,Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2d29b163-0748-5be0-af0b-c913b1c28b6e,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,B170-B173,GMP-FULL-B170-Q003,31,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Le retour se fait vers le point de référence, l’atelier : « revenir » convient.",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,f5ae0af5-9863-51b3-973f-6e96989a3ea2,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,B170-B173,GMP-FULL-B170-Q003,50,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement. || Cette option ne respecte pas la règle ciblée. Le collègue doit se déplacer vers le lieu où se trouve le locuteur.",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,7588c3ac-fd52-5e8f-95a5-7a065e69e200,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,B170-B173,GMP-FULL-B170-Q004,30,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,B170-B173,GMP-FULL-B170-Q004,31,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Après « passer » employé comme verbe de déplacement, l’infinitif de but se construit directement.",Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,c690a2f0-9917-4311-8823-683acb6d8dba,L38-S05,B170-B173,GMP-FULL-B170-Q005,43,L38-S01;L38-S02;L38-S03;L38-S04;L38-S05;L38-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L38-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B170–B173 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect. Cette option ne respecte pas la règle ou la perspective de déplacement ciblée dans ce contexte. || نادرست است؛ این گزینه با قاعده یا جهت حرکتِ هدف در این بافت سازگار نیست. || Cette option ne respecte pas la règle ciblée. Un lieu touristique se construit avec « visiter ».,Question Bank B170-B173 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
