dependency_id,lesson_id,lesson_no,lesson_title_fr,prerequisite_lesson_id,prerequisite_lesson_no,prerequisite_title_fr,relation_type,strength_1_5,evidence_type,status,note_fa,reviewed_by,reviewed_at
53ca4438-c9e3-4e8c-b4e7-b1bf5bae29a5,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
78dda73b-7a52-4b8b-b183-6cbec30881f1,3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
84591097-6a37-4912-ade8-8c52ca7d03ef,99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,prerequisite,2,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
b62fdc2f-ae39-4759-a9c9-0a449dbcd022,99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),prerequisite,2,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
668d8f34-3f2c-4004-995f-269a994c8a91,99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
ef975526-36d3-437d-bafe-cb53e49ee97c,f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
eab690e4-f4ea-4282-b950-96ac98926df6,d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
5a315662-a87f-422e-8e26-4604c4aff230,3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
daa38e58-785c-4b87-80e3-17b3823ff3a0,988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
2cfeaf1d-5a36-4e3b-88cc-5147562d3fef,a02fe5a3-8336-4749-8b93-f43d0a82948a,11,LE VERBE « AVOIR »,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,prerequisite,3,project_inference_from_book_structure_and_rule_content,owner_approved_project_inference,این رابطه برای ساخت نقشه دانشی از توالی و محتوای خود کتاب استنباط شده و ادعای صریح کتاب محسوب نمی‌شود.,Iman,2026-08-08T15:35:00-07:00
