catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,97e5fae4-d741-5267-ac08-c1d66e3ac57f,d6ff73a9-773e-4f48-9665-927f73921c87,L16-S01,B068-B073,GMP-FULL-B068-Q001,82,L16-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte visé. || این گزینه قاعدهٔ هدف را بیش از دامنهٔ درست آن تعمیم می‌دهد. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « cherchez ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,c241928d-5ecd-579c-8ebd-9c1c8277328b,d6ff73a9-773e-4f48-9665-927f73921c87,L16-S01,B068-B073,GMP-FULL-B068-Q001,82,L16-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable ailleurs. || این گزینه یک صورت معتبر در بافت دیگر را به بافت فعلی منتقل می‌کند. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « cherchez ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fa59a58e-d917-5f95-9ca0-e10961980c20,d6ff73a9-773e-4f48-9665-927f73921c87,L16-S01,B068-B073,GMP-FULL-B068-Q001,82,L16-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme voisine. || این گزینه صورت صرفی یا نوشتاری هدف را با یک صورت نزدیک اشتباه می‌گیرد. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « cherchez ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,371eb548-b164-5778-85ca-4b50b4328163,400e9556-f5bc-412e-a8b2-b61639a90199,L16-S03,B068-B073,GMP-FULL-B068-Q002,81,L16-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte visé. || این گزینه قاعدهٔ هدف را بیش از دامنهٔ درست آن تعمیم می‌دهد. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « étudions ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,3bdd51d6-a3a9-5fb2-a0c2-c0039813cf15,400e9556-f5bc-412e-a8b2-b61639a90199,L16-S03,B068-B073,GMP-FULL-B068-Q002,81,L16-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme voisine. || این گزینه صورت صرفی یا نوشتاری هدف را با یک صورت نزدیک اشتباه می‌گیرد. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « étudions ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,6fd743a6-3fa7-572f-8506-8104fdfcbf5a,400e9556-f5bc-412e-a8b2-b61639a90199,L16-S03,B068-B073,GMP-FULL-B068-Q002,81,L16-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable ailleurs. || این گزینه یک صورت معتبر در بافت دیگر را به بافت فعلی منتقل می‌کند. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « étudions ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,397020b0-e508-5c81-8a0b-851087f86621,c34a4ef8-40e3-41a7-8b68-4492dee1305e,L16-S04,B068-B073,GMP-FULL-B068-Q003,55,L16-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte visé.,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,5be929ad-cba3-5aa8-a7d4-ff0822e212bf,c34a4ef8-40e3-41a7-8b68-4492dee1305e,L16-S04,B068-B073,GMP-FULL-B068-Q003,77,L16-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme voisine. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « voyageons ». || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « commençons ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e608df8e-28e2-59e1-a5ad-ab38bd4c5d73,c34a4ef8-40e3-41a7-8b68-4492dee1305e,L16-S04,B068-B073,GMP-FULL-B068-Q003,71,L16-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable ailleurs. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « voyageons ». || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « commençons ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,4f33aae9-7c36-52fa-a0e6-4806fd639880,c34a4ef8-40e3-41a7-8b68-4492dee1305e,L16-S04,B068-B073,GMP-FULL-B068-Q006,28,L16-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable ailleurs. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « voyageons ». || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « commençons ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,06335538-b76e-55c0-b1de-1fc2d13288fb,a386c013-d99b-432f-a72d-df5419d9da2e,L16-S02,B068-B073,GMP-FULL-B068-Q043,22,L16-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L16-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B068–B073 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte visé. || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « Je parle / ils parlent ». || Cette option ne respecte pas la règle ciblée dans ce contexte. La réponse attendue est « Vous dînez. ».,Question Bank B068-B073 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
