schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B170-Q001,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,,CLOZE_SINGLE,Complétez : « Je suis à Lyon. Paul est à Paris et il ___ me voir demain. »,fr-FR,vient,va,retourne,rentre,fr-FR,A,قاعده: در تقابل «aller / venir»، انتخاب فعل به نقطهٔ مرجع گفت‌وگو بستگی دارد: «aller» حرکت از محل مرجع به مقصدی دیگر و «venir» حرکت به سوی محل گوینده یا نقطهٔ مرجع را بیان می‌کند. در همین سؤال مقصد حرکت همان محل گوینده/نقطهٔ مرجع است؛ بنابراین صورت «vient» جهت را درست نشان می‌دهد. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S01 «« aller » vs « venir » / aller در برابر venir»، صفحه چاپی 164 (PDF 166).,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. در همین سؤال مقصد حرکت همان محل گوینده/نقطهٔ مرجع است؛ بنابراین صورت «vient» جهت را درست نشان می‌دهد.,این گزینه پاسخ صحیح نیست، چون «aller» حرکت به سوی نقطه‌ای دیگر را می‌رساند؛ در این گزینه مقصد/دیدگاه با نقطهٔ مرجعِ سؤال سازگار نیست.,این گزینه پاسخ صحیح نیست، چون «retourner» معنای دوباره رفتن را اضافه می‌کند و جهت/تکرار مورد نیازِ این بافت را درست بازنمایی نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «rentrer» معنای بازگشت به خانه/محل خود را اضافه می‌کند و با جهت سادهٔ «aller/venir» در این بافت یکی نیست.,fr-FR,,50415b1c-ce1d-5610-b266-c14d6ea508cb,593ead56-d46f-5915-a1e7-3cc691cc91b5,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q002,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_SINGLE,Complétez : « Je suis maintenant à Lyon. J’étais à Marseille hier et j’y ___ lundi pour une autre réunion. »,fr-FR,reviens,retourne,viens,rentre,fr-FR,B,قاعده: «retourner» یعنی دوباره به جایی رفتن و جهت آن مانند «aller» است؛ «revenir» یعنی دوباره به سوی نقطهٔ مرجع آمدن و جهت آن مانند «venir» است. صورت سؤال بازگشت به معنای «دوباره رفتن به آن مکان» را می‌خواهد؛ «retourne» همین جهت را بدون تبدیل مقصد به نقطهٔ مرجع بیان می‌کند. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S02 «« retourner » vs « revenir » / retourner در برابر revenir»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون «venir» مفهوم بازگشتِ دوباره را به‌تنهایی ندارد و تمایز «retourner/revenir» را کامل نمی‌کند.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. صورت سؤال بازگشت به معنای «دوباره رفتن به آن مکان» را می‌خواهد؛ «retourne» همین جهت را بدون تبدیل مقصد به نقطهٔ مرجع بیان می‌کند.,این گزینه پاسخ صحیح نیست، چون «venir» مفهوم بازگشتِ دوباره را به‌تنهایی ندارد و تمایز «retourner/revenir» را کامل نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «rentrer» مقصد را خانه/محل خود می‌کند؛ متن چنین مقصد اختصاصی‌ای را ایجاب نمی‌کند.,fr-FR,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,,a8531911-41fe-514c-a4f5-e70ecdaa4df3,19ef3561-b32d-5302-b285-3aec35a14491,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q003,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,915bb937-ae94-4d2a-9e18-f40310946474,L38-S03,,CLOZE_SINGLE,"Complétez : « Après trois semaines à l’étranger, nous ___ enfin chez nous ce soir. »",fr-FR,revenons,retournons,rentrons,venons,fr-FR,C,قاعده: «rentrer» برای بازگشت به خانه، محل سکونت یا در بافت کتاب کشور مبدأ به‌کار می‌رود و از «revenir» که بازگشت عمومی‌تر به یک نقطهٔ مرجع است اختصاصی‌تر است. نشانهٔ تعیین‌کنندهٔ سؤال، بازگشت به خانه/محل سکونت یا «chez soi» است؛ بنابراین گزینهٔ «rentrons» معنای اختصاصی «rentrer» را حفظ می‌کند. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S03 «« rentrer » / rentrer»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون «revenir» بازگشت عمومی به مرجع است و معنای اختصاصی بازگشت به خانه را تضمین نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «retourner» دوباره رفتن را می‌رساند و لزوماً بازگشت به محل سکونت نیست.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. نشانهٔ تعیین‌کنندهٔ سؤال، بازگشت به خانه/محل سکونت یا «chez soi» است؛ بنابراین گزینهٔ «rentrons» معنای اختصاصی «rentrer» را حفظ می‌کند.,این گزینه پاسخ صحیح نیست، چون معنای اختصاصی «بازگشت به خانه/محل خود» را حفظ نمی‌کند.,fr-FR,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,,f5ae0af5-9863-51b3-973f-6e96989a3ea2,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q004,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,a11e9294-f086-45ad-a720-b4f8d3582754,L38-S04,,CLOZE_SINGLE,Complétez l’invitation : « Nous allons au marché. Tu ___ avec nous ? »,fr-FR,vas,retournes,rentres,viens,fr-FR,D,قاعده: در الگوی دعوت با «avec moi / avec nous»، کتاب «venir» را طبیعی می‌داند، چون خود گوینده یا گروه او مرکز حرکت و همراهی است؛ این را نباید به همهٔ کاربردهای «avec» تعمیم داد. نشانهٔ «avec moi/nous» یا معنای همراه شدن با گروه گوینده در خود سؤال دیده می‌شود؛ گزینهٔ «viens» همین دعوتِ متمرکز بر گروه را بیان می‌کند. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S04 «« avec moi/nous » et « venir » / با من/ما و venir»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون در الگوی خاص «avec moi/nous» کتاب «venir» را طبیعی می‌داند؛ این گزینه الگوی هدف تمرین را ندارد.,این گزینه پاسخ صحیح نیست، چون فعلِ بازگشت معنای تکرار/برگشت را اضافه می‌کند، در حالی که الگوی هدف فقط همراهی با گروه است.,این گزینه پاسخ صحیح نیست، چون «rentrer» معنای بازگشت به خانه را وارد می‌کند، نه دعوت ساده به همراه شدن با گروه.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. نشانهٔ «avec moi/nous» یا معنای همراه شدن با گروه گوینده در خود سؤال دیده می‌شود؛ گزینهٔ «viens» همین دعوتِ متمرکز بر گروه را بیان می‌کند.,fr-FR,f5ae0af5-9863-51b3-973f-6e96989a3ea2,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q005,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,c690a2f0-9917-4311-8823-683acb6d8dba,L38-S05,,CLOZE_SINGLE,Complétez : « Je vais ___ le directeur avant la réunion. »,fr-FR,voir,à voir,de voir,pour voir,fr-FR,A,قاعده: افعال حرکت مانند «aller، venir، monter، passer» وقتی هدف حرکت را با مصدر بیان می‌کنند، می‌توانند مستقیماً پیش از مصدر بیایند و در این ساخت «à» یا «de» میان دو فعل قرار نمی‌گیرد. در این سؤال فعل دوم هدف حرکت را بیان می‌کند؛ پاسخ «voir» ساخت مستقیمِ فعل حرکت + مصدر را بدون حرف اضافهٔ زائد حفظ می‌کند. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S05 «Verbe de déplacement + infinitif / فعل حرکت + مصدر»، صفحه چاپی 164 (PDF 166).,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. در این سؤال فعل دوم هدف حرکت را بیان می‌کند؛ پاسخ «voir» ساخت مستقیمِ فعل حرکت + مصدر را بدون حرف اضافهٔ زائد حفظ می‌کند.,این گزینه پاسخ صحیح نیست، چون یک حرف اضافهٔ زائد میان فعل حرکت و مصدر هدف وارد می‌کند؛ در این ساخت مصدر مستقیم می‌آید.,این گزینه پاسخ صحیح نیست، چون یک حرف اضافهٔ زائد میان فعل حرکت و مصدر هدف وارد می‌کند؛ در این ساخت مصدر مستقیم می‌آید.,این گزینه پاسخ صحیح نیست، چون یک حرف اضافهٔ زائد میان فعل حرکت و مصدر هدف وارد می‌کند؛ در این ساخت مصدر مستقیم می‌آید.,fr-FR,,6f7a6d6a-ab84-5713-bc77-97e125a14e0e,805e93ad-2220-5cb3-82ae-d11014fb0a47,e36096be-b783-599a-9a6d-252704705116,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q006,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,74af5963-2c56-4f57-a963-8ab0161caf09,L38-S06,,CLOZE_SINGLE,"Complétez : « Dimanche, nous allons ___ le musée d’Orsay. »",fr-FR,voir à,visiter,visiter à,venir voir,fr-FR,B,قاعده: در تقابل آموزشی این درس، برای دیدن یک شخص از «aller/venir voir quelqu’un» استفاده می‌شود، اما برای بازدید از مکان یا جاذبه «visiter» می‌آید؛ «visiter» نیز مستقیماً مفعول را می‌گیرد. مکملِ مورد نظر یک مکان/جاذبه است؛ پاسخ «visiter» کاربرد «visiter» را برای مکان نگه می‌دارد. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S06 «« aller/venir voir » vs « visiter » / voir شخص در برابر visiter مکان»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون نوع مکملِ شخص/مکان یا ساخت «voir/visiter» را با تقابل آموزش‌داده‌شده جابه‌جا می‌کند.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. مکملِ مورد نظر یک مکان/جاذبه است؛ پاسخ «visiter» کاربرد «visiter» را برای مکان نگه می‌دارد.,این گزینه پاسخ صحیح نیست، چون «visiter» مستقیماً مفعول مکان را می‌گیرد و این «à» اضافه است.,این گزینه پاسخ صحیح نیست، چون نوع مکملِ شخص/مکان یا ساخت «voir/visiter» را با تقابل آموزش‌داده‌شده جابه‌جا می‌کند.,fr-FR,e36096be-b783-599a-9a6d-252704705116,,593ead56-d46f-5915-a1e7-3cc691cc91b5,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q007,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,,CLOZE_CONTEXT,"Vous êtes déjà au café et vous téléphonez à Léa, qui est encore chez elle : « Tu ___ au café maintenant ? »",fr-FR,vas,rentres,viens,retournes,fr-FR,C,قاعده: در تقابل «aller / venir»، انتخاب فعل به نقطهٔ مرجع گفت‌وگو بستگی دارد: «aller» حرکت از محل مرجع به مقصدی دیگر و «venir» حرکت به سوی محل گوینده یا نقطهٔ مرجع را بیان می‌کند. در همین سؤال مقصد حرکت همان محل گوینده/نقطهٔ مرجع است؛ بنابراین صورت «viens» جهت را درست نشان می‌دهد. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S01 «« aller » vs « venir » / aller در برابر venir»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون «aller» حرکت به سوی نقطه‌ای دیگر را می‌رساند؛ در این گزینه مقصد/دیدگاه با نقطهٔ مرجعِ سؤال سازگار نیست.,این گزینه پاسخ صحیح نیست، چون «rentrer» معنای بازگشت به خانه/محل خود را اضافه می‌کند و با جهت سادهٔ «aller/venir» در این بافت یکی نیست.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. در همین سؤال مقصد حرکت همان محل گوینده/نقطهٔ مرجع است؛ بنابراین صورت «viens» جهت را درست نشان می‌دهد.,این گزینه پاسخ صحیح نیست، چون «retourner» معنای دوباره رفتن را اضافه می‌کند و جهت/تکرار مورد نیازِ این بافت را درست بازنمایی نمی‌کند.,fr-FR,463f84ab-4dd3-52f7-891b-b1dc9ae4fce0,f37749e4-1c0a-571c-a2c9-af6363d36984,,19ef3561-b32d-5302-b285-3aec35a14491,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q008,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,49111ec0-5e20-4a63-ab7d-fe23554f62ac,L38-S01,,CLOZE_CONTEXT,"Marc et vous êtes au bureau. Vous parlez d’un rendez-vous qui aura lieu chez le client : « À 14 h, nous ___ chez le client. »",fr-FR,venons,revenons,rentrons,allons,fr-FR,D,قاعده: در تقابل «aller / venir»، انتخاب فعل به نقطهٔ مرجع گفت‌وگو بستگی دارد: «aller» حرکت از محل مرجع به مقصدی دیگر و «venir» حرکت به سوی محل گوینده یا نقطهٔ مرجع را بیان می‌کند. در همین سؤال حرکت از نقطهٔ مرجع فعلی به مقصدی دیگر انجام می‌شود؛ بنابراین «allons» با جهت «aller» سازگار است. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S01 «« aller » vs « venir » / aller در برابر venir»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون معنا یا جهت حرکت را نسبت به نقطهٔ مرجعِ گفت‌وگو تغییر می‌دهد.,این گزینه پاسخ صحیح نیست، چون «revenir» معنای دوباره آمدن به سوی مرجع دارد، در حالی که چنین مؤلفهٔ بازگشتی برای این گزینه لازم نیست.,این گزینه پاسخ صحیح نیست، چون «rentrer» معنای بازگشت به خانه/محل خود را اضافه می‌کند و با جهت سادهٔ «aller/venir» در این بافت یکی نیست.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. در همین سؤال حرکت از نقطهٔ مرجع فعلی به مقصدی دیگر انجام می‌شود؛ بنابراین «allons» با جهت «aller» سازگار است.,fr-FR,19ef3561-b32d-5302-b285-3aec35a14491,2d29b163-0748-5be0-af0b-c913b1c28b6e,fa050066-5bb3-5cc6-8bc4-5facbc86e0a0,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q009,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_CONTEXT,"Vous êtes à Montréal et racontez votre prochain voyage à Québec, où vous étiez hier : « Demain, je ___ à Québec. »",fr-FR,retourne,reviens,rentre,viens,fr-FR,A,قاعده: «retourner» یعنی دوباره به جایی رفتن و جهت آن مانند «aller» است؛ «revenir» یعنی دوباره به سوی نقطهٔ مرجع آمدن و جهت آن مانند «venir» است. صورت سؤال بازگشت به معنای «دوباره رفتن به آن مکان» را می‌خواهد؛ «retourne» همین جهت را بدون تبدیل مقصد به نقطهٔ مرجع بیان می‌کند. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S02 «« retourner » vs « revenir » / retourner در برابر revenir»، صفحه چاپی 164 (PDF 166).,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. صورت سؤال بازگشت به معنای «دوباره رفتن به آن مکان» را می‌خواهد؛ «retourne» همین جهت را بدون تبدیل مقصد به نقطهٔ مرجع بیان می‌کند.,این گزینه پاسخ صحیح نیست، چون «venir» مفهوم بازگشتِ دوباره را به‌تنهایی ندارد و تمایز «retourner/revenir» را کامل نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «rentrer» مقصد را خانه/محل خود می‌کند؛ متن چنین مقصد اختصاصی‌ای را ایجاب نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «venir» مفهوم بازگشتِ دوباره را به‌تنهایی ندارد و تمایز «retourner/revenir» را کامل نمی‌کند.,fr-FR,,fdb8aa88-05b9-5110-ad6b-fc74023f44a5,7588c3ac-fd52-5e8f-95a5-7a065e69e200,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B170-Q010,1,d138adce-c139-454e-b3a3-1ff9464bd0e8,L38,0b71d77b-bd78-48ad-bc64-fbdc9dfb7d17,L38-S02,,CLOZE_CONTEXT,Vous êtes à l’hôtel et votre collègue est parti chercher un document. Vous lui dites au téléphone : « Quand est-ce que tu ___ ici ? »,fr-FR,retournes,reviens,rentres,vas,fr-FR,B,قاعده: «retourner» یعنی دوباره به جایی رفتن و جهت آن مانند «aller» است؛ «revenir» یعنی دوباره به سوی نقطهٔ مرجع آمدن و جهت آن مانند «venir» است. گزینهٔ «reviens» با جهتِ بازگشت و جایگاه نقطهٔ مرجع در همین بافت مطابقت دارد. منبع کتاب: درس 38 (L38) «LES VERBES de DÉPLACEMENT»، زیرموضوع L38-S02 «« retourner » vs « revenir » / retourner در برابر revenir»، صفحه چاپی 164 (PDF 166).,این گزینه پاسخ صحیح نیست، چون «retourner» دوباره رفتن به یک مکان است؛ این گزینه در بافتی که بازگشت به سوی مرجع لازم است جهت را عوض می‌کند.,این گزینه با قاعده و نشانه‌های همین سؤال سازگار است. گزینهٔ «reviens» با جهتِ بازگشت و جایگاه نقطهٔ مرجع در همین بافت مطابقت دارد.,این گزینه پاسخ صحیح نیست، چون «rentrer» مقصد را خانه/محل خود می‌کند؛ متن چنین مقصد اختصاصی‌ای را ایجاب نمی‌کند.,این گزینه پاسخ صحیح نیست، چون «aller» مفهوم تکرار/بازگشت را حذف می‌کند و بنابراین برای تمایز هدف کافی نیست.,fr-FR,dc47e5ff-43db-5a27-9a09-2a966c4a5dbb,,805e93ad-2220-5cb3-82ae-d11014fb0a47,e36096be-b783-599a-9a6d-252704705116,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 38; printed p. 164; PDF p. 166,chatgpt-qb-runner-v1.0,,TAG024|TAG016|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
