catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,f208f092-d252-5752-bf61-03a444859577,cd160413-905e-4e55-9b1e-d5836b788b9e,L28-S01,B124-B128,GMP-FULL-B124-Q001,37,L28-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « en » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte. || Incorrect : « Je y vérifie demain. » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8b39f9d4-73df-527c-8751-b4c98c79302e,1062ddfc-79a8-4a33-a3f7-c2fa0ef6ad25,L28-S02,B124-B128,GMP-FULL-B124-Q002,35,L28-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « leur » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte. || Incorrect : « y » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0e78214e-2cf6-5e57-af6e-b5ce58162be8,1d9cdcf6-5215-4855-a653-085f927b707d,L28-S03,B124-B128,GMP-FULL-B124-Q003,66,L28-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « en » ne respecte pas la règle ciblée pour L28-S03 dans ce contexte. || Incorrect : « Vous elle envoyez un courriel. » ne respecte pas la règle ciblée pour L28-S03 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ce21f255-9b67-513c-ba3a-4aa0e4264576,c84d13cb-164e-43de-bbad-4f83bf7291ba,L28-S04,B124-B128,GMP-FULL-B124-Q004,53,L28-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « y » ne respecte pas la règle ciblée pour L28-S04 dans ce contexte. || Incorrect : « Il pense à lui. » ne respecte pas la règle ciblée pour L28-S04 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,3f5f9b24-c047-51e0-90e4-669560e2ecb6,2abd1f5c-264e-463b-826d-0cd0a34c5147,L28-S05,B124-B128,GMP-FULL-B124-Q005,68,L28-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « y » ne respecte pas la règle ciblée pour L28-S05 dans ce contexte. || Incorrect : « lui » ne respecte pas la règle ciblée pour L28-S05 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,76001a62-d0b9-50a8-b1d0-bf76aca08b3b,963fc3ba-876c-4f68-bb46-a1813d9dcbda,L28-S06,B124-B128,GMP-FULL-B124-Q011,84,L28-S06,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S06,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با نقش نحوی، ساخت فعل یا ترتیب ضمایر در این بافت سازگار نیست. || Incorrect : « l’en » ne respecte pas la règle ciblée pour L28-S06 dans ce contexte. || Incorrect : « leur en » ne respecte pas la règle ciblée pour L28-S06 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,77841b0d-74a5-56c5-ab58-65e079c71341,cd160413-905e-4e55-9b1e-d5836b788b9e,L28-S01,B124-B128,GMP-FULL-B125-Q001,22,L28-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « lui » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte. || Incorrect : « leur » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte. || Incorrect : « Je vérifie la demain. » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8d808297-9ad6-566f-aff9-97de2274489e,cd160413-905e-4e55-9b1e-d5836b788b9e,L28-S01,B124-B128,GMP-FULL-B125-Q001,22,L28-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « y » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte. || Incorrect : « Je lui vérifie demain. » ne respecte pas la règle ciblée pour L28-S01 dans ce contexte. || Ce choix ne respecte pas la construction pronominale requise par le contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2291d8a1-f246-55ee-9ac8-33b707f418ef,1062ddfc-79a8-4a33-a3f7-c2fa0ef6ad25,L28-S02,B124-B128,GMP-FULL-B125-Q002,17,L28-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « lui » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte. || Incorrect : « leur » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte. || Incorrect : « Je leur connais bien. » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8be13f91-c5e6-5fa2-abd3-ebb7ea5c6a23,1062ddfc-79a8-4a33-a3f7-c2fa0ef6ad25,L28-S02,B124-B128,GMP-FULL-B125-Q002,17,L28-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « y » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte. || Incorrect : « eux » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte. || Incorrect : « Je connais eux bien. » ne respecte pas la règle ciblée pour L28-S02 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,76450b27-6774-5058-9d7c-421eb0bb1d6a,1d9cdcf6-5215-4855-a653-085f927b707d,L28-S03,B124-B128,GMP-FULL-B125-Q003,36,L28-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L28-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B124–B128 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « y » ne respecte pas la règle ciblée pour L28-S03 dans ce contexte. || Incorrect : « Vous y envoyez un courriel. » ne respecte pas la règle ciblée pour L28-S03 dans ce contexte. || Incorrect : « Nous leur répondons demain. » ne respecte pas la règle ciblée pour L28-S03 dans ce contexte.,Question Bank B124-B128 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
