schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B184-Q001,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de sortir, Karim vérifie toujours la porte. »",fr-FR,Avant,Après,Depuis,Pendant,fr-FR,A,برای دو عمل با فاعل یکسان، «avant de + infinitif» عملی را معرفی می‌کند که باید پیش از عمل اصلی انجام شود. پس از «avant de» مصدر ساده می‌آید. در این سؤال، Karim اول در را بررسی می‌کند و بعد خارج می‌شود؛ بنابراین «Avant» با «de sortir» ترکیب «avant de sortir» را می‌سازد. بنابراین پاسخ صحیح گزینهٔ A «Avant» است. «après de + infinitif» ساخت هدف کتاب نیست؛ برای عملِ کامل‌شدهٔ قبلی باید از «après + infinitif passé» استفاده کرد. منبع کتاب: درس 41 (L41)، L41-S07، صفحهٔ چاپی ۲۰۲ / PDF 204.,درست است؛ «avant de + infinitif» عملی را نشان می‌دهد که پیش از عمل اصلی انجام می‌شود. Karim اول در را بررسی می‌کند و بعد خارج می‌شود؛ بنابراین «Avant» با «de sortir» ترکیب «avant de sortir» را می‌سازد.,«après de + infinitif» ساخت درست این درس نیست و از نظر معنایی هم «بعد از» را می‌رساند، نه «پیش از».,«depuis de + infinitif» این ساخت را نمی‌سازد؛ depuis برای مبدأ/تداوم زمانی است.,«pendant de + infinitif» ساخت هدف نیست؛ اینجا ترتیب «قبل از انجام» لازم است.,fr-FR,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q002,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_SINGLE,"Complétez correctement : « ___ avoir vérifié les chiffres, Léa a envoyé le rapport. »",fr-FR,Avant de,Après,Pendant,Depuis,fr-FR,B,برای دو عمل با فاعل یکسان، «après + infinitif passé» نشان می‌دهد عمل اول پیش از عمل اصلی کامل شده است. infinitif passé با «avoir/être + participe passé» ساخته می‌شود. در این سؤال، بررسی اعداد قبل از ارسال گزارش کامل شده است؛ «Après avoir vérifié…» دقیقاً این توالی را بیان می‌کند. بنابراین پاسخ صحیح گزینهٔ B «Après» است. «après» در این ساخت با مصدر گذشته می‌آید؛ در مقابل، «avant de» با مصدر ساده ساخته می‌شود و رابطهٔ زمانی معکوس دارد. منبع کتاب: درس 41 (L41)، L41-S06، صفحهٔ چاپی ۲۰۲ / PDF 204.,«avant» رابطهٔ زمانی را معکوس می‌کند؛ اینجا عملِ مصدر گذشته قبلاً کامل شده و سپس عمل اصلی رخ می‌دهد.,درست است؛ «après + infinitif passé» نشان می‌دهد عمل اول کامل شده و سپس عمل اصلی رخ می‌دهد. بررسی اعداد قبل از ارسال گزارش کامل شده است؛ «Après avoir vérifié…» دقیقاً این توالی را بیان می‌کند.,«pendant» هم‌زمانی/مدت را می‌رساند، نه «بعد از کامل‌شدنِ عمل اول».,«depuis» مبدأ/تداوم می‌سازد و برای توالیِ دو عملِ کامل‌شده با infinitif passé مناسب نیست.,fr-FR,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q003,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de répondre, relisez attentivement la question. »",fr-FR,Après,Dans,Avant,Pour,fr-FR,C,برای دو عمل با فاعل یکسان، «avant de + infinitif» عملی را معرفی می‌کند که باید پیش از عمل اصلی انجام شود. پس از «avant de» مصدر ساده می‌آید. در این سؤال، دستور می‌گوید پیش از پاسخ‌دادن، سؤال را دوباره بخوانید؛ پس «Avant de répondre» لازم است. بنابراین پاسخ صحیح گزینهٔ C «Avant» است. «après de + infinitif» ساخت هدف کتاب نیست؛ برای عملِ کامل‌شدهٔ قبلی باید از «après + infinitif passé» استفاده کرد. منبع کتاب: درس 41 (L41)، L41-S07، صفحهٔ چاپی ۲۰۲ / PDF 204.,«après de + infinitif» ساخت درست این درس نیست و از نظر معنایی هم «بعد از» را می‌رساند، نه «پیش از».,این گزینه با «de + infinitif» رابطهٔ «پیش از انجام عمل» را نمی‌سازد.,درست است؛ «avant de + infinitif» عملی را نشان می‌دهد که پیش از عمل اصلی انجام می‌شود. دستور می‌گوید پیش از پاسخ‌دادن، سؤال را دوباره بخوانید؛ پس «Avant de répondre» لازم است.,این گزینه با «de + infinitif» رابطهٔ «پیش از انجام عمل» را نمی‌سازد.,fr-FR,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,,91d52865-9c3c-5b7b-a416-edf3e83ca772,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q004,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_SINGLE,"Complétez correctement : « ___ être arrivés, les voyageurs ont appelé leur famille. »",fr-FR,Avant,Dans,Pour,Après,fr-FR,D,برای دو عمل با فاعل یکسان، «après + infinitif passé» نشان می‌دهد عمل اول پیش از عمل اصلی کامل شده است. infinitif passé با «avoir/être + participe passé» ساخته می‌شود. در این سؤال، رسیدن مسافران پیش از تماس با خانواده کامل شده است؛ «Après être arrivés…» توالی درست را می‌سازد. بنابراین پاسخ صحیح گزینهٔ D «Après» است. «après» در این ساخت با مصدر گذشته می‌آید؛ در مقابل، «avant de» با مصدر ساده ساخته می‌شود و رابطهٔ زمانی معکوس دارد. منبع کتاب: درس 41 (L41)، L41-S06، صفحهٔ چاپی ۲۰۲ / PDF 204.,«avant» رابطهٔ زمانی را معکوس می‌کند؛ اینجا عملِ مصدر گذشته قبلاً کامل شده و سپس عمل اصلی رخ می‌دهد.,این حرف اضافه ساخت «après + infinitif passé» و رابطهٔ پیشینیِ عملِ کامل‌شده را نمی‌سازد.,این حرف اضافه ساخت «après + infinitif passé» و رابطهٔ پیشینیِ عملِ کامل‌شده را نمی‌سازد.,درست است؛ «après + infinitif passé» نشان می‌دهد عمل اول کامل شده و سپس عمل اصلی رخ می‌دهد. رسیدن مسافران پیش از تماس با خانواده کامل شده است؛ «Après être arrivés…» توالی درست را می‌سازد.,fr-FR,16ce719d-059a-50fa-938a-bf5d676cc7a6,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q005,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de démarrer, la conductrice attache sa ceinture. »",fr-FR,Avant,Après,Depuis,Pendant,fr-FR,A,برای دو عمل با فاعل یکسان، «avant de + infinitif» عملی را معرفی می‌کند که باید پیش از عمل اصلی انجام شود. پس از «avant de» مصدر ساده می‌آید. در این سؤال، بستن کمربند باید قبل از شروع حرکت انجام شود؛ «Avant de démarrer» درست است. بنابراین پاسخ صحیح گزینهٔ A «Avant» است. «après de + infinitif» ساخت هدف کتاب نیست؛ برای عملِ کامل‌شدهٔ قبلی باید از «après + infinitif passé» استفاده کرد. منبع کتاب: درس 41 (L41)، L41-S07، صفحهٔ چاپی ۲۰۲ / PDF 204.,درست است؛ «avant de + infinitif» عملی را نشان می‌دهد که پیش از عمل اصلی انجام می‌شود. بستن کمربند باید قبل از شروع حرکت انجام شود؛ «Avant de démarrer» درست است.,«après de + infinitif» ساخت درست این درس نیست و از نظر معنایی هم «بعد از» را می‌رساند، نه «پیش از».,«depuis de + infinitif» این ساخت را نمی‌سازد؛ depuis برای مبدأ/تداوم زمانی است.,«pendant de + infinitif» ساخت هدف نیست؛ اینجا ترتیب «قبل از انجام» لازم است.,fr-FR,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q006,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"La vérification est terminée avant l’envoi. Complétez : « ___ avoir vérifié les chiffres, Léa a envoyé le rapport. »",fr-FR,Avant de,Après,Pendant,Depuis,fr-FR,B,برای دو عمل با فاعل یکسان، «après + infinitif passé» نشان می‌دهد عمل اول پیش از عمل اصلی کامل شده است. infinitif passé با «avoir/être + participe passé» ساخته می‌شود. در این سؤال، خودِ بافت می‌گوید بررسی پیش از ارسال تمام شده؛ پس «Après avoir vérifié…» انتخاب دقیق است. بنابراین پاسخ صحیح گزینهٔ B «Après» است. «après» در این ساخت با مصدر گذشته می‌آید؛ در مقابل، «avant de» با مصدر ساده ساخته می‌شود و رابطهٔ زمانی معکوس دارد. منبع کتاب: درس 41 (L41)، L41-S06، صفحهٔ چاپی ۲۰۲ / PDF 204.,«avant» رابطهٔ زمانی را معکوس می‌کند؛ اینجا عملِ مصدر گذشته قبلاً کامل شده و سپس عمل اصلی رخ می‌دهد.,درست است؛ «après + infinitif passé» نشان می‌دهد عمل اول کامل شده و سپس عمل اصلی رخ می‌دهد. خودِ بافت می‌گوید بررسی پیش از ارسال تمام شده؛ پس «Après avoir vérifié…» انتخاب دقیق است.,«pendant» هم‌زمانی/مدت را می‌رساند، نه «بعد از کامل‌شدنِ عمل اول».,«depuis» مبدأ/تداوم می‌سازد و برای توالیِ دو عملِ کامل‌شده با infinitif passé مناسب نیست.,fr-FR,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q007,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_CONTEXT,"Karim doit vérifier la porte avant sa sortie. Complétez : « ___ de sortir, Karim vérifie toujours la porte. »",fr-FR,Après,Depuis,Avant,Pendant,fr-FR,C,برای دو عمل با فاعل یکسان، «avant de + infinitif» عملی را معرفی می‌کند که باید پیش از عمل اصلی انجام شود. پس از «avant de» مصدر ساده می‌آید. در این سؤال، در بافت، بررسی در باید قبل از خروج رخ دهد؛ «Avant de sortir» این ترتیب را روشن می‌کند. بنابراین پاسخ صحیح گزینهٔ C «Avant» است. «après de + infinitif» ساخت هدف کتاب نیست؛ برای عملِ کامل‌شدهٔ قبلی باید از «après + infinitif passé» استفاده کرد. منبع کتاب: درس 41 (L41)، L41-S07، صفحهٔ چاپی ۲۰۲ / PDF 204.,«après de + infinitif» ساخت درست این درس نیست و از نظر معنایی هم «بعد از» را می‌رساند، نه «پیش از».,«depuis de + infinitif» این ساخت را نمی‌سازد؛ depuis برای مبدأ/تداوم زمانی است.,درست است؛ «avant de + infinitif» عملی را نشان می‌دهد که پیش از عمل اصلی انجام می‌شود. در بافت، بررسی در باید قبل از خروج رخ دهد؛ «Avant de sortir» این ترتیب را روشن می‌کند.,«pendant de + infinitif» ساخت هدف نیست؛ اینجا ترتیب «قبل از انجام» لازم است.,fr-FR,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,,91d52865-9c3c-5b7b-a416-edf3e83ca772,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q008,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"L’arrivée est déjà accomplie avant l’appel à la famille. Complétez : « ___ être arrivés, les voyageurs ont appelé leur famille. »",fr-FR,Avant,Dans,Pour,Après,fr-FR,D,برای دو عمل با فاعل یکسان، «après + infinitif passé» نشان می‌دهد عمل اول پیش از عمل اصلی کامل شده است. infinitif passé با «avoir/être + participe passé» ساخته می‌شود. در این سؤال، رسیدن پیش از تماس کامل شده است؛ با فعل حرکتیِ arriver در مصدر گذشته، «Après être arrivés» درست است. بنابراین پاسخ صحیح گزینهٔ D «Après» است. «après» در این ساخت با مصدر گذشته می‌آید؛ در مقابل، «avant de» با مصدر ساده ساخته می‌شود و رابطهٔ زمانی معکوس دارد. منبع کتاب: درس 41 (L41)، L41-S06، صفحهٔ چاپی ۲۰۲ / PDF 204.,«avant» رابطهٔ زمانی را معکوس می‌کند؛ اینجا عملِ مصدر گذشته قبلاً کامل شده و سپس عمل اصلی رخ می‌دهد.,این حرف اضافه ساخت «après + infinitif passé» و رابطهٔ پیشینیِ عملِ کامل‌شده را نمی‌سازد.,این حرف اضافه ساخت «après + infinitif passé» و رابطهٔ پیشینیِ عملِ کامل‌شده را نمی‌سازد.,درست است؛ «après + infinitif passé» نشان می‌دهد عمل اول کامل شده و سپس عمل اصلی رخ می‌دهد. رسیدن پیش از تماس کامل شده است؛ با فعل حرکتیِ arriver در مصدر گذشته، «Après être arrivés» درست است.,fr-FR,16ce719d-059a-50fa-938a-bf5d676cc7a6,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q009,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_CONTEXT,"La relecture doit précéder la réponse. Complétez : « ___ de répondre, relisez attentivement la question. »",fr-FR,Avant,Après,Dans,Pour,fr-FR,A,برای دو عمل با فاعل یکسان، «avant de + infinitif» عملی را معرفی می‌کند که باید پیش از عمل اصلی انجام شود. پس از «avant de» مصدر ساده می‌آید. در این سؤال، بازخوانی باید پیش از پاسخ باشد؛ بنابراین «Avant de répondre» مناسب است. بنابراین پاسخ صحیح گزینهٔ A «Avant» است. «après de + infinitif» ساخت هدف کتاب نیست؛ برای عملِ کامل‌شدهٔ قبلی باید از «après + infinitif passé» استفاده کرد. منبع کتاب: درس 41 (L41)، L41-S07، صفحهٔ چاپی ۲۰۲ / PDF 204.,درست است؛ «avant de + infinitif» عملی را نشان می‌دهد که پیش از عمل اصلی انجام می‌شود. بازخوانی باید پیش از پاسخ باشد؛ بنابراین «Avant de répondre» مناسب است.,«après de + infinitif» ساخت درست این درس نیست و از نظر معنایی هم «بعد از» را می‌رساند، نه «پیش از».,این گزینه با «de + infinitif» رابطهٔ «پیش از انجام عمل» را نمی‌سازد.,این گزینه با «de + infinitif» رابطهٔ «پیش از انجام عمل» را نمی‌سازد.,fr-FR,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q010,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"Le rangement de l’atelier est accompli avant le retour des mécaniciens. Complétez : « ___ avoir rangé l’atelier, les mécaniciens sont rentrés. »",fr-FR,Avant de,Après,Depuis,Pour,fr-FR,B,برای دو عمل با فاعل یکسان، «après + infinitif passé» نشان می‌دهد عمل اول پیش از عمل اصلی کامل شده است. infinitif passé با «avoir/être + participe passé» ساخته می‌شود. در این سؤال، مرتب‌کردن کارگاه قبل از برگشت مکانیک‌ها تمام شده؛ «Après avoir rangé…» درست است. بنابراین پاسخ صحیح گزینهٔ B «Après» است. «après» در این ساخت با مصدر گذشته می‌آید؛ در مقابل، «avant de» با مصدر ساده ساخته می‌شود و رابطهٔ زمانی معکوس دارد. منبع کتاب: درس 41 (L41)، L41-S06، صفحهٔ چاپی ۲۰۲ / PDF 204.,«avant» رابطهٔ زمانی را معکوس می‌کند؛ اینجا عملِ مصدر گذشته قبلاً کامل شده و سپس عمل اصلی رخ می‌دهد.,درست است؛ «après + infinitif passé» نشان می‌دهد عمل اول کامل شده و سپس عمل اصلی رخ می‌دهد. مرتب‌کردن کارگاه قبل از برگشت مکانیک‌ها تمام شده؛ «Après avoir rangé…» درست است.,«depuis» مبدأ/تداوم می‌سازد و برای توالیِ دو عملِ کامل‌شده با infinitif passé مناسب نیست.,این حرف اضافه ساخت «après + infinitif passé» و رابطهٔ پیشینیِ عملِ کامل‌شده را نمی‌سازد.,fr-FR,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
