allocation_id,lesson_id,lesson_no,title_fr_official,category_code,subcategory_code,question_type_id,question_type_code,cognitive_level,compatibility_status,conditional_guardrail_required,lesson_target_full,target_full,target_expanded,target_mvp,base_share_pct,compatibility_factor,target_status,allocation_note_fa,allocation_policy_version,stage4_capacity_model,recovery_version
05e1a1b2-25ed-5008-8c56-69014139fe28,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,e9f1df52-d4b8-5e27-a3fb-c7301f53be50,CLOZE_SINGLE,RECALL,PREFERRED,False,252,27,14,7,10.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
805ef8c1-2170-5f4a-ba8c-d175d9627d39,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,32374c7b-9284-562f-8bcd-c3bbcad6728f,CLOZE_CONTEXT,APPLICATION,PREFERRED,False,252,42,21,10,11.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
c2e5778c-7750-58ea-a9b3-e1cbfebbbfde,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,21ebada3-ac9a-519a-a0b1-58a57ba7e9c9,CORRECT_SENTENCE,DISCRIMINATION,ALLOWED,False,252,15,7,4,9.0,0.55,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
ce915d49-41e7-5cae-b26c-c4b9b8b2e8d3,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,a2fbc3d0-466a-5e81-bfdd-376ec6796aae,INCORRECT_SENTENCE,DISCRIMINATION,PREFERRED,False,252,21,10,5,7.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
2e4594d9-5387-5b7d-8801-cd181af1b3a9,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,646c0bc6-2722-50af-b7c9-ae0657805553,ERROR_LOCATION,DISCRIMINATION,PREFERRED,False,252,15,8,4,5.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
5cccd13d-5fd2-50ee-b536-b0b3016a3019,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,bd178d4e-0325-51b4-9c06-8040893e4437,CONJUGATION,RECALL,PREFERRED,False,252,17,8,4,6.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
f6dd4568-fa40-5895-a284-59d966a33bc7,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,8fb82828-73d5-573a-8ccd-7d165372beab,TENSE_CHOICE,APPLICATION,NOT_SUITABLE,False,252,0,0,0,6.0,0.0,ZERO_NOT_SUITABLE,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
af19f928-b3b9-5b06-83c6-1aa0cdb65adc,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,b6e57a62-931c-5b3f-8aff-dafe096d5d65,PRONOUN_CHOICE,APPLICATION,PREFERRED,False,252,19,10,5,5.0,1.0,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
33974ecd-0203-51fe-ab8d-8f0a2e14d76a,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,080bebd0-8e3d-51e9-ad82-13c256bc513a,PREPOSITION_CHOICE,APPLICATION,NOT_SUITABLE,False,252,0,0,0,5.0,0.0,ZERO_NOT_SUITABLE,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
a6bd6ab2-c5a9-5a87-8024-ade46f86f99e,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,e7c92ba5-b1c8-5672-b377-08c7a1641350,REWRITE_EQUIV,DISCRIMINATION,ALLOWED,False,252,14,7,3,8.0,0.55,RECOVERED_ALLOCATED_V1.0,تخصیص بازسازی‌شده طبق mix شناختی 20/40/40، base share، compatibility factor و largest remainder؛ برای CONDITIONAL رعایت guardrail الزامی است.,question-type-allocation-v0.9.0,capacity-weight-ratio-v0.9.0,question-authoring-recovery-v1.0.0
