locale,page_key,route,guard,bookmarkable
en,AUTH_ACCESS,/en/login,PUBLIC,true
en,AUTH_ACCESS,/en/register,PUBLIC,true
en,DASHBOARD,/en/dashboard,AUTHENTICATED,true
en,CREATE_TEST,/en/tests/new,AUTHENTICATED,true
en,TEST_RUNNER,/en/attempts/:attempt_id,AUTHENTICATED,true
en,RESULT,/en/attempts/:attempt_id/result,AUTHENTICATED,true
en,REVIEW,/en/review,AUTHENTICATED,true
en,LESSONS,/en/lessons,AUTHENTICATED,true
en,LESSON_ANALYTICS,/en/lessons/:lesson_id,AUTHENTICATED,true
en,PROGRESS,/en/progress,AUTHENTICATED,true
en,HISTORY,/en/history,AUTHENTICATED,true
en,PROFILE,/en/profile,AUTHENTICATED,true
en,SETTINGS,/en/settings,AUTHENTICATED,true
fa,AUTH_ACCESS,/fa/login,PUBLIC,true
fa,AUTH_ACCESS,/fa/register,PUBLIC,true
fa,DASHBOARD,/fa/dashboard,AUTHENTICATED,true
fa,CREATE_TEST,/fa/tests/new,AUTHENTICATED,true
fa,TEST_RUNNER,/fa/attempts/:attempt_id,AUTHENTICATED,true
fa,RESULT,/fa/attempts/:attempt_id/result,AUTHENTICATED,true
fa,REVIEW,/fa/review,AUTHENTICATED,true
fa,LESSONS,/fa/lessons,AUTHENTICATED,true
fa,LESSON_ANALYTICS,/fa/lessons/:lesson_id,AUTHENTICATED,true
fa,PROGRESS,/fa/progress,AUTHENTICATED,true
fa,HISTORY,/fa/history,AUTHENTICATED,true
fa,PROFILE,/fa/profile,AUTHENTICATED,true
fa,SETTINGS,/fa/settings,AUTHENTICATED,true
