lesson_id,lesson_no,title_fr_official,category_code,subcategory_code,final_weight_pct,target_full,target_expanded,target_mvp,base_min,min_active_weight_pct,capacity_model_version,rounding,status
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,2.37,252,126,63,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),CAT06,SUB14,1.96,209,105,52,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),CAT09,SUB23,2.33,248,124,62,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,CAT05,SUB11,2.37,252,126,63,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,CAT09,SUB24,2.05,218,109,55,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,CAT05,SUB12,1.59,169,85,42,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,LES NOMS de PARENTÉ et de GROUPE,CAT05,SUB11,0.94,100,50,25,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,CAT05,SUB12,1.59,169,85,42,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,CAT09,SUB24,1.78,189,95,47,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),CAT08,SUB19,1.95,207,104,52,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
a02fe5a3-8336-4749-8b93-f43d0a82948a,11,LE VERBE « AVOIR »,CAT01,SUB01,2.29,244,122,61,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
ec78c6b7-50f2-4fcf-8ecd-63c1a84e5e41,12,L’ADJECTIF (2),CAT06,SUB14,1.57,167,84,42,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
99f4cbed-373c-4bf4-affd-8eda53373a56,13,LES NOMBRES,CAT07,SUB17,1.63,173,87,43,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
8b0727a3-b94e-4d9d-bb86-9a0045b8685a,14,LE TEMPS (1),CAT08,SUB20,1.87,199,100,50,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
b182d62b-44dc-4893-b88c-75ef935c0111,15,LES INDÉFINIS,CAT05,SUB13,1.72,183,92,46,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
619fe3c8-586f-4038-8ea0-e5ad5085412d,16,LES VERBES en « -ER » au PRÉSENT,CAT01,SUB02,2.46,262,131,66,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
e3b8941a-3506-4903-b9f5-ede88a288def,17,LE TEMPS (2),CAT08,SUB20,1.87,199,100,50,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
ec290ee6-f705-4b74-98db-7e4079c54d60,18,L’ADVERBE,CAT06,SUB15,2.05,218,109,55,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
cb9bdbbf-0955-46a6-b979-69203ff4d988,19,L’EXPRESSION de la QUANTITÉ,CAT07,SUB18,1.92,204,102,51,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
dd8aa1ed-067c-4e17-a9db-10d3b630688a,20,LE PRONOM « EN »,CAT04,SUB08,2.02,215,108,54,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
a7d4b7ab-babf-44fd-8d1b-09d273f60704,21,LA SITUATION dans l’ESPACE (2),CAT08,SUB19,1.41,150,75,38,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
526ffab9-fc9b-4221-997e-e57dfbf9694a,22,LE COMPARATIF et LE SUPERLATIF,CAT06,SUB16,1.70,181,91,45,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
327c43bc-8757-4e51-aff0-9c04775c57cf,23,LE VERBE « ALLER »,CAT01,SUB01,2.10,223,112,56,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
e3b468de-4bc2-4b96-b4dc-0bfa0c3d5a85,24,LE PRONOM « Y »,CAT04,SUB08,1.79,190,95,48,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
aece8fe7-c303-4257-a531-a3d6e0f242de,25,LA SITUATION dans l’ESPACE et le TEMPS (3),CAT08,SUB21,1.64,174,87,44,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
6ad0bf53-cab8-4037-8548-6e73441d1620,26,"LES VERBES en « -IR », « -OIR » et « -RE » au PRÉSENT",CAT01,SUB02,2.48,264,132,66,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
e5bfdde7-6889-4829-ad65-06a572af5f97,27,LES VERBES PRONOMINAUX,CAT01,SUB03,2.02,215,108,54,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
2ad099b6-e9f4-4b96-8883-d88977fc94b4,28,LES PRONOMS COMPLÉMENTS,CAT04,SUB08,2.28,243,122,61,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
0259af3a-8df3-4f28-ad02-62a99368c409,29,LES PRONOMS TONIQUES,CAT04,SUB09,1.75,186,93,47,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
b24408b6-c9b4-4fbc-9b92-ad4d2ae13876,30,L’IMPÉRATIF,CAT03,SUB06,1.52,162,81,41,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
83d883bf-5242-4dc2-bed6-dad1585746db,31,LE CONDITIONNEL (1),CAT03,SUB06,1.93,205,103,51,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
4ec05ffb-8465-4c5c-9a50-d67136ad0472,32,LES RELATIFS,CAT04,SUB10,2.19,233,117,58,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
1854197b-634e-4db7-893c-7e9b6bcbf004,33,L’INTERROGATION (2),CAT09,SUB23,2.13,227,114,57,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
7a8563ae-ac42-49d2-bddd-42140c4e5245,34,LA NÉGATION (2),CAT09,SUB23,2.09,222,111,56,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
83287154-f6ce-4595-a2b2-17537cb9908d,35,LE DISCOURS INDIRECT au PRÉSENT,CAT10,SUB25,1.75,186,93,47,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
03b37cc5-75e7-4209-9322-1f6401df4973,36,LE GÉRONDIF,CAT03,SUB07,1.60,170,85,43,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
7a66cb3a-470c-4ae3-ae32-325cf327c9f9,37,LES PRÉPOSITIONS et LES VERBES,CAT08,SUB22,2.19,233,117,58,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
d138adce-c139-454e-b3a3-1ff9464bd0e8,38,LES VERBES de DÉPLACEMENT,CAT01,SUB03,1.74,185,93,46,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
2cc8ffec-0888-40b2-bb6b-23bb8ebcd4f0,39,LE FUTUR PROCHE,CAT02,SUB05,1.78,189,95,47,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
a2303764-b3c6-4a78-a5eb-287adffcd970,40,LE PASSÉ COMPOSÉ,CAT02,SUB04,2.44,260,130,65,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
61d3b6b5-dd58-4ca4-b78d-521013ae2461,41,LE TEMPS (3),CAT08,SUB20,1.90,202,101,51,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
79d5da54-9d06-473a-a60c-1c4cb74c38e1,42,LE PASSIF,CAT03,SUB07,1.72,183,92,46,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
1a7369fc-5f96-48eb-9433-a91853b0f074,43,L’IMPARFAIT,CAT02,SUB04,2.41,256,128,64,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
7b460b08-fac3-4f7c-bec0-0e1863fbcca3,44,LE PLUS-QUE-PARFAIT,CAT02,SUB04,1.86,198,99,50,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
ea5e63b4-af5e-438a-b50c-a3d9678296b6,45,LE DISCOURS INDIRECT au PASSÉ,CAT10,SUB25,1.57,167,84,42,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
fa21c54c-eda9-434c-9b4c-af896a3dfde0,46,"« VENIR de », « ÊTRE en TRAIN de », « ÊTRE sur le POINT de »",CAT03,SUB07,1.47,156,78,39,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
9452d2bf-3b54-4cbe-9410-2a607d9d9903,47,LE FUTUR SIMPLE,CAT02,SUB05,2.16,230,115,58,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
c8b25314-e54b-4ec5-9a31-41e6af6cfab4,48,LE FUTUR ANTÉRIEUR,CAT02,SUB05,1.35,144,72,36,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
8492c636-b6f3-4368-97df-c4e0387ff946,49,LE CONDITIONNEL (2),CAT03,SUB06,2.04,217,109,54,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
7292614b-ad5b-496f-836e-1ca257cb80cc,50,LES HYPOTHÈSES,CAT11,SUB26,2.19,233,117,58,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
5a20dade-1724-4c8a-887c-14dee287c1a2,51,LE SUBJONCTIF,CAT03,SUB06,2.24,238,119,60,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
f0a5d28c-4b03-42c8-bd92-0708737ab3f1,52,LES RELATIONS LOGIQUES,CAT11,SUB27,2.23,237,119,59,100,0.94,capacity-weight-ratio-v0.9.0,ROUND_HALF_UP,PASS
