catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,08437855-2da7-571f-8a27-0b3839946a9b,c45beaae-cca3-4a1a-91f8-a6c197c8ea1e,L50-S01,B224-B228,GMP-FULL-B224-Q001,29,L50-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,85e497db-659d-53ca-9aa3-d5481ccd6906,c45beaae-cca3-4a1a-91f8-a6c197c8ea1e,L50-S01,B224-B228,GMP-FULL-B224-Q001,29,L50-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,cd74ad35-aa36-58f0-b2a8-d64c92fa6614,c45beaae-cca3-4a1a-91f8-a6c197c8ea1e,L50-S01,B224-B228,GMP-FULL-B224-Q001,29,L50-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1fa4ce57-e0e7-5080-9d0a-985163a1a6d1,49ddd659-dab2-4134-87a0-a46b09fca81c,L50-S02,B224-B228,GMP-FULL-B224-Q002,19,L50-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,68af6aab-f4ad-5060-b51c-4f7232f0fe5f,49ddd659-dab2-4134-87a0-a46b09fca81c,L50-S02,B224-B228,GMP-FULL-B224-Q002,18,L50-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ea1f3c6a-3dae-5fc3-9e5a-08e74651b779,49ddd659-dab2-4134-87a0-a46b09fca81c,L50-S02,B224-B228,GMP-FULL-B224-Q002,29,L50-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,5912f78e-89f9-5452-a564-9d3280aede51,7324d745-fd6a-4b04-b729-952bd3177e49,L50-S03,B224-B228,GMP-FULL-B224-Q003,29,L50-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,65b60f90-f11e-5995-9bf5-4dfff102c55c,7324d745-fd6a-4b04-b729-952bd3177e49,L50-S03,B224-B228,GMP-FULL-B224-Q003,29,L50-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,967100ce-52e8-503a-9c12-5fa9dbb13a91,7324d745-fd6a-4b04-b729-952bd3177e49,L50-S03,B224-B228,GMP-FULL-B224-Q003,29,L50-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2b7aa404-94cf-53ac-8877-3a854c788d21,5418211e-24f0-4b50-93c8-c2e1e96a9a2b,L50-S04,B224-B228,GMP-FULL-B224-Q004,29,L50-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,48d40080-143b-52ff-9987-ac1f5eaf2798,5418211e-24f0-4b50-93c8-c2e1e96a9a2b,L50-S04,B224-B228,GMP-FULL-B224-Q004,29,L50-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L50-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B224–B228 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,نادرست است؛ این گزینه با قاعده یا نقش دستوریِ زیرموضوع هدف سازگار نیست. || نادرست است؛ با قاعده یا نقش دستوری زیرموضوع هدف سازگار نیست.,Question Bank B224-B228 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
