lesson_code,lesson_no,title_fr_official,target_total,actual_total,target_easy,actual_easy,delta_easy,target_medium,actual_medium,delta_medium,target_hard,actual_hard,delta_hard,target_very_hard,actual_very_hard,delta_very_hard,status,source_note
L01,1,LE VERBE « ÊTRE »,252,252,76,76,0,113,113,0,50,50,0,13,13,0,EXACT,Stage9 target workbook vs B238 final global registry
L02,2,L’ADJECTIF (1),209,209,52,52,0,84,84,0,63,63,0,10,10,0,EXACT,Stage9 target workbook vs B238 final global registry
L03,3,LA NÉGATION et L’INTERROGATION (1),248,248,74,74,0,112,112,0,50,50,0,12,12,0,EXACT,Stage9 target workbook vs B238 final global registry
L04,4,LE NOM et L’ARTICLE,252,252,76,76,0,113,113,0,50,50,0,13,13,0,EXACT,Stage9 target workbook vs B238 final global registry
L05,5,« C’EST » et « IL EST »,218,218,33,33,0,76,76,0,76,76,0,33,33,0,EXACT,Stage9 target workbook vs B238 final global registry
L06,6,LES POSSESSIFS,169,169,34,34,0,67,67,0,51,51,0,17,17,0,EXACT,Stage9 target workbook vs B238 final global registry
L07,7,LES NOMS de PARENTÉ et de GROUPE,100,100,20,20,0,40,40,0,30,30,0,10,10,0,EXACT,Stage9 target workbook vs B238 final global registry
L08,8,LES DÉMONSTRATIFS,169,169,34,34,0,67,67,0,51,51,0,17,17,0,EXACT,Stage9 target workbook vs B238 final global registry
L09,9,« IL Y A » et « C’EST »,189,189,29,29,0,66,66,0,66,66,0,28,28,0,EXACT,Stage9 target workbook vs B238 final global registry
L10,10,LA SITUATION dans l’ESPACE (1),207,207,62,62,0,93,93,0,42,42,0,10,10,0,EXACT,Stage9 target workbook vs B238 final global registry
L11,11,LE VERBE « AVOIR »,244,244,73,73,0,110,110,0,49,49,0,12,12,0,EXACT,Stage9 target workbook vs B238 final global registry
L12,12,L’ADJECTIF (2),167,167,25,25,0,59,59,0,58,58,0,25,25,0,EXACT,Stage9 target workbook vs B238 final global registry
L13,13,LES NOMBRES,173,173,35,35,0,69,69,0,52,52,0,17,17,0,EXACT,Stage9 target workbook vs B238 final global registry
L14,14,LE TEMPS (1),199,199,40,40,0,79,79,0,60,60,0,20,20,0,EXACT,Stage9 target workbook vs B238 final global registry
L15,15,LES INDÉFINIS,183,183,28,28,0,64,64,0,64,64,0,27,27,0,EXACT,Stage9 target workbook vs B238 final global registry
L16,16,LES VERBES en « -ER » au PRÉSENT,262,262,79,79,0,118,118,0,52,52,0,13,13,0,EXACT,Stage9 target workbook vs B238 final global registry
L17,17,LE TEMPS (2),199,199,40,40,0,79,79,0,60,60,0,20,20,0,EXACT,Stage9 target workbook vs B238 final global registry
L18,18,L’ADVERBE,218,218,44,44,0,87,87,0,65,65,0,22,22,0,EXACT,Stage9 target workbook vs B238 final global registry
L19,19,L’EXPRESSION de la QUANTITÉ,204,204,61,61,0,92,92,0,41,41,0,10,10,0,EXACT,Stage9 target workbook vs B238 final global registry
L20,20,LE PRONOM « EN »,215,215,64,64,0,97,97,0,43,43,0,11,11,0,EXACT,Stage9 target workbook vs B238 final global registry
L21,21,LA SITUATION dans l’ESPACE (2),150,150,30,30,0,60,60,0,45,45,0,15,15,0,EXACT,Stage9 target workbook vs B238 final global registry
L22,22,LE COMPARATIF et LE SUPERLATIF,181,181,27,27,0,64,64,0,63,63,0,27,27,0,EXACT,Stage9 target workbook vs B238 final global registry
L23,23,LE VERBE « ALLER »,223,223,67,67,0,100,100,0,45,45,0,11,11,0,EXACT,Stage9 target workbook vs B238 final global registry
L24,24,LE PRONOM « Y »,190,190,57,57,0,86,86,0,38,38,0,9,9,0,EXACT,Stage9 target workbook vs B238 final global registry
L25,25,LA SITUATION dans l’ESPACE et le TEMPS (3),174,174,35,35,0,70,70,0,52,52,0,17,17,0,EXACT,Stage9 target workbook vs B238 final global registry
L26,26,"LES VERBES en « -IR », « -OIR » et « -RE » au PRÉSENT",264,264,66,66,0,106,106,0,79,79,0,13,13,0,EXACT,Stage9 target workbook vs B238 final global registry
L27,27,LES VERBES PRONOMINAUX,215,215,43,43,0,86,86,0,65,65,0,21,21,0,EXACT,Stage9 target workbook vs B238 final global registry
L28,28,LES PRONOMS COMPLÉMENTS,243,243,73,73,0,109,109,0,49,49,0,12,12,0,EXACT,Stage9 target workbook vs B238 final global registry
L29,29,LES PRONOMS TONIQUES,186,186,37,37,0,74,74,0,56,56,0,19,19,0,EXACT,Stage9 target workbook vs B238 final global registry
L30,30,L’IMPÉRATIF,162,162,24,24,0,57,57,0,57,57,0,24,24,0,EXACT,Stage9 target workbook vs B238 final global registry
L31,31,LE CONDITIONNEL (1),205,205,31,31,0,72,72,0,72,72,0,30,30,0,EXACT,Stage9 target workbook vs B238 final global registry
L32,32,LES RELATIFS,233,233,35,35,0,82,82,0,81,81,0,35,35,0,EXACT,Stage9 target workbook vs B238 final global registry
L33,33,L’INTERROGATION (2),227,227,34,34,0,80,80,0,79,79,0,34,34,0,EXACT,Stage9 target workbook vs B238 final global registry
L34,34,LA NÉGATION (2),222,222,33,33,0,78,78,0,78,78,0,33,33,0,EXACT,Stage9 target workbook vs B238 final global registry
L35,35,LE DISCOURS INDIRECT au PRÉSENT,186,186,28,28,0,65,65,0,65,65,0,28,28,0,EXACT,Stage9 target workbook vs B238 final global registry
L36,36,LE GÉRONDIF,170,170,34,34,0,68,68,0,51,51,0,17,17,0,EXACT,Stage9 target workbook vs B238 final global registry
L37,37,LES PRÉPOSITIONS et LES VERBES,233,233,35,35,0,82,82,0,81,81,0,35,35,0,EXACT,Stage9 target workbook vs B238 final global registry
L38,38,LES VERBES de DÉPLACEMENT,185,185,37,37,0,74,74,0,56,56,0,18,18,0,EXACT,Stage9 target workbook vs B238 final global registry
L39,39,LE FUTUR PROCHE,189,189,38,38,0,75,75,0,57,57,0,19,19,0,EXACT,Stage9 target workbook vs B238 final global registry
L40,40,LE PASSÉ COMPOSÉ,260,260,39,39,0,78,78,0,104,104,0,39,39,0,EXACT,Stage9 target workbook vs B238 final global registry
L41,41,LE TEMPS (3),202,202,40,40,0,81,81,0,61,61,0,20,20,0,EXACT,Stage9 target workbook vs B238 final global registry
L42,42,LE PASSIF,183,183,37,37,0,73,73,0,55,55,0,18,18,0,EXACT,Stage9 target workbook vs B238 final global registry
L43,43,L’IMPARFAIT,256,256,38,38,0,90,90,0,90,90,0,38,38,0,EXACT,Stage9 target workbook vs B238 final global registry
L44,44,LE PLUS-QUE-PARFAIT,198,198,30,30,0,69,69,0,69,69,0,30,30,0,EXACT,Stage9 target workbook vs B238 final global registry
L45,45,LE DISCOURS INDIRECT au PASSÉ,167,167,25,25,0,59,59,0,58,58,0,25,25,0,EXACT,Stage9 target workbook vs B238 final global registry
L46,46,"« VENIR de », « ÊTRE en TRAIN de », « ÊTRE sur le POINT de »",156,156,31,31,0,62,62,0,47,47,0,16,16,0,EXACT,Stage9 target workbook vs B238 final global registry
L47,47,LE FUTUR SIMPLE,230,230,35,35,0,81,81,0,80,80,0,34,34,0,EXACT,Stage9 target workbook vs B238 final global registry
L48,48,LE FUTUR ANTÉRIEUR,144,144,22,22,0,50,50,0,50,50,0,22,22,0,EXACT,Stage9 target workbook vs B238 final global registry
L49,49,LE CONDITIONNEL (2),217,217,33,33,0,76,76,0,76,76,0,32,32,0,EXACT,Stage9 target workbook vs B238 final global registry
L50,50,LES HYPOTHÈSES,233,233,35,35,0,82,82,0,81,81,0,35,35,0,EXACT,Stage9 target workbook vs B238 final global registry
L51,51,LE SUBJONCTIF,238,238,36,37,1,71,71,0,95,95,0,36,35,-1,DRIFT,Stage9 target workbook vs B238 final global registry
L52,52,LES RELATIONS LOGIQUES,237,237,36,36,0,71,71,0,95,95,0,35,35,0,EXACT,Stage9 target workbook vs B238 final global registry
TOTAL,,ALL LESSONS,10636,10636,2180,2181,1,4116,4116,0,3203,3203,0,1137,1136,-1,DRIFT,Global totals
