schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B064-Q001,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,e4b502e3-1e86-437b-9f13-5489dedacd88,L15-S01,,CLOZE_SINGLE,Complétez : « Je connais ___ étudiants dans cette classe. » Le sens attendu est « un petit nombre ».,fr-FR,chaque,tout,aucun,quelques,fr-FR,D,« Quelques » exprime un petit nombre et accompagne ici le nom pluriel « étudiants ».,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,Correct. « Quelques » exprime un petit nombre et accompagne ici le nom pluriel « étudiants ».,fr-FR,6faa0830-f9f3-52d5-af36-8f13ad2ff6c8,79bc4a82-f30c-5505-99da-d3afe01e5e6e,729c2711-27bc-5dae-bc90-0c38eb2119df,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 68,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q002,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,,CLOZE_SINGLE,Complétez la négation conforme à la leçon : « Je ne connais ___ étudiant dans ce groupe. »,fr-FR,aucun,pas aucun,aucuns,un aucun,fr-FR,A,"« Aucun » fournit lui-même la valeur négative et s’emploie ici avec « ne », sans « pas ».","Correct. « Aucun » fournit lui-même la valeur négative et s’emploie ici avec « ne », sans « pas ».",Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,,cade9d59-4ab7-5b9c-a17f-35ab45105002,7df9fdcc-48f4-5a56-93e6-64e7018da63c,498a9d1d-2b12-582a-be1f-d2a58a4a3daa,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 68,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q003,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,d9e529ef-39ee-4d9c-985d-1458f5649d83,L15-S03,,CLOZE_SINGLE,"Parmi cinq candidates, deux sont bilingues. Complétez sans répéter le nom : « ___ sont bilingues. »",fr-FR,Quelques,Quelques-unes,Quelqu’une,Chaque,fr-FR,B,Le pronom de quantité correspondant est « quelques-unes » pour plusieurs personnes féminines.,Cette option généralise la règle au-delà du contexte demandé.,Correct. Le pronom de quantité correspondant est « quelques-unes » pour plusieurs personnes féminines.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,06e47734-1240-53ab-bf6c-261a2b5c4f20,,78af3dfe-81c0-540c-a8e2-2ca9ab50ac3a,8b46e81e-2eb0-5af6-8eee-87465df9ddfa,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 70,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q004,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,3ed479d1-f9d2-4bdf-a96d-c29c8d6c76ab,L15-S04,,CLOZE_SINGLE,Une présence non identifiée sonne à la porte. Complétez : « ___ vient. »,fr-FR,Quelque chose,Quelque part,Quelqu’un,Personne,fr-FR,C,« Quelqu’un » renvoie à une personne non identifiée.,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Correct. « Quelqu’un » renvoie à une personne non identifiée.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,54739000-ebe1-52cf-8763-7441fe87d54c,a191bdd3-5063-567c-9ae1-9a06fd98b7e6,,fa7e9701-2c7b-5a00-a2bf-3d840856d05b,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 70,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q005,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,500d5ebf-e858-4fd3-bb03-749bdf808783,L15-S05,,CLOZE_SINGLE,Le locuteur veut nier l’existence d’une chose dans la boîte. Complétez : « Il n’y a ___ dans la boîte. »,fr-FR,personne,nulle part,quelque chose,rien,fr-FR,D,« Rien » est l’indéfini négatif qui renvoie à une chose.,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,Correct. « Rien » est l’indéfini négatif qui renvoie à une chose.,fr-FR,5f6a9b27-b570-5dff-a9e5-3197069b659e,fdd744c7-0b59-54b4-9485-f016ee543b43,ca84906c-6ccb-5a63-b4e9-40a314390edd,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 70,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q006,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,e4b502e3-1e86-437b-9f13-5489dedacd88,L15-S01,,CLOZE_SINGLE,Complétez la fréquence correcte : « Le contrôle a lieu ___ les deux jours. »,fr-FR,tous,chaque,tout,toutes,fr-FR,A,La leçon demande « tous les deux jours » et signale que « chaque deux jours » est incorrect.,Correct. La leçon demande « tous les deux jours » et signale que « chaque deux jours » est incorrect.,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,,6faa0830-f9f3-52d5-af36-8f13ad2ff6c8,79bc4a82-f30c-5505-99da-d3afe01e5e6e,729c2711-27bc-5dae-bc90-0c38eb2119df,VERY_HARD,3.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 68,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q007,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,,CLOZE_CONTEXT,Le professeur vérifie une classe vide. Complétez : « ___ étudiant n’est venu. »,fr-FR,Pas aucun,Aucun,Aucuns,Quelque,fr-FR,B,"Comme sujet négatif, « Aucun étudiant n’est venu » se construit avec « ne » et sans « pas ».",Cette option généralise la règle au-delà du contexte demandé.,"Correct. Comme sujet négatif, « Aucun étudiant n’est venu » se construit avec « ne » et sans « pas ».",Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,cade9d59-4ab7-5b9c-a17f-35ab45105002,,7df9fdcc-48f4-5a56-93e6-64e7018da63c,498a9d1d-2b12-582a-be1f-d2a58a4a3daa,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 68,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q008,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,d9e529ef-39ee-4d9c-985d-1458f5649d83,L15-S03,,CLOZE_CONTEXT,"Dans une équipe de six hommes, trois parlent italien. Remplacez « trois hommes » par un pronom indéfini de quantité : « ___ parlent italien. »",fr-FR,Tout,Chacune,Plusieurs,Quelques-unes,fr-FR,C,« Plusieurs » peut fonctionner comme pronom et renvoie ici à plusieurs membres du groupe.,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Correct. « Plusieurs » peut fonctionner comme pronom et renvoie ici à plusieurs membres du groupe.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,06e47734-1240-53ab-bf6c-261a2b5c4f20,78af3dfe-81c0-540c-a8e2-2ca9ab50ac3a,,8b46e81e-2eb0-5af6-8eee-87465df9ddfa,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 70,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q009,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,500d5ebf-e858-4fd3-bb03-749bdf808783,L15-S05,,CLOZE_CONTEXT,"Après avoir cherché dans plusieurs quartiers sans trouver de lieu convenable, elle conclut : « Je ne trouve ce service ___ ».",fr-FR,personne,rien,quelque part,nulle part,fr-FR,D,« Nulle part » est l’indéfini négatif correspondant au lieu.,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,Correct. « Nulle part » est l’indéfini négatif correspondant au lieu.,fr-FR,5f6a9b27-b570-5dff-a9e5-3197069b659e,fdd744c7-0b59-54b4-9485-f016ee543b43,ca84906c-6ccb-5a63-b4e9-40a314390edd,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 70,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B064-Q010,1,b182d62b-44dc-4893-b88c-75ef935c0111,L15,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,,CLOZE_CONTEXT,Deux phrases doivent exprimer une quantité nulle avec « aucun » : « Je ___ connais aucun voisin » et « Aucun voisin ___ venu ».,fr-FR,ne / n’est,ne pas / n’est pas,ne / est,pas / n’est,fr-FR,A,« Aucun » exclut « pas » : « Je ne connais aucun… » et « Aucun… n’est venu ».,Correct. « Aucun » exclut « pas » : « Je ne connais aucun… » et « Aucun… n’est venu ».,Cette option généralise la règle au-delà du contexte demandé.,Cette option confond la forme cible avec une forme ou une règle proche.,Cette option transpose au contexte présent une forme valable dans un autre contexte.,fr-FR,,cade9d59-4ab7-5b9c-a17f-35ab45105002,7df9fdcc-48f4-5a56-93e6-64e7018da63c,498a9d1d-2b12-582a-be1f-d2a58a4a3daa,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 15; printed p. 68,chatgpt-qb-runner-v1.0,,TAG006,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
