schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B082-Q001,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,9f65916f-0c81-4b75-a82a-eca35eebb24b,L18-S01,,CLOZE_SINGLE,"Le contexte décrit la qualité du conducteur, pas sa manière de conduire. Complétez : « Ce chauffeur est ___ ; il respecte toutes les limitations. »",fr-FR,prudemment,prudent,vite,bien,fr-FR,B,"Après « être », le blanc qualifie le nom « chauffeur » : il faut donc l’adjectif « prudent », et non un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « prudent » : Après « être », le blanc qualifie le nom « chauffeur » : il faut donc l’adjectif « prudent », et non un adverbe.","Après « être », le blanc qualifie le nom « chauffeur » : il faut donc l’adjectif « prudent », et non un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « prudent » : Après « être », le blanc qualifie le nom « chauffeur » : il faut donc l’adjectif « prudent », et non un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « prudent » : Après « être », le blanc qualifie le nom « chauffeur » : il faut donc l’adjectif « prudent », et non un adverbe.",fr-FR,a6dde892-62fb-56d2-a9b3-78e5e4fb8119,,884867bb-2462-59b9-9b1b-2328c145743f,d255768b-e73f-5469-8127-15c57b1e3453,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q002,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,7b326a24-2848-47ad-905f-601470d0f656,L18-S05,,CLOZE_SINGLE,Transformez l’adjectif « discret » en adverbe pour compléter : « Elle quitte la salle ___. »,fr-FR,discretement,discrétement,discrètement,discrètemment,fr-FR,C,L’adverbe correct est « discrètement » : on part de la forme féminine « discrète » et on ajoute « -ment ».,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « discrètement » : L’adverbe correct est « discrètement » : on part de la forme féminine « discrète » et on ajoute « -ment ».,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « discrètement » : L’adverbe correct est « discrètement » : on part de la forme féminine « discrète » et on ajoute « -ment ».,L’adverbe correct est « discrètement » : on part de la forme féminine « discrète » et on ajoute « -ment ».,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « discrètement » : L’adverbe correct est « discrètement » : on part de la forme féminine « discrète » et on ajoute « -ment ».,fr-FR,257a1d92-f1ed-5348-b72f-e30f28c05d4e,275341f0-6bc8-5206-bdac-55c88788ea37,,c75e1b46-956c-596e-8f99-5da8b1f3d91c,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q003,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,ecea5ee1-14a0-48db-aa25-28d9d108d203,L18-S02,,CLOZE_CONTEXT,"Après une conférence, le public donne une appréciation générale positive, sans parler de goût ni de sensation physique. Complétez : « Oui, c’était ___. »",fr-FR,bon,beaucoup,vite,bien,fr-FR,D,"Pour une appréciation générale, la leçon emploie « c’est bien » ; « c’est bon » est notamment associé au goût, à une sensation ou à certains emplois figés.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « bien » : Pour une appréciation générale, la leçon emploie « c’est bien » ; « c’est bon » est notamment associé au goût, à une sensation ou à certains emplois figés.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « bien » : Pour une appréciation générale, la leçon emploie « c’est bien » ; « c’est bon » est notamment associé au goût, à une sensation ou à certains emplois figés.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « bien » : Pour une appréciation générale, la leçon emploie « c’est bien » ; « c’est bon » est notamment associé au goût, à une sensation ou à certains emplois figés.","Pour une appréciation générale, la leçon emploie « c’est bien » ; « c’est bon » est notamment associé au goût, à une sensation ou à certains emplois figés.",fr-FR,ab8c6221-4bb9-5fa5-a769-ab4f1f6f1885,06c17533-db22-5adb-8644-9f48e8c1de0f,2d2047e5-5588-5070-9706-86f05609a9c5,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q004,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,64f455fa-d39a-48c5-8216-c72eaeecec3a,L18-S03,,CLOZE_CONTEXT,"Le blanc intensifie l’adjectif « lourd » : « Pour un enfant, ce sac est ___ lourd. »",fr-FR,très,beaucoup,très beaucoup,bien,fr-FR,A,"« Très » intensifie un adjectif ou un adverbe. Ici, il porte sur l’adjectif « claire ».","« Très » intensifie un adjectif ou un adverbe. Ici, il porte sur l’adjectif « claire ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « très » : « Très » intensifie un adjectif ou un adverbe. Ici, il porte sur l’adjectif « claire ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « très » : « Très » intensifie un adjectif ou un adverbe. Ici, il porte sur l’adjectif « claire ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « très » : « Très » intensifie un adjectif ou un adverbe. Ici, il porte sur l’adjectif « claire ».",fr-FR,,51969b9f-9159-5178-bba0-27da95766d72,54443c6a-b6e3-5418-957a-d695818ff621,c1b4fa2b-27b3-5085-9255-d940063b9cc2,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q005,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,1d7fbf82-c298-48b7-9a8b-c1d5ed9c59b9,L18-S04,,CLOZE_CONTEXT,"Le locuteur précise qu’Hugo est un ami très proche, mais qu’il n’en est pas amoureux. Complétez selon la gradation de la leçon : « Je l’___ depuis des années. »",fr-FR,aime bien,aime beaucoup,aime,aime très,fr-FR,B,"Dans la gradation présentée, « aimer beaucoup » correspond à l’amitié ; « aimer bien » exprime plutôt la sympathie et « aimer » seul peut exprimer l’amour.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « aime beaucoup » : Dans la gradation présentée, « aimer beaucoup » correspond à l’amitié ; « aimer bien » exprime plutôt la sympathie et « aimer » seul peut exprimer l’amour.","Dans la gradation présentée, « aimer beaucoup » correspond à l’amitié ; « aimer bien » exprime plutôt la sympathie et « aimer » seul peut exprimer l’amour.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « aime beaucoup » : Dans la gradation présentée, « aimer beaucoup » correspond à l’amitié ; « aimer bien » exprime plutôt la sympathie et « aimer » seul peut exprimer l’amour.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « aime beaucoup » : Dans la gradation présentée, « aimer beaucoup » correspond à l’amitié ; « aimer bien » exprime plutôt la sympathie et « aimer » seul peut exprimer l’amour.",fr-FR,faa63ea2-c483-51c9-9d19-201d5784fe5d,,de3883f2-2289-5815-9ab9-77af41931997,0bb4d432-0544-5ecb-aa41-0ec248f69c38,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q006,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,9f65916f-0c81-4b75-a82a-eca35eebb24b,L18-S01,,CORRECT_SENTENCE,Le commentaire doit porter sur la façon dont le musicien joue. Quel énoncé réalise correctement cette consigne ?,fr-FR,Le musicien joue élégant.,Le musicien est élégamment.,Le musicien joue élégamment.,Le musicien a une élégamment veste.,fr-FR,C,« Élégamment » est un adverbe et modifie correctement le verbe « joue » : « Le musicien joue élégamment. »,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Le musicien joue élégamment. » : « Élégamment » est un adverbe et modifie correctement le verbe « joue » : « Le musicien joue élégamment. »,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Le musicien joue élégamment. » : « Élégamment » est un adverbe et modifie correctement le verbe « joue » : « Le musicien joue élégamment. »,« Élégamment » est un adverbe et modifie correctement le verbe « joue » : « Le musicien joue élégamment. »,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Le musicien joue élégamment. » : « Élégamment » est un adverbe et modifie correctement le verbe « joue » : « Le musicien joue élégamment. »,fr-FR,a6dde892-62fb-56d2-a9b3-78e5e4fb8119,884867bb-2462-59b9-9b1b-2328c145743f,,d255768b-e73f-5469-8127-15c57b1e3453,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q007,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,9f65916f-0c81-4b75-a82a-eca35eebb24b,L18-S01,,INCORRECT_SENTENCE,Un correcteur a validé trois énoncés et en a rejeté un à cause d’un adverbe employé après « être ». Quel énoncé doit être rejeté ?,fr-FR,Ce serveur est discret.,Ce serveur parle discrètement.,Ce serveur travaille efficacement.,Ce serveur est discrètement.,fr-FR,D,"Après « être », on attend ici un adjectif attribut : « Ce serveur est discret ». « Est discrètement » emploie à tort un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Ce serveur est discrètement. » : Après « être », on attend ici un adjectif attribut : « Ce serveur est discret ». « Est discrètement » emploie à tort un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Ce serveur est discrètement. » : Après « être », on attend ici un adjectif attribut : « Ce serveur est discret ». « Est discrètement » emploie à tort un adverbe.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « Ce serveur est discrètement. » : Après « être », on attend ici un adjectif attribut : « Ce serveur est discret ». « Est discrètement » emploie à tort un adverbe.","Après « être », on attend ici un adjectif attribut : « Ce serveur est discret ». « Est discrètement » emploie à tort un adverbe.",fr-FR,a6dde892-62fb-56d2-a9b3-78e5e4fb8119,884867bb-2462-59b9-9b1b-2328c145743f,d255768b-e73f-5469-8127-15c57b1e3453,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 82,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q008,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,7b326a24-2848-47ad-905f-601470d0f656,L18-S05,,INCORRECT_SENTENCE,"Dans un tableau de formation, trois lignes appliquent correctement la règle et une ligne fabrique une forme impossible. Quelle ligne faut-il corriger ?",fr-FR,franc → francment,passif → passivement,régulier → régulièrement,méchant → méchamment,fr-FR,A,« Franc » donne « franchement ». Les trois autres transformations proposées sont correctes.,« Franc » donne « franchement ». Les trois autres transformations proposées sont correctes.,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « franc → francment » : « Franc » donne « franchement ». Les trois autres transformations proposées sont correctes.,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « franc → francment » : « Franc » donne « franchement ». Les trois autres transformations proposées sont correctes.,Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « franc → francment » : « Franc » donne « franchement ». Les trois autres transformations proposées sont correctes.,fr-FR,,257a1d92-f1ed-5348-b72f-e30f28c05d4e,275341f0-6bc8-5206-bdac-55c88788ea37,c75e1b46-956c-596e-8f99-5da8b1f3d91c,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q009,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,2b915634-931b-42b4-8b19-b3c4c62eba27,L18-S06,,ERROR_LOCATION,"Dans la fiche « Elle ne voyage jamais : jamais est classé comme adverbe de lieu », quelle étiquette contient l’unique erreur de classification ?",fr-FR,Elle ne voyage,adverbe de lieu,voyage,jamais,fr-FR,B,"« Jamais » est un adverbe de temps/fréquence dans cette leçon, pas un adverbe de lieu. L’étiquette « adverbe de lieu » est donc l’élément à corriger.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « adverbe de lieu » : « Jamais » est un adverbe de temps/fréquence dans cette leçon, pas un adverbe de lieu. L’étiquette « adverbe de lieu » est donc l’élément à corriger.","« Jamais » est un adverbe de temps/fréquence dans cette leçon, pas un adverbe de lieu. L’étiquette « adverbe de lieu » est donc l’élément à corriger.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « adverbe de lieu » : « Jamais » est un adverbe de temps/fréquence dans cette leçon, pas un adverbe de lieu. L’étiquette « adverbe de lieu » est donc l’élément à corriger.","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « adverbe de lieu » : « Jamais » est un adverbe de temps/fréquence dans cette leçon, pas un adverbe de lieu. L’étiquette « adverbe de lieu » est donc l’élément à corriger.",fr-FR,e6c3d3df-df0c-5e30-a870-5575bad8b985,,8565924f-a7c6-5ecd-b8cd-5ad185743ff4,cce64aac-4ee2-5d04-b99c-6f4343bc3aa6,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B082-Q010,1,ec290ee6-f705-4b74-98db-7e4079c54d60,L18,2b915634-931b-42b4-8b19-b3c4c62eba27,L18-S06,,PREPOSITION_CHOICE,"Complétez le lieu personnel avec la préposition attendue : « Après le travail, Léa rentre ___ elle. »",fr-FR,à,de,chez,dedans,fr-FR,C,"Devant un pronom tonique pour désigner le domicile ou le lieu d’une personne, on emploie « chez » : « chez elle ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « chez » : Devant un pronom tonique pour désigner le domicile ou le lieu d’une personne, on emploie « chez » : « chez elle ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « chez » : Devant un pronom tonique pour désigner le domicile ou le lieu d’une personne, on emploie « chez » : « chez elle ».","Devant un pronom tonique pour désigner le domicile ou le lieu d’une personne, on emploie « chez » : « chez elle ».","Cette option ne respecte pas la règle ciblée de la leçon. La réponse attendue est « chez » : Devant un pronom tonique pour désigner le domicile ou le lieu d’une personne, on emploie « chez » : « chez elle ».",fr-FR,e6c3d3df-df0c-5e30-a870-5575bad8b985,8565924f-a7c6-5ecd-b8cd-5ad185743ff4,,cce64aac-4ee2-5d04-b99c-6f4343bc3aa6,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 18; printed p. 84,chatgpt-qb-runner-v1.0,,TAG009,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
