schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B086-Q001,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,ad40bfa1-3c4c-45e6-a013-9e075058b382,L19-S01,,CLOZE_SINGLE,"Complétez pour une quantité non précisée : « Pour le goûter, Léa boit ___ chocolat chaud. »",fr-FR,le,du,de,des,fr-FR,B,Une boisson prise en quantité indéterminée prend ici le partitif masculin singulier « du » : « du chocolat chaud ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Une boisson prise en quantité indéterminée prend ici le partitif masculin singulier « du » : « du chocolat chaud ».,Une boisson prise en quantité indéterminée prend ici le partitif masculin singulier « du » : « du chocolat chaud ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Une boisson prise en quantité indéterminée prend ici le partitif masculin singulier « du » : « du chocolat chaud ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Une boisson prise en quantité indéterminée prend ici le partitif masculin singulier « du » : « du chocolat chaud ».,fr-FR,a137c40e-13ee-528b-8e6f-db42ea5563fc,,7de917b6-8caa-5b02-be12-59f842ae0eda,e7c6bb02-4767-54f8-8c2b-6335c798fda8,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 86,chatgpt-qb-runner-v1.0,,TAG014|TAG034|TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q002,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,7f685463-b199-4b30-96de-42dfd32feced,L19-S02,,CLOZE_SINGLE,Le complément signifie « de + les voisins ». Complétez : « Le chien ___ voisins aboie rarement. »,fr-FR,de les,les,des,du,fr-FR,C,"Quand « de » précède l’article défini pluriel « les », la contraction obligatoire est « des ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Quand « de » précède l’article défini pluriel « les », la contraction obligatoire est « des ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Quand « de » précède l’article défini pluriel « les », la contraction obligatoire est « des ».","Quand « de » précède l’article défini pluriel « les », la contraction obligatoire est « des ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Quand « de » précède l’article défini pluriel « les », la contraction obligatoire est « des ».",fr-FR,69fd52a4-d581-5801-896e-535f7752cec0,b68343d5-b60d-555f-b1d0-ec9b58667709,,2c3d8000-9064-5b2f-adc4-3505c06a6005,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 86,chatgpt-qb-runner-v1.0,,TAG034|TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q003,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,123a04f1-09f8-45d6-b6ab-34fcc0b7b778,L19-S03,,CLOZE_SINGLE,Complétez après une mesure précise : « Le laboratoire utilise deux litres ___ eau distillée. »,fr-FR,de l’,du,des,d’,fr-FR,D,"Après une quantité exprimée, on emploie « de » ; devant « eau », il s’élide en « d’ ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « d’ ». Après une quantité exprimée, on emploie « de » ; devant « eau », il s’élide en « d’ ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « d’ ». Après une quantité exprimée, on emploie « de » ; devant « eau », il s’élide en « d’ ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « d’ ». Après une quantité exprimée, on emploie « de » ; devant « eau », il s’élide en « d’ ».","Après une quantité exprimée, on emploie « de » ; devant « eau », il s’élide en « d’ ».",fr-FR,15319091-1d23-56e9-8211-47e713b1d84d,65c96162-1db3-5193-b29a-17628f0fa59b,0dcb8e0d-1df0-502e-b646-38b28b54a5d6,,MEDIUM,2.05,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 88,chatgpt-qb-runner-v1.0,,TAG014,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q004,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,0cefe77c-491e-4176-b539-4fc913604c14,L19-S04,,CLOZE_SINGLE,La phrase exprime une quantité devenue nulle. Complétez : « Le refuge ne reçoit plus ___ nourriture sèche cette semaine. »,fr-FR,de,de la,la,des,fr-FR,A,"Sous « ne… plus » avec quantité zéro, le partitif est remplacé par « de » : « plus de nourriture ».","Sous « ne… plus » avec quantité zéro, le partitif est remplacé par « de » : « plus de nourriture ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Sous « ne… plus » avec quantité zéro, le partitif est remplacé par « de » : « plus de nourriture ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Sous « ne… plus » avec quantité zéro, le partitif est remplacé par « de » : « plus de nourriture ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Sous « ne… plus » avec quantité zéro, le partitif est remplacé par « de » : « plus de nourriture ».",fr-FR,,bb1c3fdc-f8c2-5690-a859-c7ac0455164d,191f6245-5c16-5268-b19f-c60b3e6b72e6,5c24b5ce-6f19-5d61-9f31-bf0b4ac29cb9,MEDIUM,2.05,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 88,chatgpt-qb-runner-v1.0,,TAG006|TAG014,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q005,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,c3aa4aea-ddab-4b7d-bbb2-6dc965a6b246,L19-S05,,CLOZE_SINGLE,"La crème doit être totalement absente. Complétez : « Pour cette version végétale, on sert le plat sans ___. »",fr-FR,de la crème,crème,de crème,la crème,fr-FR,B,"Après « sans » exprimant l’absence, le livre emploie directement le nom, sans article partitif : « sans crème ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « crème ». Après « sans » exprimant l’absence, le livre emploie directement le nom, sans article partitif : « sans crème ».","Après « sans » exprimant l’absence, le livre emploie directement le nom, sans article partitif : « sans crème ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « crème ». Après « sans » exprimant l’absence, le livre emploie directement le nom, sans article partitif : « sans crème ».","Cette option ne respecte pas la règle ciblée. La réponse attendue est « crème ». Après « sans » exprimant l’absence, le livre emploie directement le nom, sans article partitif : « sans crème ».",fr-FR,5adb9cce-79a6-53b5-9a87-5057be4d2149,,9c6f98ea-eedc-5b6b-b45d-fde43a69b09d,afbb277c-cc1d-56fa-9d1d-e9161e1592b2,HARD,2.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 86,chatgpt-qb-runner-v1.0,,TAG005|TAG034,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q006,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,4fec3f13-dc42-4049-b312-c1b7af05db3c,L19-S06,,CLOZE_CONTEXT,La nuit a été très courte et aucun repos particulier n’est visé. Karim a besoin ___ repos.,fr-FR,du,de la,de,des,fr-FR,C,"Dans « avoir besoin de + nom » non spécifique, « de » appartient à la construction et aucun partitif ne s’ajoute.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Dans « avoir besoin de + nom » non spécifique, « de » appartient à la construction et aucun partitif ne s’ajoute.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Dans « avoir besoin de + nom » non spécifique, « de » appartient à la construction et aucun partitif ne s’ajoute.","Dans « avoir besoin de + nom » non spécifique, « de » appartient à la construction et aucun partitif ne s’ajoute.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Dans « avoir besoin de + nom » non spécifique, « de » appartient à la construction et aucun partitif ne s’ajoute.",fr-FR,5bffedb9-ae2e-5b1e-9592-0cd7b9073f29,3a1fd4b7-a092-5078-aeb4-9d4991627f11,,e06c742d-0e9d-50a9-a88b-3bf598254a47,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 88,chatgpt-qb-runner-v1.0,,TAG005|TAG034,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q007,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,ad40bfa1-3c4c-45e6-a013-9e075058b382,L19-S01,,CLOZE_CONTEXT,"Une cheminée fonctionne au fond de la pièce. En entrant, on remarque immédiatement ___ fumée dans l’air.",fr-FR,la,de,des,de la,fr-FR,D,Une quantité indéterminée de « fumée » prend le partitif féminin singulier « de la ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de la ». Une quantité indéterminée de « fumée » prend le partitif féminin singulier « de la ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de la ». Une quantité indéterminée de « fumée » prend le partitif féminin singulier « de la ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de la ». Une quantité indéterminée de « fumée » prend le partitif féminin singulier « de la ».,Une quantité indéterminée de « fumée » prend le partitif féminin singulier « de la ».,fr-FR,a137c40e-13ee-528b-8e6f-db42ea5563fc,7de917b6-8caa-5b02-be12-59f842ae0eda,e7c6bb02-4767-54f8-8c2b-6335c798fda8,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 86,chatgpt-qb-runner-v1.0,,TAG014|TAG034|TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q008,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,7f685463-b199-4b30-96de-42dfd32feced,L19-S02,,CLOZE_CONTEXT,Les dossiers sont déjà identifiés et rangés sur la table. La couverture ___ dossiers porte le même logo.,fr-FR,des,de les,les,de,fr-FR,A,Il s’agit de « de + les dossiers » ; la contraction donne obligatoirement « des dossiers ».,Il s’agit de « de + les dossiers » ; la contraction donne obligatoirement « des dossiers ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Il s’agit de « de + les dossiers » ; la contraction donne obligatoirement « des dossiers ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Il s’agit de « de + les dossiers » ; la contraction donne obligatoirement « des dossiers ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Il s’agit de « de + les dossiers » ; la contraction donne obligatoirement « des dossiers ».,fr-FR,,69fd52a4-d581-5801-896e-535f7752cec0,b68343d5-b60d-555f-b1d0-ec9b58667709,2c3d8000-9064-5b2f-adc4-3505c06a6005,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 86,chatgpt-qb-runner-v1.0,,TAG034|TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q009,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,123a04f1-09f8-45d6-b6ab-34fcc0b7b778,L19-S03,,CLOZE_CONTEXT,"Au marché, le vendeur pèse la commande avant de l’emballer : trois cents grammes ___ cerises.",fr-FR,des,de,de la,du,fr-FR,B,"Une quantité précise comme « trois cents grammes » est suivie de « de », quel que soit le nom.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Une quantité précise comme « trois cents grammes » est suivie de « de », quel que soit le nom.","Une quantité précise comme « trois cents grammes » est suivie de « de », quel que soit le nom.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Une quantité précise comme « trois cents grammes » est suivie de « de », quel que soit le nom.","Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Une quantité précise comme « trois cents grammes » est suivie de « de », quel que soit le nom.",fr-FR,15319091-1d23-56e9-8211-47e713b1d84d,,65c96162-1db3-5193-b29a-17628f0fa59b,0dcb8e0d-1df0-502e-b646-38b28b54a5d6,MEDIUM,2.05,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 88,chatgpt-qb-runner-v1.0,,TAG014,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B086-Q010,1,cb9bdbbf-0955-46a6-b979-69203ff4d988,L19,0cefe77c-491e-4176-b539-4fc913604c14,L19-S04,,CLOZE_CONTEXT,"Le réfrigérateur a été vidé avant le départ. À présent, il n’y a plus ___ beurre.",fr-FR,du,le,de,des,fr-FR,C,La négation « il n’y a plus » exprime une quantité zéro ; « du beurre » devient « de beurre ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». La négation « il n’y a plus » exprime une quantité zéro ; « du beurre » devient « de beurre ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». La négation « il n’y a plus » exprime une quantité zéro ; « du beurre » devient « de beurre ».,La négation « il n’y a plus » exprime une quantité zéro ; « du beurre » devient « de beurre ».,Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». La négation « il n’y a plus » exprime une quantité zéro ; « du beurre » devient « de beurre ».,fr-FR,bb1c3fdc-f8c2-5690-a859-c7ac0455164d,191f6245-5c16-5268-b19f-c60b3e6b72e6,,5c24b5ce-6f19-5d61-9f31-bf0b4ac29cb9,MEDIUM,2.05,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 19; printed p. 88,chatgpt-qb-runner-v1.0,,TAG006|TAG014,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
