catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,1a5dfd0c-d13d-5e65-bb3d-2a2dd79526bd,7905c739-017f-4158-b13c-79770fa4b478,L13-S01,B056-B059,GMP-FULL-B056-Q001,34,L13-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا الگوی عددی را فراتر از بافتِ مشخص‌شده تعمیم می‌دهد. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8ad303a3-0f50-5f2f-87f5-ffe66a591ec3,7905c739-017f-4158-b13c-79770fa4b478,L13-S01,B056-B059,GMP-FULL-B056-Q001,34,L13-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme numérique ou grammaticale proche. || این گزینه صورت هدف را با یک فرم عددی یا دستوریِ نزدیک اشتباه می‌گیرد. || این گزینه صورت هدف را با یک عدد یا ساخت نزدیک اشتباه می‌گیرد.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ef30a913-cd08-5307-adf6-29a786ae42b5,7905c739-017f-4158-b13c-79770fa4b478,L13-S01,B056-B059,GMP-FULL-B056-Q001,34,L13-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه فرمی را که به بافت یا نقش دیگری تعلق دارد به بافت فعلی منتقل می‌کند. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1abf0945-dd82-5ff9-9e38-96b7ce59e1c7,499c8f23-9206-406e-bfdf-17c037f8cd83,L13-S02,B056-B059,GMP-FULL-B056-Q002,33,L13-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8b4d7307-a2e3-5e14-b438-17df77ee85e1,499c8f23-9206-406e-bfdf-17c037f8cd83,L13-S02,B056-B059,GMP-FULL-B056-Q002,33,L13-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ed8b0daa-5edf-5fe4-9c06-688a3ef6b60f,499c8f23-9206-406e-bfdf-17c037f8cd83,L13-S02,B056-B059,GMP-FULL-B056-Q002,33,L13-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme numérique ou grammaticale proche.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,83290e9e-b6ce-52dc-8c4b-ed9a41a38f7b,b9fa8bfb-169a-4d08-8225-a40edae8dc5e,L13-S04,B056-B059,GMP-FULL-B056-Q003,34,L13-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا الگوی عددی را فراتر از بافتِ مشخص‌شده تعمیم می‌دهد. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,967bbd9c-9b02-552a-8d47-337c4451b2ce,b9fa8bfb-169a-4d08-8225-a40edae8dc5e,L13-S04,B056-B059,GMP-FULL-B056-Q003,34,L13-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه فرمی را که به بافت یا نقش دیگری تعلق دارد به بافت فعلی منتقل می‌کند. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e92498b3-7b8e-5b8c-9024-932a07492386,b9fa8bfb-169a-4d08-8225-a40edae8dc5e,L13-S04,B056-B059,GMP-FULL-B056-Q003,34,L13-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme numérique ou grammaticale proche. || این گزینه صورت هدف را با یک فرم عددی یا دستوریِ نزدیک اشتباه می‌گیرد. || این گزینه صورت هدف را با یک عدد یا ساخت نزدیک اشتباه می‌گیرد.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,03653965-24ea-5a19-8b4f-ee76ca702234,b8785c0a-41e3-44b8-ba0f-8370b28bfce0,L13-S05,B056-B059,GMP-FULL-B056-Q004,39,L13-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه فرمی را که به بافت یا نقش دیگری تعلق دارد به بافت فعلی منتقل می‌کند. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,58b856c7-b57e-5eb8-a5d6-86bdb8d1e426,b8785c0a-41e3-44b8-ba0f-8370b28bfce0,L13-S05,B056-B059,GMP-FULL-B056-Q004,39,L13-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L13-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B056–B059 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا الگوی عددی را فراتر از بافتِ مشخص‌شده تعمیم می‌دهد. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B056-B059 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
