tag_id,tag_code,slug,tag_group,display_name_fr,display_name_fa_draft,fa_label_status,membership_rule_fa,status,taxonomy_version
d650b9ae-7207-53fe-8b27-9f8e130d114b,TAG001,present,Temporal,Présent,حال,approved_project_translation_v1.0,وقتی présent به‌صورت صریح در محتوای درس نقش ثانویه/مقایسه‌ای دارد.,active,taxonomy-v0.9.0
8d053260-0d4d-54a6-a41b-fbc55307c767,TAG002,past,Temporal,Passé,گذشته,approved_project_translation_v1.0,وقتی یک یا چند ساخت گذشته نقش ثانویه یا مقایسه‌ای دارند.,active,taxonomy-v0.9.0
4b6fce9c-3dfa-5d0b-93d8-0627d9226726,TAG003,future,Temporal,Futur,آینده,approved_project_translation_v1.0,وقتی آینده نقش ثانویه یا مقایسه‌ای دارد.,active,taxonomy-v0.9.0
80aa4964-2aca-5508-b693-484e0df9b977,TAG004,agreement,Structure,Accord,تطابق,approved_project_translation_v1.0,برای توافق جنس/شمار یا accord du participe/adjectif.,active,taxonomy-v0.9.0
b1f3d05e-5e60-585c-9b28-f4263258f8f9,TAG005,articles,Structure,Articles,حروف تعریف,approved_project_translation_v1.0,برای رفتار article در درسی که article دستهٔ اصلی آن نیست یا به‌صورت cross-cutting مطرح است.,active,taxonomy-v0.9.0
16604b24-295e-5cbf-b631-1b2ba0182a71,TAG006,negation,Sentence,Négation,نفی,approved_project_translation_v1.0,برای ساخت یا جایگاه نفی به‌عنوان ویژگی ثانویه.,active,taxonomy-v0.9.0
c9500ddf-691d-571f-acd7-f84a5ff2fbef,TAG007,interrogation,Sentence,Interrogation,پرسش,approved_project_translation_v1.0,برای پرسش/وارونگی/ساخت interrogative به‌عنوان ویژگی ثانویه.,active,taxonomy-v0.9.0
672bf43b-99af-59dd-ae89-677691337966,TAG008,pronunciation,Form,Prononciation,تلفظ,approved_project_translation_v1.0,وقتی کتاب نکتهٔ آوایی/liaison مستقل ثبت کرده است.,active,taxonomy-v0.9.0
c5fee91c-2b19-5ffc-a9e7-ad921705cd5b,TAG009,orthography,Form,Orthographe,املا,approved_project_translation_v1.0,وقتی تغییر یا قاعدهٔ نوشتاری مستقل در subtopicها وجود دارد.,active,taxonomy-v0.9.0
0367c229-2bde-5243-816f-f09652db4779,TAG010,register_variation,Usage,Registre / oral-écrit,سطح رسمی/گفتاری-نوشتاری,approved_project_translation_v1.0,وقتی تفاوت رسمی/محاوره‌ای یا oral/écrit در دادهٔ مرحله ۱ صریح است.,active,taxonomy-v0.9.0
9d00725b-c9f7-5950-91e7-8b2922bf1071,TAG011,possession,Meaning,Possession,مالکیت,approved_project_translation_v1.0,برای روابط ملکی به‌عنوان بعد جانبی.,active,taxonomy-v0.9.0
9a30daab-9085-530e-a965-6006eed20f20,TAG012,demonstration,Meaning,Démonstration,اشاره,approved_project_translation_v1.0,برای ارجاع اشاره‌ای.,active,taxonomy-v0.9.0
3e2542cd-1c52-54e4-ac7d-4a56792c1790,TAG013,indefiniteness,Meaning,Indéfini,نامعین,approved_project_translation_v1.0,برای quantifieurs/pronoms نامعین و polarity مربوط.,active,taxonomy-v0.9.0
