rule_id,rule_scope,rule_code,question_type_id,question_type_code,cognitive_level,name_fa,construction_rule_fa,mapping_rule_fa,prohibited_fa,compatibility_gate,mechanism,ruleset_version,status,source_ref,recovery_version
9010c6f9-1359-5725-a117-54f3e42aabc2,GLOBAL,G01_SINGLE_CORRECT,,ALL,,G01_SINGLE_CORRECT,در هر item دقیقاً یک پاسخ صحیح/هدف وجود دارد؛ هیچ distractor نباید با تفسیر معقول دوم صحیح شود.,طبق G02,دو پاسخ دفاع‌پذیر,Stage6 gate applies,constraint+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
dd9a1750-1fcb-518e-988d-db84517a9c31,GLOBAL,G02_MAP_MISCONCEPTION,,ALL,,G02_MAP_MISCONCEPTION,هر distractor در صورت امکان misconception_id دارد؛ correct option همیشه misconception_id تهی دارد.,هر distractor تشخیصی به یک misconception معتبر متصل شود.,misconception روی گزینه صحیح,Stage6 gate applies,schema_constraint+validation,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
a0e01582-2065-53dc-948a-aa3ec93bd0f8,GLOBAL,G03_REALISTIC_WRONG,,ALL,,G03_REALISTIC_WRONG,distractor باید واقعی و plausible باشد اما در context هدف قطعاً غلط باشد.,خطا از misconception/near-rule واقعی مشتق شود.,گزینه بی‌معنی یا آشکارا ناممکن,Stage6 gate applies,content_checklist,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
4e2dc957-1f85-5a31-8d38-bd2d9be48d10,GLOBAL,G04_BALANCE_PARALLEL,,ALL,,G04_BALANCE_PARALLEL,طول، سبک، زمان فعل، register و طبیعی‌بودن گزینه‌ها تا حد امکان متوازن باشند.,مقایسه چهارتایی قبل از review.,نشانه ظاهری جواب صحیح,Stage6 gate applies,content_checklist+static_metric,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
6bfaabd8-91df-56d8-bee7-725be5235f34,GLOBAL,G05_NEAR_RULE_HARD,,ALL,,G05_NEAR_RULE_HARD,برای سؤال سخت می‌توان از قاعده نزدیک که در context دیگری درست است استفاده کرد؛ منشأ nearby rule باید ثبت شود.,misconception نزدیک ثبت شود.,trick بدون منطق آموزشی,Stage6 gate applies,authoring_rule+review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
2e7a7b32-29ce-5697-9f11-22759ee3405e,GLOBAL,G06_NO_TYPO_ONLY,,ALL,,G06_NO_TYPO_ONLY,سه distractor صرفاً با typo ساخته نشوند مگر هدف صریح سؤال املا باشد.,خطا باید construct هدف را نمایندگی کند.,typo-only distractor set,Stage6 gate applies,content_checklist,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
15c915a9-1e1f-50ac-983b-c699cc72bb55,GLOBAL,G07_NO_SEMANTIC_DUPLICATES,,ALL,,G07_NO_SEMANTIC_DUPLICATES,دو گزینه معادل معنایی یا دو پاسخ بالقوه صحیح مجاز نیست.,بازخوانی هر چهار گزینه در context کامل.,semantic duplicate,Stage6 gate applies,validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
53aa07e3-8b82-5a54-840d-d77343e4b6db,GLOBAL,G08_EXPLANATION_SAFE,,ALL,,G08_EXPLANATION_SAFE,توضیح distractor باید علت غلط بودن در همان context را روشن کند و قاعده غلط را normalize نکند.,explanation به misconception و rule صحیح متصل شود.,توضیحی که خطا را آموزش می‌دهد,Stage6 gate applies,content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
20397eb6-3465-518d-87ae-98eca38378ae,GLOBAL,G09_POSITION_STYLE_BALANCE,,ALL,,G09_POSITION_STYLE_BALANCE,موقعیت گزینه صحیح و الگوی طول/سبک در بانک نباید قابل حدس باشد.,static bank audit و بعداً position metrics.,الگوی ثابت position/length,Stage6 gate applies,static_metric+analytics,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
92e734d1-e18e-59da-a504-0d3c0540ba7e,GLOBAL,G10_COMPATIBILITY_GATE,,ALL,,G10_COMPATIBILITY_GATE,Stage6 compatibility اجباری است: PREFERRED/ALLOWED عادی؛ CONDITIONAL فقط با guardrail؛ NOT_SUITABLE ممنوع.,نوع سؤال باید به target compatibility resolve شود.,تولید برای NOT_SUITABLE,Stage6 gate applies,validation+serving_gate,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
ef87e6d9-96dd-512f-ae7e-141677e8bcce,GLOBAL,G11_POSTDEPLOY_SELECTION_METRIC,,ALL,,G11_POSTDEPLOY_SELECTION_METRIC,بعد از deploy نرخ انتخاب هر distractor و N ذخیره شود؛ weak heuristic اولیه selection<5% با N>=100 است.,Stage27 calibration مالک threshold نهایی است.,ادعای فراوانی تجربی قبل از داده,Stage6 gate applies,analytics,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
1a1e7605-69a5-5e1a-9b88-c70bffca2565,GLOBAL,G12_NO_FIXED_REUSE,,ALL,,G12_NO_FIXED_REUSE,distractorهای ثابت و تکراری در تمام سؤال‌ها استفاده نشوند؛ family و surface form باید تنوع کنترل‌شده داشته باشد.,duplicate/pattern audit.,fixed repeated distractor bank,Stage6 gate applies,content_audit+analytics,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
53902cad-77c4-5a88-89b3-e043c1f17f2d,QUESTION_TYPE,T_CLOZE_SINGLE,e9f1df52-d4b8-5e27-a3fb-c7301f53be50,CLOZE_SINGLE,RECALL,جای خالی تک‌قاعده,فرم‌های نزدیک و واقعی از همان خانواده دستوری؛ stem باید دقیقاً یک slot و یک پاسخ یکتا داشته باشد.,هر distractor به خطای فرم/قاعده مشخص نگاشت شود.,جای خالی چندپاسخی یا cue ظاهری.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
0a596265-e94f-5006-a532-c276161c0e64,QUESTION_TYPE,T_CLOZE_CONTEXT,32374c7b-9284-562f-8bcd-c3bbcad6728f,CLOZE_CONTEXT,APPLICATION,جای خالی در context,فرم‌هایی که محلی ممکن به نظر می‌رسند ولی با زمان، مرجع یا معنای کل context ناسازگارند.,context باید برای رد هر distractor یک شاهد صریح داشته باشد.,گزینه‌ای که با یک تفسیر روایی قابل دفاع شود.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
e49e408b-82c5-5326-bb0e-45c437afbdfe,QUESTION_TYPE,T_CORRECT_SENTENCE,21ebada3-ac9a-519a-a0b1-58a57ba7e9c9,CORRECT_SENTENCE,DISCRIMINATION,انتخاب جمله صحیح,سه جمله موازی که هرکدام دقیقاً یک خطای هدف متفاوت/قابل‌ردیابی دارند.,هر جمله غلط به misconception_id متصل شود؛ واژگان و طول تا حد ممکن موازی بماند.,جمله‌ای با بیش از یک خطا یا خطای خارج از construct.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
06293ccd-47f5-5a27-9556-3014886755d8,QUESTION_TYPE,T_INCORRECT_SENTENCE,a2fbc3d0-466a-5e81-bfdd-376ec6796aae,INCORRECT_SENTENCE,DISCRIMINATION,یافتن جمله غلط,سه جمله واقعاً صحیح که برای زبان‌آموزِ overgeneralizing مشکوک به نظر می‌رسند.,گزینه هدفِ غلط باید یک misconception مشخص داشته باشد؛ سه گزینه دیگر مستقل review شوند.,ایجاد خطای پنهان در یکی از سه گزینه صحیح.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
162f67ba-ea92-5a3d-8eae-8c9a3ee620bf,QUESTION_TYPE,T_ERROR_LOCATION,646c0bc6-2722-50af-b7c9-ae0657805553,ERROR_LOCATION,DISCRIMINATION,تشخیص نوع/محل خطا,سه span/label تحلیلی نزدیک که علت واقعی خطا نیستند.,distractorها به misdiagnosisهای مشخص نگاشت شوند؛ جمله فقط یک خطا داشته باشد.,دو محل قابل دفاع یا خطای global که localizable نیست.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
b7c73136-e87e-551c-8ea4-c497caca1d06,QUESTION_TYPE,T_CONJUGATION,bd178d4e-0325-51b4-9c06-8040893e4437,CONJUGATION,RECALL,صرف فعل,صورت‌های واقعی همان فعل با شخص/پایانه/ریشه/الگوی نزدیک.,زمان و وجه ثابت؛ تفاوت اصلی morphology هدف باشد.,مخلوط‌کردن انتخاب زمان با صرف یا ساختن form غیرواقعی.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
17b92440-31bd-5226-86f9-0121b1a0d63c,QUESTION_TYPE,T_TENSE_CHOICE,8fb82828-73d5-573a-8ccd-7d165372beab,TENSE_CHOICE,APPLICATION,انتخاب زمان,زمان‌های نزدیک با صرف صحیح؛ تفاوت باید aspect/chronology/habit/event باشد.,misconceptionها تفاوت زمان/نمود را نمایندگی کنند.,گزینه‌ای که صرفاً به‌خاطر صرف غلط حذف می‌شود.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
2fa7d22b-c61b-5e8d-992f-06af379e9a30,QUESTION_TYPE,T_PRONOUN_CHOICE,b6e57a62-931c-5b3f-8aff-dafe096d5d65,PRONOUN_CHOICE,APPLICATION,انتخاب ضمیر,COD/COI/y/en/tonique/relatif یا صورت نزدیک با مرجع روشن.,هر گزینه غلط به اشتباه نقش/مرجع/رکسیون مشخص متصل شود.,context مبهم با دو antecedent یا دو ضمیر قابل دفاع.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
536615eb-880f-5a8a-83b4-a64def05b136,QUESTION_TYPE,T_PREPOSITION_CHOICE,080bebd0-8e3d-51e9-ad82-13c256bc513a,PREPOSITION_CHOICE,APPLICATION,انتخاب حرف اضافه,حروف اضافهٔ رایج و نزدیک یا Ø، ترجیحاً مواردی که در ساخت دیگری درست‌اند.,فعل/اسم/مکان/زمان باید انتخاب را قفل کند؛ mapping به rection/spatial/temporal misconception.,چند حرف اضافه با تغییر معنای جزئی اما قابل قبول.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
748bd749-ad1d-5444-bb8e-95431c0a01c5,QUESTION_TYPE,T_REWRITE_EQUIV,e7c92ba5-b1c8-5672-b377-08c7a1641350,REWRITE_EQUIV,DISCRIMINATION,بازنویسی هم‌معنی,بازنویسی‌های روان با semantic drift، polarity/tense/reference/register mismatch یا ساخت غلط.,distractor باید طبیعی باشد ولی دقیقاً یک بعد معنی/قاعده را تغییر دهد.,دو paraphrase هم‌معنی یا تغییر هم‌زمان چند بعد.,PREFERRED/ALLOWED = normal; CONDITIONAL = only with Stage6 guardrail; NOT_SUITABLE = forbidden,authoring_rule+validation+content_review,distractor-rule-set-v0.9.0,ACTIVE_RECOVERED_REFERENCE,Stage6 question-type-catalogue-v0.9.0 + Project Guide v1.0 — Stage 7 pp.38–42,question-authoring-recovery-v1.0.0
