category_id,category_code,slug,display_name_fr,display_name_fa_draft,fa_label_status,membership_rule_fa,display_order,status,taxonomy_version
ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,verbs_conjugation,Verbes et conjugaison,افعال و صرف,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها صرفِ فعل، الگوی صرف حال یا رفتار ساختی/واژگانی یک گروه فعل است؛ نه آموزش یک زمان دستوری مستقل.,1,active,taxonomy-v0.9.0
e429d27c-d763-5f7c-a21f-cbec18a6cf9f,CAT02,tenses,Temps verbaux,زمان‌های فعل,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها ساخت و کاربرد یک زمان در نظام زمانی فعل است؛ در این نسخه گذشته و آینده.,2,active,taxonomy-v0.9.0
14239c26-01ec-5ede-ba0b-07619d66ca8e,CAT03,moods_voice_aspect,"Modes, voix et aspect",وجه‌ها، معلوم/مجهول و نمود,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها وجه فعل، ساخت مجهول، نمود/پیرامون‌فعل یا صورت غیرشخصی است.,3,active,taxonomy-v0.9.0
7516a18a-919c-5431-8ef2-1bfe2a33500a,CAT04,pronouns,Pronoms et référence,ضمیرها و ارجاع,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها جانشینی/ارجاع با ضمیر، ترتیب ضمیر یا ساخت موصولی است.,4,active,taxonomy-v0.9.0
62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nominal_determiners,Groupe nominal et déterminants,گروه اسمی و تعیین‌کننده‌ها,approved_project_translation_v1.0,درس‌هایی که هستهٔ آموزشی آن‌ها اسم، article یا تعیین‌کننده‌های ملکی/اشاره/نامعین و رفتار گروه اسمی است.,5,active,taxonomy-v0.9.0
84aebd88-ac6e-5ab2-bc0f-6b4265db82c6,CAT06,modification_agreement,"Adjectifs, adverbes, accord et comparaison",صفت، قید، تطابق و مقایسه,approved_project_translation_v1.0,درس‌هایی دربارهٔ صفت/قید، تطابق، جایگاه و معنا، درجه و مقایسه.,6,active,taxonomy-v0.9.0
d69e4e9c-e33c-5972-a65c-ffeedeb49685,CAT07,quantification,Quantité et nombres,کمیت و اعداد,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها بیان عدد، مقدار، partitif یا ساخت‌های کمی است.,7,active,taxonomy-v0.9.0
9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,prepositions_reference,Prépositions et repérage spatio-temporel,حروف اضافه و مکان‌یابی/زمان‌یابی,approved_project_translation_v1.0,درس‌هایی که محور آن‌ها رابطهٔ مکانی/زمانی/مدت یا rection با حروف اضافه است.,8,active,taxonomy-v0.9.0
6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,sentence_structure,Structure de phrase,ساختار جمله,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها نفی، پرسش، معرفی/شناسایی یا بیان وجود در سطح ساخت جمله است.,9,active,taxonomy-v0.9.0
4174226c-e09f-52e4-a8c9-d8916772074c,CAT10,reported_speech,Discours rapporté,گفتار غیرمستقیم,approved_project_translation_v1.0,درس‌هایی که تبدیل گفتار مستقیم به غیرمستقیم و هماهنگی ساخت/زمان را آموزش می‌دهند.,10,active,taxonomy-v0.9.0
74d8363b-f18d-5422-a578-fdcec7e7dbee,CAT11,condition_logic,"Condition, hypothèse et relations logiques",شرط، فرض و روابط منطقی,approved_project_translation_v1.0,درس‌هایی که هدف اصلی آن‌ها ساخت فرض/شرط یا پیوندهای منطقی مانند علت، نتیجه، هدف، تقابل و امتیاز است.,11,active,taxonomy-v0.9.0
