catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,7f509143-7930-4646-bf90-37ce52cf935d,L10-S01,B042-B081,GMP-FULL-B042-Q001,53,L10-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : Le nom de ville « Paris » s’emploie normalement sans article. || Incorrect : Ajouter un article devant ce nom de ville régularise à tort son emploi. || Incorrect : L’élision d’un article n’est pas attendue : le nom de ville reste sans article.,Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,481bc2c0-9438-56ce-af53-ab21a1d912b0,e92221b8-33aa-4278-a380-ba4c39503dbc,L10-S02,B042-B081,GMP-FULL-B042-Q002,44,L10-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : « à » est le choix de base pour une ville, alors qu’ici le complément est un pays féminin. || Incorrect : « en » serait attendu pour certains pays, pas pour une ville ordinaire. || Incorrect : « au » correspond à un type de pays, alors que Lyon est une ville.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,be01ed44-71bb-5318-9a8b-79d2884553ef,e92221b8-33aa-4278-a380-ba4c39503dbc,L10-S02,B042-B081,GMP-FULL-B042-Q002,60,L10-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : « au » s’emploie avec un pays masculin dans le schéma de la leçon, pas avec la France. || Incorrect : « aux » correspond à un pays au pluriel. || Incorrect : « aux » correspond au pluriel.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,42ef4f6e-88f9-53ba-97d2-4a5a87feb773,5f70451b-f7fb-4f03-85f3-1c5ee59fbc3d,L10-S03,B042-B081,GMP-FULL-B042-Q003,31,L10-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : « sous » exprime une position inférieure et change la relation spatiale. || Incorrect : « sous » exprimerait une position matérielle inférieure, pas la présence d’une annonce dans un journal. || Incorrect : « sous » exprime une relation spatiale inférieure, sans rapport avec le support numérique.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,467c5322-a2ba-50b8-9c2f-b595ada732ca,5f70451b-f7fb-4f03-85f3-1c5ee59fbc3d,L10-S03,B042-B081,GMP-FULL-B042-Q003,44,L10-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : La combinaison enseignée est « dans un fauteuil », pas « sur un fauteuil ». || Incorrect : Cette combinaison fixe ne se construit pas avec « à ». || Incorrect : La leçon donne « dans le journal » pour ce support.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,56a45ed8-2e3c-5126-a25c-e98547106849,9a0d317d-69fe-48cb-a587-46d053de2165,L10-S04,B042-B081,GMP-FULL-B042-Q005,33,L10-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : « dessus » est une forme adverbiale et ne peut pas introduire directement le complément « la table » ici. || Incorrect : Avec le complément « la porte », la forme prépositionnelle complète est nécessaire. || Incorrect : « dans » est une préposition qui demanderait ici un complément.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,6d173468-fd63-538b-8ac5-39ce6e549762,9a0d317d-69fe-48cb-a587-46d053de2165,L10-S04,B042-B081,GMP-FULL-B042-Q005,48,L10-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : « dehors » oppose intérieur/extérieur et ne décrit pas une relation verticale. || Incorrect : Cette forme exprime l’extérieur, pas une relation verticale. || Incorrect : « dessous » décrit une position verticale basse, pas l’intérieur.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ce3f76fb-8c2a-5652-9d94-68ed9c9b1570,9a0d317d-69fe-48cb-a587-46d053de2165,L10-S04,B042-B081,GMP-FULL-B042-Q005,41,L10-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : Cette option inverse la relation verticale décrite. || Incorrect : Cette option inverse les positions indiquées par les étages. || Incorrect : La première relation verticale contredit l’indication que le cadre est plus haut.,Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,12cd4b7c-55e1-5eb0-a0af-5ac52889baf0,7579d8b6-2928-4465-8cbd-6d0b4f7ca84a,L10-S05,B042-B081,GMP-FULL-B042-Q006,56,L10-S04;L10-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : Quatre kilomètres dans ce contexte contredit l’idée de proximité exprimée par « près de ». || Incorrect : La cour commune indique une proximité immédiate, pas une grande distance. || Incorrect : Cinq minutes à pied indiquent une proximité, pas une grande distance.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,83d38732-3517-5fee-baf6-e39e35e3e10f,7579d8b6-2928-4465-8cbd-6d0b4f7ca84a,L10-S05,B042-B081,GMP-FULL-B042-Q006,40,L10-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L10-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B042–B081 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : Avec un complément nominal, « loin » doit être suivi de « de ». || Incorrect : Avec le complément « la clinique », « près » doit être suivi de « de ». || Incorrect : La forme est incomplète devant un complément et le sens contredit le contexte.",Question Bank B042-B081 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
