schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B129-Q001,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,ab16147b-2958-467e-b95b-ab532ce6c812,L29-S01,,CLOZE_SINGLE,Paul part en premier ; sa sœur part après ___.,fr-FR,lui,le,il,son,fr-FR,A,Le pronom tonique correspondant à « il » est « lui ».,Le pronom tonique correspondant à « il » est « lui ».,"Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,,9235d1cc-3a5d-56c1-867a-4a5cf23b7a7d,4c088667-7ee2-523c-8bc4-92d3aa172eab,94a7d79b-961b-5c15-bea4-6334dc1baedf,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q002,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,45d4d31b-b955-4ae5-b375-b88d7cfedf95,L29-S03,,CLOZE_SINGLE,— Qui a préparé ce dessert ? — C’est ___.,fr-FR,me,mon,moi,je,fr-FR,C,"Après « c’est » pour identifier une personne, on emploie un pronom tonique : « moi ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Après « c’est » pour identifier une personne, on emploie un pronom tonique : « moi ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,740cb209-b87a-58fe-9020-dda9f4bb2e19,337916b0-380a-5ae6-800c-c844379d659d,,0b2c9f01-3796-58b2-9bde-360b8d9845b3,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q003,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,5465e03e-910b-49cb-8e8b-355d78f2c887,L29-S02,,CLOZE_SINGLE,Nous allons au cinéma avec ___.,fr-FR,leur,eux,ils,les,fr-FR,B,"Après la préposition « avec », une personne ou un groupe se reprend par un pronom tonique : « eux ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Après la préposition « avec », une personne ou un groupe se reprend par un pronom tonique : « eux ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,632f6f50-3100-5a2b-b572-1e49e9ef84e0,,628ba52b-5f66-5ee4-8791-22caee4929ec,319879e0-2634-5d51-9976-8302d8b01d1a,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q004,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,acba2620-92ec-40b2-a2e7-bdccc5dc76f8,L29-S04,,CLOZE_SINGLE,— J’adore la montagne. — __ aussi.,fr-FR,Je,Me,Mon,Moi,fr-FR,D,"Après « aussi », le pronom tonique « moi » permet d’ajouter la même préférence.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Après « aussi », le pronom tonique « moi » permet d’ajouter la même préférence.",fr-FR,a07f23e5-a8de-5818-a19c-7e27f29c226e,2371e1b5-c470-5e6b-bc1a-71a1080dbd0a,ddec67d6-6130-5d13-855b-da2d4c12ceae,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q005,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,5465e03e-910b-49cb-8e8b-355d78f2c887,L29-S02,,CLOZE_SINGLE,Cette place est réservée pour Léa et ___.,fr-FR,moi,je,me,mon,fr-FR,A,"Après « pour », on utilise un pronom tonique : « moi ».","Après « pour », on utilise un pronom tonique : « moi ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,,632f6f50-3100-5a2b-b572-1e49e9ef84e0,628ba52b-5f66-5ee4-8791-22caee4929ec,319879e0-2634-5d51-9976-8302d8b01d1a,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q006,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,ab16147b-2958-467e-b95b-ab532ce6c812,L29-S01,,CLOZE_SINGLE,"Quand on vit seul, il faut aussi savoir prendre soin de ___.",fr-FR,on,se,soi,lui,fr-FR,C,"Avec un sujet indéfini comme « on », le pronom tonique réfléchi est « soi ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Avec un sujet indéfini comme « on », le pronom tonique réfléchi est « soi ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,9235d1cc-3a5d-56c1-867a-4a5cf23b7a7d,4c088667-7ee2-523c-8bc4-92d3aa172eab,,94a7d79b-961b-5c15-bea4-6334dc1baedf,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q007,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,45d4d31b-b955-4ae5-b375-b88d7cfedf95,L29-S03,,CLOZE_CONTEXT,Contexte : On demande qui est la nouvelle responsable. Nora répond : « C’est ___. »,fr-FR,sa,elle,la,lui,fr-FR,B,"Après « c’est », on identifie la personne avec le pronom tonique « elle ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Après « c’est », on identifie la personne avec le pronom tonique « elle ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,740cb209-b87a-58fe-9020-dda9f4bb2e19,,337916b0-380a-5ae6-800c-c844379d659d,0b2c9f01-3796-58b2-9bde-360b8d9845b3,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q008,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,5465e03e-910b-49cb-8e8b-355d78f2c887,L29-S02,,CLOZE_CONTEXT,Contexte : Marc ne peut pas venir seul. Il demande à ses cousins de partir avec ___.,fr-FR,il,le,son,lui,fr-FR,D,"Après « avec », on emploie le pronom tonique « lui ».","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Après « avec », on emploie le pronom tonique « lui ».",fr-FR,632f6f50-3100-5a2b-b572-1e49e9ef84e0,628ba52b-5f66-5ee4-8791-22caee4929ec,319879e0-2634-5d51-9976-8302d8b01d1a,,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q009,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,acba2620-92ec-40b2-a2e7-bdccc5dc76f8,L29-S04,,CLOZE_CONTEXT,Contexte : Inès aime travailler tôt et sa collègue partage cette habitude. Sa collègue répond : « __ aussi. »,fr-FR,Moi,Je,Me,Ma,fr-FR,A,Le pronom tonique « moi » s’emploie avec « aussi » pour marquer l’accord.,Le pronom tonique « moi » s’emploie avec « aussi » pour marquer l’accord.,"Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,,a07f23e5-a8de-5818-a19c-7e27f29c226e,2371e1b5-c470-5e6b-bc1a-71a1080dbd0a,ddec67d6-6130-5d13-855b-da2d4c12ceae,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B129-Q010,1,0259af3a-8df3-4f28-ad02-62a99368c409,L29,ab16147b-2958-467e-b95b-ab532ce6c812,L29-S01,,CLOZE_CONTEXT,Contexte : Tout le monde choisit librement son activité. Chacun décide pour ___.,fr-FR,se,son,soi,lui,fr-FR,C,"Dans une référence générale avec « tout le monde/chacun », « soi » est la forme tonique appropriée.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.","Dans une référence générale avec « tout le monde/chacun », « soi » est la forme tonique appropriée.","Ce choix confond la forme tonique avec une forme sujet, objet ou un référent incompatible avec ce contexte.",fr-FR,9235d1cc-3a5d-56c1-867a-4a5cf23b7a7d,4c088667-7ee2-523c-8bc4-92d3aa172eab,,94a7d79b-961b-5c15-bea4-6334dc1baedf,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 29; printed p. 132,chatgpt-qb-runner-v1.0,,TAG020|TAG023,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
