schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B032-Q001,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_SINGLE,"Complétez : « Pierre et Claire sont le père et la mère de Léa. Ensemble, ce sont ses ___. »",fr-FR,parents,enfants,grands-parents,cousins,fr-FR,A,قاعده: برای رابطه‌های خانوادگی واژه‌های دقیقی به‌کار می‌رود: «les/mes parents» پدر و مادرند، «des parents» می‌تواند بستگان دیگر باشد؛ grand- برای برخی ascendantها و petit- برای برخی descendantها به‌کار می‌رود. کاربرد در این سؤال: Pierre و Claire به‌ترتیب پدر و مادرِ Léa هستند؛ وقتی این دو با هم نامیده می‌شوند، واژهٔ «parents» دقیقاً همان دو نفر را معرفی می‌کند. پس گزینهٔ A درست است.,درست: «parents» با رابطه و قاعدهٔ هدف سؤال سازگار است. Pierre و Claire به‌ترتیب پدر و مادرِ Léa هستند؛ وقتی این دو با هم نامیده می‌شوند، واژهٔ «parents» دقیقاً همان دو نفر را معرفی می‌کند.,نادرست: «enfants» به «فرزندان» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «parents» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «grands-parents» به «پدربزرگ و مادربزرگ» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «parents» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «cousins» به «cousinها/بستگان هم‌نسل» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «parents» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,fr-FR,,c9219f32-2c57-5a02-b29b-e9f73e82e24b,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q002,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_SINGLE,Complétez : « Paul est le mari de ma fille ; Paul est donc mon ___. »,fr-FR,beau-frère,gendre,beau-père,neveu,fr-FR,B,قاعده: در نسبت‌های سببی، پدر/مادر همسر beau-père/belle-mère، برادر/خواهر همسر beau-frère/belle-sœur، شوهر دختر gendre و زن پسر belle-fille است؛ در ازدواج مجدد، شوهر مادر نیز می‌تواند beau-père باشد. کاربرد در این سؤال: Paul «mari de ma fille» است؛ در جدول نسبت‌های سببی، شوهرِ دختر از دید گوینده «gendre» نامیده می‌شود، نه beau-frère یا beau-père. پس گزینهٔ B درست است. برای حل، باید زنجیرهٔ «چه کسی نسبت به چه کسی» را از دید گوینده نگه داشت؛ عوض‌شدن نقطهٔ دید، پاسخ را به نسبت دیگری تبدیل می‌کند.,نادرست: «beau-frère» نسبتِ «برادرِ همسر» را می‌رساند، اما رابطهٔ سؤال به «gendre» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,درست: «gendre» با رابطه و قاعدهٔ هدف سؤال سازگار است. Paul «mari de ma fille» است؛ در جدول نسبت‌های سببی، شوهرِ دختر از دید گوینده «gendre» نامیده می‌شود، نه beau-frère یا beau-père.,نادرست: «beau-père» نسبتِ «پدرِ همسر یا در بافت بازترکیب‌شده شوهرِ مادر» را می‌رساند، اما رابطهٔ سؤال به «gendre» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,نادرست: «neveu» نسبتِ «برادرزاده/خواهرزادهٔ پسر» را می‌رساند، اما رابطهٔ سؤال به «gendre» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q003,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,,CLOZE_SINGLE,"Pour parler de tous les gens en général, complétez : « ___ aime les vacances. »",fr-FR,Les gens,Des personnes,Tout le monde,Le monde entier,fr-FR,C,قاعده: «des gens» برای تعداد نامعین، «des personnes» برای تعداد مشخص، و «tout le monde» برای «همه» به‌کار می‌رود؛ gens فعل جمع و tout le monde فعل مفرد می‌گیرد. کاربرد در این سؤال: صورت سؤال دربارهٔ همهٔ مردم به‌طور کلی است و فعل از قبل «aime» مفرد آمده؛ «Tout le monde» هم از نظر معنا و هم از نظر توافق با این فعل جور است. پس گزینهٔ C درست است. بنابراین هم معنا/شمارپذیری مهم است و هم توافق فعل؛ مثلاً «Les gens pensent…» در برابر «Tout le monde pense…» قرار می‌گیرد.,نادرست: «gens» برای گروه با تعداد نامعین است و به‌عنوان فاعل فعل جمع می‌گیرد؛ در این بافت پاسخ «Tout le monde» است.,نادرست: «personnes» برای افراد شمارش‌پذیر/تعداد مشخص مناسب است و جمع است؛ در این بافت پاسخ «Tout le monde» است.,درست: «Tout le monde» با رابطه و قاعدهٔ هدف سؤال سازگار است. صورت سؤال دربارهٔ همهٔ مردم به‌طور کلی است و فعل از قبل «aime» مفرد آمده؛ «Tout le monde» هم از نظر معنا و هم از نظر توافق با این فعل جور است.,نادرست: «le monde entier» به کل کشورهای جهان اشاره دارد، نه گروه شمارش‌شدهٔ افراد؛ در این بافت پاسخ «Tout le monde» است.,fr-FR,24b2a230-d8ff-5075-adb1-404774bc426a,2434f5de-cfe3-5a13-83e7-db35fdf33137,,bfd1fd88-415b-5ae9-a701-e203aced2b40,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S03,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q004,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,5c5c4c0d-12b8-41aa-90a3-5b4a21fc46e0,L07-S04,,CLOZE_SINGLE,Nadia présente Karim comme son compagnon. Complétez : « Karim est ___ ami. »,fr-FR,un,l’,cet,mon,fr-FR,D,قاعده: در این تقابل معنایی، «mon ami(e)» می‌تواند compagnon/compagne باشد، اما «un(e) ami(e)» معمولاً رابطهٔ دوستانه است؛ تعیین‌کننده باید با بافت صریح سؤال هماهنگ شود. کاربرد در این سؤال: Karim صریحاً compagnonِ Nadia معرفی شده است؛ در این تقابل معنایی باید ساخت «mon ami» انتخاب شود تا معنای شریک عاطفیِ موردنظر حفظ شود. پس گزینهٔ D درست است. این قاعده را باید در چارچوب همان بافتِ سؤال خواند؛ هدف سؤال انتخاب تعیین‌کننده‌ای است که با معنای صریحاً اعلام‌شده هماهنگ باشد. برای حذف دام، رابطه یا نقش هر عبارت را مرحله‌به‌مرحله از همان نقطهٔ دیدِ داده‌شده دنبال کنید و سپس آن را با رابطه یا تقابل معنایی مقایسه کنید.,نادرست: «un» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «mon» مناسب است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «l’» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «mon» مناسب است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «cet» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «mon» مناسب است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,درست: «mon» با رابطه و قاعدهٔ هدف سؤال سازگار است. Karim صریحاً compagnonِ Nadia معرفی شده است؛ در این تقابل معنایی باید ساخت «mon ami» انتخاب شود تا معنای شریک عاطفیِ موردنظر حفظ شود.,fr-FR,0617c4ad-c364-5580-8298-d58179f55b86,82e1b915-3396-512d-b119-9009f1a4d434,2a974058-0054-5f35-88a7-12d333d81967,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S04,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q005,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_SINGLE,Complétez : « Le fils de ma fille est mon ___. »,fr-FR,petit-fils,neveu,grand-père,petit-neveu,fr-FR,A,قاعده: برای رابطه‌های خانوادگی واژه‌های دقیقی به‌کار می‌رود: «les/mes parents» پدر و مادرند، «des parents» می‌تواند بستگان دیگر باشد؛ grand- برای برخی ascendantها و petit- برای برخی descendantها به‌کار می‌رود. کاربرد در این سؤال: «Le fils de ma fille» نوهٔ پسرِ گوینده است و در واژگان درس «petit-fils» نام دارد؛ گزینه‌های دیگر نسل یا شاخهٔ خویشاوندی متفاوتی می‌سازند. پس گزینهٔ A درست است. دام اصلی این است که شباهت ظاهری واژه‌ها یا ترجمهٔ کلی «خویشاوند» جای رابطهٔ دقیق خانوادگی را نگیرد. برای حذف دام، رابطه یا نقش هر عبارت را مرحله‌به‌مرحله از همان نقطهٔ دیدِ داده‌شده دنبال کنید و سپس آن را با رابطه یا تقابل معنایی مقایسه کنید.,درست: «petit-fils» با رابطه و قاعدهٔ هدف سؤال سازگار است. «Le fils de ma fille» نوهٔ پسرِ گوینده است و در واژگان درس «petit-fils» نام دارد؛ گزینه‌های دیگر نسل یا شاخهٔ خویشاوندی متفاوتی می‌سازند.,نادرست: «neveu» به «برادرزاده/خواهرزادهٔ پسر» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «petit-fils» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «grand-père» به «پدربزرگ» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «petit-fils» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,نادرست: «petit-neveu» به «یکی از خویشاوندان نسل پایین‌تر» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «petit-fils» است.,fr-FR,,c9219f32-2c57-5a02-b29b-e9f73e82e24b,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q006,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_SINGLE,"Hugo est mon fils. Élise est la femme de Hugo. Sans changer de point de vue, Élise est ma ___.",fr-FR,belle-sœur,belle-fille,belle-mère,petite-fille,fr-FR,B,قاعده: در نسبت‌های سببی، پدر/مادر همسر beau-père/belle-mère، برادر/خواهر همسر beau-frère/belle-sœur، شوهر دختر gendre و زن پسر belle-fille است؛ در ازدواج مجدد، شوهر مادر نیز می‌تواند beau-père باشد. کاربرد در این سؤال: Hugo پسرِ گوینده و Élise زنِ Hugo است؛ پس Élise نسبت به گوینده «belle-fille» است. سؤال عمداً نقطهٔ دید را ثابت نگه می‌دارد تا با belle-sœur یا belle-mère اشتباه نشود. پس گزینهٔ B درست است. برای حل، باید زنجیرهٔ «چه کسی نسبت به چه کسی» را از دید گوینده نگه داشت؛ عوض‌شدن نقطهٔ دید، پاسخ را به نسبت دیگری تبدیل می‌کند. برای حذف دام، رابطه یا نقش هر عبارت را مرحله‌به‌مرحله از همان نقطهٔ دیدِ داده‌شده دنبال کنید و سپس آن را با رابطه یا تقابل معنایی مقایسه کنید.,نادرست: «belle-sœur» نسبتِ «خواهرِ همسر» را می‌رساند، اما رابطهٔ سؤال به «belle-fille» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,درست: «belle-fille» با رابطه و قاعدهٔ هدف سؤال سازگار است. Hugo پسرِ گوینده و Élise زنِ Hugo است؛ پس Élise نسبت به گوینده «belle-fille» است.,نادرست: «belle-mère» نسبتِ «مادرِ همسر یا زنِ پدر در خانوادهٔ بازترکیب‌شده» را می‌رساند، اما رابطهٔ سؤال به «belle-fille» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,نادرست: «petite-fille» نسبتِ «نوهٔ دختر» را می‌رساند، اما رابطهٔ سؤال به «belle-fille» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,VERY_HARD,3.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q007,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,,CLOZE_CONTEXT,Le nombre est précisé : « Il y a dix ___ dans la salle. »,fr-FR,mondes,gens,personnes,tout le monde,fr-FR,C,قاعده: «des gens» برای تعداد نامعین، «des personnes» برای تعداد مشخص، و «tout le monde» برای «همه» به‌کار می‌رود؛ gens فعل جمع و tout le monde فعل مفرد می‌گیرد. کاربرد در این سؤال: عدد «dix» تعداد افراد را دقیق می‌کند؛ مطابق این تفاوت معنایی، برای تعدادِ مشخص باید «personnes» گفت، نه gens یا tout le monde. پس گزینهٔ C درست است.,نادرست: «le monde entier» به کل کشورهای جهان اشاره دارد، نه گروه شمارش‌شدهٔ افراد؛ در این بافت پاسخ «personnes» است.,نادرست: «gens» برای گروه با تعداد نامعین است و به‌عنوان فاعل فعل جمع می‌گیرد؛ در این بافت پاسخ «personnes» است.,درست: «personnes» با رابطه و قاعدهٔ هدف سؤال سازگار است. عدد «dix» تعداد افراد را دقیق می‌کند؛ مطابق این تفاوت معنایی، برای تعدادِ مشخص باید «personnes» گفت، نه gens یا tout le monde.,نادرست: «tout le monde» معنای «همه» دارد اما فعل مفرد می‌گیرد؛ در این بافت پاسخ «personnes» است. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,fr-FR,24b2a230-d8ff-5075-adb1-404774bc426a,2434f5de-cfe3-5a13-83e7-db35fdf33137,,bfd1fd88-415b-5ae9-a701-e203aced2b40,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S03,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q008,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,5c5c4c0d-12b8-41aa-90a3-5b4a21fc46e0,L07-S04,,CLOZE_CONTEXT,Claire dit : « Sofia est une amie. » Quelle interprétation correspond à cette formulation ?,fr-FR,Sofia est sa sœur.,Sofia est sa compagne.,Sofia est sa mère.,Sofia est une relation amicale.,fr-FR,D,قاعده: در این تقابل معنایی، «mon ami(e)» می‌تواند compagnon/compagne باشد، اما «un(e) ami(e)» معمولاً رابطهٔ دوستانه است؛ تعیین‌کننده باید با بافت صریح سؤال هماهنگ شود. کاربرد در این سؤال: جملهٔ «Sofia est une amie» در خود سؤال با معنای رابطهٔ دوستانه خوانده می‌شود؛ بنابراین تفسیر «une relation amicale» درست است، نه sœur، mère یا compagne. پس گزینهٔ D درست است.,نادرست: «Sofia est sa sœur.» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «Sofia est une relation amicale.» مناسب است.,نادرست: «Sofia est sa compagne.» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «Sofia est une relation amicale.» مناسب است.,نادرست: «Sofia est sa mère.» تعیین‌کننده/تفسیر را با معنای صریحِ بافت هماهنگ نمی‌کند؛ در این تقابل معنایی «Sofia est une relation amicale.» مناسب است.,درست: «Sofia est une relation amicale.» با رابطه و قاعدهٔ هدف سؤال سازگار است. جملهٔ «Sofia est une amie» در خود سؤال با معنای رابطهٔ دوستانه خوانده می‌شود؛ بنابراین تفسیر «une relation amicale» درست است، نه sœur، mère یا compagne.,fr-FR,0617c4ad-c364-5580-8298-d58179f55b86,82e1b915-3396-512d-b119-9009f1a4d434,2a974058-0054-5f35-88a7-12d333d81967,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S04,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q009,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_CONTEXT,"Il ne s’agit ni de mon père ni de ma mère. Un oncle et une cousine venus de Lyon sont, au sens large, ___.",fr-FR,des parents,les parents,mes enfants,mes grands-parents,fr-FR,A,قاعده: برای رابطه‌های خانوادگی واژه‌های دقیقی به‌کار می‌رود: «les/mes parents» پدر و مادرند، «des parents» می‌تواند بستگان دیگر باشد؛ grand- برای برخی ascendantها و petit- برای برخی descendantها به‌کار می‌رود. کاربرد در این سؤال: صورت سؤال صریحاً پدر و مادر را کنار می‌گذارد و از عمو و cousin حرف می‌زند؛ در این کاربرد گسترده، «des parents» یعنی بستگانی غیر از پدر و مادر. پس گزینهٔ A درست است. دام اصلی این است که شباهت ظاهری واژه‌ها یا ترجمهٔ کلی «خویشاوند» جای رابطهٔ دقیق خانوادگی را نگیرد.,درست: «des parents» با رابطه و قاعدهٔ هدف سؤال سازگار است. صورت سؤال صریحاً پدر و مادر را کنار می‌گذارد و از عمو و cousin حرف می‌زند؛ در این کاربرد گسترده، «des parents» یعنی بستگانی غیر از پدر و مادر.,نادرست: «les parents» به «پدر و مادر» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «des parents» است.,نادرست: «mes enfants» به «فرزندان من» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «des parents» است.,نادرست: «mes grands-parents» به «پدربزرگ و مادربزرگ من» مربوط است، اما رابطه/نسلِ خواسته‌شده متفاوت است؛ پاسخ دقیق «des parents» است.,fr-FR,,0444ff6a-95e2-55a2-b7fe-6ac0df3b8aa4,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q010,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_CONTEXT,"Luc est le frère de mon mari. Dans ma relation avec Luc, c’est mon ___.",fr-FR,gendre,beau-frère,beau-père,petit-fils,fr-FR,B,قاعده: در نسبت‌های سببی، پدر/مادر همسر beau-père/belle-mère، برادر/خواهر همسر beau-frère/belle-sœur، شوهر دختر gendre و زن پسر belle-fille است؛ در ازدواج مجدد، شوهر مادر نیز می‌تواند beau-père باشد. کاربرد در این سؤال: Luc برادرِ همسرِ گوینده است؛ رابطهٔ سببیِ «frère du mari/de la femme» در کتاب «beau-frère» است. پس گزینهٔ B درست است. برای حل، باید زنجیرهٔ «چه کسی نسبت به چه کسی» را از دید گوینده نگه داشت؛ عوض‌شدن نقطهٔ دید، پاسخ را به نسبت دیگری تبدیل می‌کند.,نادرست: «gendre» نسبتِ «شوهرِ دختر/داماد» را می‌رساند، اما رابطهٔ سؤال به «beau-frère» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,درست: «beau-frère» با رابطه و قاعدهٔ هدف سؤال سازگار است. Luc برادرِ همسرِ گوینده است؛ رابطهٔ سببیِ «frère du mari/de la femme» در کتاب «beau-frère» است.,نادرست: «beau-père» نسبتِ «پدرِ همسر یا در بافت بازترکیب‌شده شوهرِ مادر» را می‌رساند، اما رابطهٔ سؤال به «beau-frère» می‌رسد؛ نقطهٔ دید گوینده باید ثابت بماند.,نادرست: «petit-fils» نسبت سببی دیگری می‌سازد؛ رابطهٔ صریح سؤال با «beau-frère» نامیده می‌شود. بنابراین با مرجع و معنای صریحِ صورت سؤال هم‌خوان نیست.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
