scenario_id,roadmap_scenario,layer,automated,test_reference,deterministic_expected,local_result,live_result,notes
S24-C01,Weight normalization,UNIT,YES,tests/test_stage24_unit.py::test_weight_model_is_exactly_100_and_rounding_is_deterministic,"52 lesson weights sum exactly 100.00; 37 equal allocations produce 13/12/12",PASS,NOT_APPLICABLE,Decimal total and tie order are fixed
S24-C02,Question validation,UNIT,YES,tests/test_stage24_unit.py::test_question_requires_four_positions_and_one_valid_correct_option,"exactly four A-D options and one referenced correct option; A|B rejected",PASS,NOT_APPLICABLE,No correct answer is inferred
S24-C03,Generator quotas,UNIT_INTEGRATION,YES,tests/test_stage24_unit.py::test_generator_quotas_have_exact_count_and_composition,"37 total; lesson 19/11/7; difficulty 11/15/9/2; type 26/11",PASS,NOT_APPLICABLE,Composition is a fixed numeric example
S24-C04,Answer submit,INTEGRATION,YES,tests/test_stage24_integration.py::test_answer_is_authorized_and_idempotent_with_one_side_effect,"wrong owner receives concealed 404; repeated key creates one answer/mastery/SRS event",PASS,PENDING_DEPLOYED_HTTP,HTTP adapter belongs to deployed Stage26 stack
S24-C05,Mastery update,UNIT,YES,tests/test_stage24_unit.py::test_mastery_has_a_fixed_numeric_example,"one wrong MEDIUM answer yields mastery 46.501943 and confidence 0.069961137",PASS,NOT_APPLICABLE,No vague mastery expectation
S24-C06,SRS scheduler,UNIT,YES,tests/test_stage24_unit.py::test_srs_due_interval_and_lapse_fields_are_fixed,"NEW wrong becomes LEARNING; interval 1.0; due 2026-08-10T12:00:00Z; lapse 0",PASS,NOT_APPLICABLE,Fixed clock
S24-C07,Import rollback,INTEGRATION_DATABASE,YES,tests/test_stage24_integration.py::test_import_commit_and_rollback_are_atomic_and_audited,"preview mutates no question; commit creates one DRAFT; rollback removes it and retains raw/audit",PASS,PENDING_POSTGRESQL_PROFILE,CI profile applies the corrected migration plan
S24-C08,No answer leak,CONTRACT_FRONTEND,YES,tests/test_stage24_contract.py::test_preanswer_runtime_and_schema_do_not_leak_answer_keys,"pre-submit payload/DOM has no answer key or explanation; feedback reveals after submit",PASS,PENDING_DEPLOYED_BROWSER,Runtime projection and jsdom both gated
S24-C09,Full attempt,E2E,YES,tests/test_stage24_e2e.py::test_register_create_answer_result_and_review_journey,"register/login/create/start/answer/complete/result/review/dashboard/logout succeeds with fixed assertions",PASS,PENDING_DEPLOYED_HTTP_BROWSER,In-process business E2E is not mislabeled as deployed E2E
S24-C10,Dashboard load,PERFORMANCE,YES,tests/test_stage24_performance.py::test_production_scale_synthetic_reference_guardrails,"10,636 history points and 304 scopes remain below 1,500 ms p95 reference guardrail",PASS,PENDING_PRODUCTION_SLA,Synthetic reference only; Stage27 calibrates SLA
