schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B183-Q001,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,2e14fedc-db60-4f8c-9896-8f76a4bed6d9,L40-S07,,CLOZE_SINGLE,"Complétez correctement : « Après la réunion, les deux responsables se sont ___ pendant vingt minutes. » (téléphoner)",fr,téléphoné,téléphonés,téléphonées,téléphoner,fr,A,"Dans « se téléphoner », le pronom est COI : le participe reste invariable, donc « se sont téléphoné ».","Réponse correcte. Dans « se téléphoner », le pronom est COI : le participe reste invariable, donc « se sont téléphoné ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Dans « se téléphoner », le pronom est COI : le participe reste invariable, donc « se sont téléphoné ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Dans « se téléphoner », le pronom est COI : le participe reste invariable, donc « se sont téléphoné ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Dans « se téléphoner », le pronom est COI : le participe reste invariable, donc « se sont téléphoné ».",fr,,5d7546f3-42e5-5870-a860-e172f6b9ecb8,20bc377a-980c-526c-95e9-237007312257,4dde3037-2713-5421-b229-6cf38d008526,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 190; PDF p. 192,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q002,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,3ff16d83-a406-43ef-b509-b1d4db28cdba,L40-S01,,CLOZE_CONTEXT,"Le procès-verbal décrit un fait ponctuel et terminé : « À 14 h 05, le directeur ___ la séance. » (ouvrir)",fr,ouvrait,a ouvert,va ouvrir,ouvre chaque jour,fr,B,"Un événement unique, achevé et précisément situé dans le passé se formule ici au passé composé : « a ouvert ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Un événement unique, achevé et précisément situé dans le passé se formule ici au passé composé : « a ouvert ».","Réponse correcte. Un événement unique, achevé et précisément situé dans le passé se formule ici au passé composé : « a ouvert ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Un événement unique, achevé et précisément situé dans le passé se formule ici au passé composé : « a ouvert ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Un événement unique, achevé et précisément situé dans le passé se formule ici au passé composé : « a ouvert ».",fr,7904d4be-c467-5ae3-9c3c-6d3ff67d93ea,,8439da5c-df4d-5d47-8273-853e84158040,f3b125bc-37d4-5f90-b3ba-e856503fc63d,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 174; PDF p. 176,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q003,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,dd52d599-b881-4901-ac1e-ecca2245788c,L40-S02,,CLOZE_CONTEXT,"Dans un compte rendu, complétez sans accorder le participe avec le sujet : « Les ingénieures ___ le correctif avant minuit. » (tester)",fr,ont testées,sont testé,ont testé,sont testées,fr,C,"Avec « tester », le passé composé se construit avec avoir ; sans COD antéposé, « testé » ne s’accorde pas avec le sujet.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec « tester », le passé composé se construit avec avoir ; sans COD antéposé, « testé » ne s’accorde pas avec le sujet.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec « tester », le passé composé se construit avec avoir ; sans COD antéposé, « testé » ne s’accorde pas avec le sujet.","Réponse correcte. Avec « tester », le passé composé se construit avec avoir ; sans COD antéposé, « testé » ne s’accorde pas avec le sujet.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec « tester », le passé composé se construit avec avoir ; sans COD antéposé, « testé » ne s’accorde pas avec le sujet.",fr,41b05b70-a724-5fc4-a2ed-b6ab21ec34f3,304d410f-7312-5323-8c62-a89e0221ddf1,,0e3cb93c-0ec3-5023-b1ca-44db2047ca8a,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 174; PDF p. 176,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q004,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,b8eccc93-ce9d-4f45-9896-f688a36306a3,L40-S08,,CORRECT_SENTENCE,Quelle phrase applique correctement l’accord du participe passé avec un COD placé avant « avoir » ?,fr,Les analyses que nous avons vérifié sont complètes.,Les analyses que nous sommes vérifiées sont complètes.,Les analyses que nous avons vérifiés sont complètes.,Les analyses que nous avons vérifiées sont complètes.,fr,D,Le COD « les analyses » précède « avons vérifiées » ; le participe s’accorde donc au féminin pluriel.,Cette option ne respecte pas la règle ciblée dans ce contexte. Le COD « les analyses » précède « avons vérifiées » ; le participe s’accorde donc au féminin pluriel.,Cette option ne respecte pas la règle ciblée dans ce contexte. Le COD « les analyses » précède « avons vérifiées » ; le participe s’accorde donc au féminin pluriel.,Cette option ne respecte pas la règle ciblée dans ce contexte. Le COD « les analyses » précède « avons vérifiées » ; le participe s’accorde donc au féminin pluriel.,Réponse correcte. Le COD « les analyses » précède « avons vérifiées » ; le participe s’accorde donc au féminin pluriel.,fr,3515b6f7-b3bd-577e-b72d-76f7d6791a1c,3a89e45a-7616-583f-a9d8-31ab22d49ed4,11973c94-9693-58c6-b571-76caccf0f0f3,,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 190; PDF p. 192,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q005,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,2e14fedc-db60-4f8c-9896-8f76a4bed6d9,L40-S07,,INCORRECT_SENTENCE,Quelle phrase contient un accord fautif avec un verbe pronominal dont « se » est complément indirect ?,fr,Elles se sont parlées après le cours.,Elles se sont rencontrées devant la gare.,Ils se sont souvenus de l’adresse.,Ils se sont levés tôt.,fr,A,"On dit « elles se sont parlé » : dans « parler à quelqu’un », « se » est COI et le participe ne s’accorde pas.","Réponse correcte. On dit « elles se sont parlé » : dans « parler à quelqu’un », « se » est COI et le participe ne s’accorde pas.","Cette option ne respecte pas la règle ciblée dans ce contexte. On dit « elles se sont parlé » : dans « parler à quelqu’un », « se » est COI et le participe ne s’accorde pas.","Cette option ne respecte pas la règle ciblée dans ce contexte. On dit « elles se sont parlé » : dans « parler à quelqu’un », « se » est COI et le participe ne s’accorde pas.","Cette option ne respecte pas la règle ciblée dans ce contexte. On dit « elles se sont parlé » : dans « parler à quelqu’un », « se » est COI et le participe ne s’accorde pas.",fr,,5d7546f3-42e5-5870-a860-e172f6b9ecb8,20bc377a-980c-526c-95e9-237007312257,4dde3037-2713-5421-b229-6cf38d008526,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 190; PDF p. 192,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q006,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,382c52bd-76b6-45e0-b356-5bfadf68c279,L40-S03,,TENSE_CHOICE,"Pour raconter un fait achevé hier tout en employant le participe passé correct de « écrire », quelle phrase convient ?",fr,J’écrivais le compte rendu demain.,J’ai écrit le compte rendu hier.,J’ai écrivé le compte rendu hier.,Je vais écrit le compte rendu hier.,fr,B,Le contexte exige le passé composé et le participe irrégulier de « écrire » est « écrit ».,Cette option ne respecte pas la règle ciblée dans ce contexte. Le contexte exige le passé composé et le participe irrégulier de « écrire » est « écrit ».,Réponse correcte. Le contexte exige le passé composé et le participe irrégulier de « écrire » est « écrit ».,Cette option ne respecte pas la règle ciblée dans ce contexte. Le contexte exige le passé composé et le participe irrégulier de « écrire » est « écrit ».,Cette option ne respecte pas la règle ciblée dans ce contexte. Le contexte exige le passé composé et le participe irrégulier de « écrire » est « écrit ».,fr,567e8a9a-525a-5d3e-bca8-3baf21c69945,,73e6673e-92d9-5ab0-99db-4fb8d7fc88bc,34473fa9-69d4-53bf-98c6-405e09b56253,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 178; PDF p. 180,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q007,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,a3946c49-8b20-47dc-8ee1-592a07aca91e,L40-S04,,REWRITE_EQUIV,Mettez au passé composé en conservant le sujet féminin pluriel : « Elles arrivent avant la fermeture. »,fr,Elles ont arrivées avant la fermeture.,Elles sont arrivé avant la fermeture.,Elles sont arrivées avant la fermeture.,Elles ont arrivé avant la fermeture.,fr,C,« arriver » se construit avec être et le participe s’accorde avec « elles » : « sont arrivées ».,Cette option ne respecte pas la règle ciblée dans ce contexte. « arriver » se construit avec être et le participe s’accorde avec « elles » : « sont arrivées ».,Cette option ne respecte pas la règle ciblée dans ce contexte. « arriver » se construit avec être et le participe s’accorde avec « elles » : « sont arrivées ».,Réponse correcte. « arriver » se construit avec être et le participe s’accorde avec « elles » : « sont arrivées ».,Cette option ne respecte pas la règle ciblée dans ce contexte. « arriver » se construit avec être et le participe s’accorde avec « elles » : « sont arrivées ».,fr,4f6765a4-cba7-588a-9367-d4f2af9a76b1,69177b63-1c29-557b-8119-2e34beaf7c6f,,ba85eb96-9e5b-52ef-b09f-9772d4091f76,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 182; PDF p. 184,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q008,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,20bcf520-f77b-4041-8fa5-defb547b30eb,L40-S05,,FR_TO_FA,"ترجمهٔ دقیق جملهٔ « Après des années, elles se sont retrouvées et se sont parlé pendant toute la soirée. » کدام است؟",fa,پس از سال‌ها، آن‌ها قرار است دوباره یکدیگر را ببینند و تمام شب صحبت کنند.,پس از سال‌ها، آن‌ها هر شب یکدیگر را می‌دیدند و با هم صحبت می‌کردند.,پس از سال‌ها، آن‌ها دوباره یکدیگر را دیدند اما تمام شب با هیچ‌کس صحبت نکردند.,پس از سال‌ها، آن‌ها دوباره یکدیگر را دیدند و تمام شب با هم صحبت کردند.,fa,D,هر دو ساخت « se sont retrouvées / se sont parlé » رویدادهای کامل‌شدهٔ گذشته‌اند؛ بخش دوم نیز معنای «با هم صحبت کردند» دارد.,این گزینه با قاعدهٔ هدف در این بافت سازگار نیست. هر دو ساخت « se sont retrouvées / se sont parlé » رویدادهای کامل‌شدهٔ گذشته‌اند؛ بخش دوم نیز معنای «با هم صحبت کردند» دارد.,این گزینه با قاعدهٔ هدف در این بافت سازگار نیست. هر دو ساخت « se sont retrouvées / se sont parlé » رویدادهای کامل‌شدهٔ گذشته‌اند؛ بخش دوم نیز معنای «با هم صحبت کردند» دارد.,این گزینه با قاعدهٔ هدف در این بافت سازگار نیست. هر دو ساخت « se sont retrouvées / se sont parlé » رویدادهای کامل‌شدهٔ گذشته‌اند؛ بخش دوم نیز معنای «با هم صحبت کردند» دارد.,پاسخ درست است. هر دو ساخت « se sont retrouvées / se sont parlé » رویدادهای کامل‌شدهٔ گذشته‌اند؛ بخش دوم نیز معنای «با هم صحبت کردند» دارد.,fa,292fce33-92ea-5482-a464-5956404b461d,429565f1-5685-582e-83ba-f1c4b6cdcfbb,19c03444-276a-51ee-836f-8851ead65cc7,,VERY_HARD,0.90,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 186; PDF p. 188,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q009,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,a6ae8e7e-d257-4936-99dc-ccb62ea3da7d,L40-S12,,DIALOGUE_COMPLETE,— Le rapport indique que Paul a envoyé le fichier. Comment poser formellement la question avec le sujet nominal « Paul » ? — ___ le fichier avant midi ?,fr,Paul a-t-il envoyé,Paul a envoyé-t-il,Paul est-t-il envoyé,A Paul-t-il envoyé,fr,A,"Avec un sujet nominal, l’inversion se fait sur l’auxiliaire avec reprise pronominale et -t- euphonique : « Paul a-t-il envoyé… ? ».","Réponse correcte. Avec un sujet nominal, l’inversion se fait sur l’auxiliaire avec reprise pronominale et -t- euphonique : « Paul a-t-il envoyé… ? ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec un sujet nominal, l’inversion se fait sur l’auxiliaire avec reprise pronominale et -t- euphonique : « Paul a-t-il envoyé… ? ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec un sujet nominal, l’inversion se fait sur l’auxiliaire avec reprise pronominale et -t- euphonique : « Paul a-t-il envoyé… ? ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec un sujet nominal, l’inversion se fait sur l’auxiliaire avec reprise pronominale et -t- euphonique : « Paul a-t-il envoyé… ? ».",fr,,3b3b171f-a9e2-5a60-b072-2c2bd34077e6,308e4bd0-790a-56c1-85d1-1d55c091735f,2395a63f-ee42-596c-a22a-9b19a3b29aa3,VERY_HARD,0.90,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 194; PDF p. 196,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B183-Q010,1,a2303764-b3c6-4a78-a5eb-287adffcd970,L40,b28ad6cf-a36f-4d2b-95d5-681532efe313,L40-S06,,CONTRAST_RULES,Quelle règle explique la différence entre « Elle est montée au troisième étage » et « Elle a monté les valises » ?,fr,"Ces verbes prennent toujours être, avec ou sans complément.","Sans COD, certains verbes de déplacement prennent être ; avec un COD, ils peuvent prendre avoir.",Ces verbes prennent toujours avoir au passé composé.,Le choix entre être et avoir dépend uniquement du genre du sujet.,fr,B,"Pour des verbes comme « monter », la présence d’un COD peut entraîner l’emploi de « avoir », alors que l’emploi intransitif de déplacement prend « être ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Pour des verbes comme « monter », la présence d’un COD peut entraîner l’emploi de « avoir », alors que l’emploi intransitif de déplacement prend « être ».","Réponse correcte. Pour des verbes comme « monter », la présence d’un COD peut entraîner l’emploi de « avoir », alors que l’emploi intransitif de déplacement prend « être ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Pour des verbes comme « monter », la présence d’un COD peut entraîner l’emploi de « avoir », alors que l’emploi intransitif de déplacement prend « être ».","Cette option ne respecte pas la règle ciblée dans ce contexte. Pour des verbes comme « monter », la présence d’un COD peut entraîner l’emploi de « avoir », alors que l’emploi intransitif de déplacement prend « être ».",fr,ed63f529-dee5-53fc-a2cd-f26149741f81,,a1e99824-4c6a-57ca-9812-63116f7e6244,e2df06d2-fc6d-5272-bd52-59c21fde1ff7,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 40; printed p. 186; PDF p. 188,chatgpt-qb-runner-v1.0,,TAG002|TAG004|TAG019|TAG006|TAG007,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
