term,label_fa,definition_fa
lesson,درس,واحد سطح‌بالای آموزشی متناظر با یک درس رسمی کتاب؛ شماره و عنوان نمایشی دارد اما شناسه پایدار مستقل است.
subtopic,زیرموضوع,مفهوم گرامری اتمی درون یک درس که بتوان برای آن مستقل سؤال طراحی و عملکرد را تحلیل کرد.
atomic_subtopic,زیرموضوع اتمی,ریزموضوعی که یک مهارت/تمایز گرامری مشخص را نمایندگی می‌کند؛ نه یک مثال منفرد و نه یک فصل بسیار کلی.
rule,قاعده,بیان تعمیم‌پذیر از رفتار دستوری که مستقل از مثال خاص ذخیره می‌شود.
exception,استثنا,موردی که از الگوی عمومی قاعده خارج می‌شود و باید جداگانه قابل ردیابی باشد.
nuance,نکته ظریف,تمایز معنایی/کاربردی که الزاماً استثنا نیست اما برای پاسخ دقیق یا تحلیل خطا مهم است.
usage_limit,محدودیت کاربرد,شرطی که مشخص می‌کند یک ساختار در چه بافت، معنا یا نوع جمله‌ای معتبر/نامعتبر است.
register,سطح زبانی,تفاوت رسمی، خنثی، محاوره‌ای یا نوشتاری در کاربرد ساختار.
comparison,مقایسه,رابطه آموزشی میان دو یا چند ساختار نزدیک که احتمال اشتباه میان آن‌ها وجود دارد.
prerequisite,پیش‌نیاز,مفهوم/درس قبلی که فهم درس مقصد بدون آن به‌طور معنادار دشوار می‌شود.
dependency,وابستگی,رابطه دانشی میان درس‌ها یا زیرموضوع‌ها؛ می‌تواند پیش‌نیاز یا رابطه نزدیک باشد.
source_ref,ارجاع منبع,نشانی قابل بازگشت به منبع شامل شماره درس و صفحه چاپی/PDF برای بازبینی.
provenance,منشأ محتوا,مشخص می‌کند داده از کتاب، تألیف پروژه، پژوهش یا منبع دیگری آمده است.
stable_id,شناسه پایدار,UUID مستقل از عنوان و شماره نمایش که پس از انتشار/اتصال داده تغییر نمی‌کند.
official_title,عنوان رسمی,عنوان فرانسوی همان‌گونه که در کتاب آمده است.
system_short_title,عنوان کوتاه سیستمی,نام کوتاه و API-safe برای استفاده فنی؛ کلید اصلی نیست.
extraction_status,وضعیت استخراج,وضعیت چرخه استخراج محتوا، مانند extracted_draft، reviewed یا frozen.
needs_decision,نیازمند تصمیم,برچسب برای موردی که نباید با حدس وارد نسخه نهایی شود و نیاز به تصمیم مالک دارد.
version,نسخه,شناسه یک snapshot قابل بازبینی از داده/قواعد.
revision,بازنگری,تغییر نسخه‌دار پس از freeze که نسخه قبلی را در صورت اثر تاریخی حذف نمی‌کند.
content_owner,مالک محتوا,شخص/نقشی که اختیار نهایی تأیید یا تغییر داده آموزشی را دارد.
technical_reviewer,بازبین فنی,شخص/نقشی که پایداری شناسه‌ها، schema و قابلیت import/API را تأیید می‌کند.
source_book_page,صفحه چاپی کتاب,شماره صفحه‌ای که روی خود کتاب چاپ شده است.
source_pdf_page,صفحه فایل PDF,شماره صفحه در فایل آپلودشده؛ در این نسخه برای صفحات محتوایی تقریباً صفحه چاپی + 2 است.
