page_key,surface,responsibility,primary_action,secondary_action,states
AUTH_ACCESS,PUBLIC,"Authenticate or create an account",CONTINUE_AUTH,SWITCH_LOGIN_REGISTER,"LOADING|ERROR|OFFLINE_RETRY"
DASHBOARD,AUTHENTICATED,"Choose the next learning action",START_RECOMMENDED_PRACTICE,OPEN_PROGRESS,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
CREATE_TEST,AUTHENTICATED,"Configure a new test",CREATE_TEST,CANCEL_TO_DASHBOARD,"LOADING|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
TEST_RUNNER,AUTHENTICATED,"Answer questions from one frozen test snapshot",SUBMIT_ANSWER,EXIT_WITH_CONFIRMATION,"LOADING|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
RESULT,AUTHENTICATED,"Show score and breakdown for one completed attempt",REVIEW_ERRORS,RETURN_DASHBOARD,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
REVIEW,AUTHENTICATED,"Resolve mistakes and due reviews",START_RETRY,NEXT_REVIEW_ITEM,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
LESSONS,AUTHENTICATED,"Browse grammar taxonomy and lesson list",OPEN_LESSON_ANALYTICS,FILTER_LESSONS,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
LESSON_ANALYTICS,AUTHENTICATED,"Explain one lesson's mastery and history",PRACTICE_LESSON,OPEN_REVIEW,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
PROGRESS,AUTHENTICATED,"Show longitudinal learning snapshots",OPEN_LESSON_ANALYTICS,CHANGE_RANGE,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
HISTORY,AUTHENTICATED,"Browse previous attempts",OPEN_ATTEMPT_RESULT,FILTER_HISTORY,"LOADING|EMPTY|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
PROFILE,AUTHENTICATED,"View learner profile",EDIT_PROFILE,OPEN_SETTINGS,"LOADING|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
SETTINGS,AUTHENTICATED,"Manage learner preferences",SAVE_SETTINGS,RETURN_DASHBOARD,"LOADING|ERROR|OFFLINE_RETRY|UNAUTHORIZED"
