lesson_id,lesson_no,title_fr_official,system_short_title,grammar_family_draft,grammar_family_status,book_pages,pdf_pages,source_ref,extraction_status,subtopic_count,stable_id_policy,content_version,source_basis
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,etre,verb_core,draft_stage1__final_taxonomy_stage2,8;9;10;11,10;11;12;13,Lesson 1; printed pp. 8-11; PDF pp. 10-13,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),adjectif_1,adjective,draft_stage1__final_taxonomy_stage2,12;13;14;15;16;17,14;15;16;17;18;19,Lesson 2; printed pp. 12-17; PDF pp. 14-19,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),negation_interrogation_1,sentence_structure,draft_stage1__final_taxonomy_stage2,18;19;20;21,20;21;22;23,Lesson 3; printed pp. 18-21; PDF pp. 20-23,extracted_owner_approved,3,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,nom_article,noun_determiner,draft_stage1__final_taxonomy_stage2,22;23;24;25;26;27;28;29;30;31,24;25;26;27;28;29;30;31;32;33,Lesson 4; printed pp. 22-31; PDF pp. 24-33,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,cest_il_est,presentation_identification,draft_stage1__final_taxonomy_stage2,32;33;34;35,34;35;36;37,Lesson 5; printed pp. 32-35; PDF pp. 34-37,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,possessifs,determiner_pronoun,draft_stage1__final_taxonomy_stage2,36;37,38;39,Lesson 6; printed pp. 36-37; PDF pp. 38-39,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,LES NOMS de PARENTÉ et de GROUPE,noms_parente_groupe,lexico_grammar,draft_stage1__final_taxonomy_stage2,38;39,40;41,Lesson 7; printed pp. 38-39; PDF pp. 40-41,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,demonstratifs,determiner_pronoun,draft_stage1__final_taxonomy_stage2,40;41,42;43,Lesson 8; printed pp. 40-41; PDF pp. 42-43,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,il_y_a_cest,existence_identification,draft_stage1__final_taxonomy_stage2,42;43,44;45,Lesson 9; printed pp. 42-43; PDF pp. 44-45,extracted_owner_approved,2,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),situation_espace_1,preposition_space,draft_stage1__final_taxonomy_stage2,44;45;46;47,46;47;48;49,Lesson 10; printed pp. 44-47; PDF pp. 46-49,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
a02fe5a3-8336-4749-8b93-f43d0a82948a,11,LE VERBE « AVOIR »,avoir,verb_core,draft_stage1__final_taxonomy_stage2,48;49;50;51;52;53,50;51;52;53;54;55,Lesson 11; printed pp. 48-53; PDF pp. 50-55,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
ec78c6b7-50f2-4fcf-8ecd-63c1a84e5e41,12,L’ADJECTIF (2),adjectif_2,adjective,draft_stage1__final_taxonomy_stage2,54;55;56;57,56;57;58;59,Lesson 12; printed pp. 54-57; PDF pp. 56-59,extracted_owner_approved,7,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
99f4cbed-373c-4bf4-affd-8eda53373a56,13,LES NOMBRES,nombres,numbers,draft_stage1__final_taxonomy_stage2,58;59;60;61;62;63,60;61;62;63;64;65,Lesson 13; printed pp. 58-63; PDF pp. 60-65,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
8b0727a3-b94e-4d9d-bb86-9a0045b8685a,14,LE TEMPS (1),temps_1,time_expression,draft_stage1__final_taxonomy_stage2,64;65;66;67,66;67;68;69,Lesson 14; printed pp. 64-67; PDF pp. 66-69,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
b182d62b-44dc-4893-b88c-75ef935c0111,15,LES INDÉFINIS,indefinis,determiner_pronoun,draft_stage1__final_taxonomy_stage2,68;69;70;71,70;71;72;73,Lesson 15; printed pp. 68-71; PDF pp. 70-73,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
619fe3c8-586f-4038-8ea0-e5ad5085412d,16,LES VERBES en « -ER » au PRÉSENT,verbes_er_present,verb_present,draft_stage1__final_taxonomy_stage2,74;75;76;77;78;79,76;77;78;79;80;81,Lesson 16; printed pp. 74-79; PDF pp. 76-81,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
e3b8941a-3506-4903-b9f5-ede88a288def,17,LE TEMPS (2),temps_2,time_expression,draft_stage1__final_taxonomy_stage2,80;81,82;83,Lesson 17; printed pp. 80-81; PDF pp. 82-83,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
ec290ee6-f705-4b74-98db-7e4079c54d60,18,L’ADVERBE,adverbe,adverb,draft_stage1__final_taxonomy_stage2,82;83;84;85,84;85;86;87,Lesson 18; printed pp. 82-85; PDF pp. 84-87,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
cb9bdbbf-0955-46a6-b979-69203ff4d988,19,L’EXPRESSION de la QUANTITÉ,expression_quantite,quantity_determiner,draft_stage1__final_taxonomy_stage2,86;87;88;89,88;89;90;91,Lesson 19; printed pp. 86-89; PDF pp. 88-91,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
dd8aa1ed-067c-4e17-a9db-10d3b630688a,20,LE PRONOM « EN »,pronom_en,pronoun,draft_stage1__final_taxonomy_stage2,90;91;92;93,92;93;94;95,Lesson 20; printed pp. 90-93; PDF pp. 92-95,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
a7d4b7ab-babf-44fd-8d1b-09d273f60704,21,LA SITUATION dans l’ESPACE (2),situation_espace_2,preposition_space,draft_stage1__final_taxonomy_stage2,94;95,96;97,Lesson 21; printed pp. 94-95; PDF pp. 96-97,extracted_owner_approved,2,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
526ffab9-fc9b-4221-997e-e57dfbf9694a,22,LE COMPARATIF et LE SUPERLATIF,comparatif_superlatif,comparison,draft_stage1__final_taxonomy_stage2,96;97;98;99;100;101,98;99;100;101;102;103,Lesson 22; printed pp. 96-101; PDF pp. 98-103,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
327c43bc-8757-4e51-aff0-9c04775c57cf,23,LE VERBE « ALLER »,aller,verb_core,draft_stage1__final_taxonomy_stage2,102;103,104;105,Lesson 23; printed pp. 102-103; PDF pp. 104-105,extracted_owner_approved,3,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
e3b468de-4bc2-4b96-b4dc-0bfa0c3d5a85,24,LE PRONOM « Y »,pronom_y,pronoun,draft_stage1__final_taxonomy_stage2,104;105,106;107,Lesson 24; printed pp. 104-105; PDF pp. 106-107,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
aece8fe7-c303-4257-a531-a3d6e0f242de,25,LA SITUATION dans l’ESPACE et le TEMPS (3),situation_espace_temps_3,preposition_space_time,draft_stage1__final_taxonomy_stage2,106;107,108;109,Lesson 25; printed pp. 106-107; PDF pp. 108-109,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
6ad0bf53-cab8-4037-8548-6e73441d1620,26,"LES VERBES en « -IR », « -OIR » et « -RE » au PRÉSENT",verbes_ir_oir_re_present,verb_present,draft_stage1__final_taxonomy_stage2,108;109;110;111;112;113;114;115;116;117;118;119;120;121,110;111;112;113;114;115;116;117;118;119;120;121;122;123,Lesson 26; printed pp. 108-121; PDF pp. 110-123,extracted_owner_approved,14,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
e5bfdde7-6889-4829-ad65-06a572af5f97,27,LES VERBES PRONOMINAUX,verbes_pronominaux,verb_pronominal,draft_stage1__final_taxonomy_stage2,122;123,124;125,Lesson 27; printed pp. 122-123; PDF pp. 124-125,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
2ad099b6-e9f4-4b96-8883-d88977fc94b4,28,LES PRONOMS COMPLÉMENTS,pronoms_complements,pronoun,draft_stage1__final_taxonomy_stage2,124;125;126;127;128;129;130;131,126;127;128;129;130;131;132;133,Lesson 28; printed pp. 124-131; PDF pp. 126-133,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
0259af3a-8df3-4f28-ad02-62a99368c409,29,LES PRONOMS TONIQUES,pronoms_toniques,pronoun,draft_stage1__final_taxonomy_stage2,132;133,134;135,Lesson 29; printed pp. 132-133; PDF pp. 134-135,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
b24408b6-c9b4-4fbc-9b92-ad4d2ae13876,30,L’IMPÉRATIF,imperatif,mood_imperative,draft_stage1__final_taxonomy_stage2,134;135,136;137,Lesson 30; printed pp. 134-135; PDF pp. 136-137,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
