lesson_id,lesson_no,title_fr_official,category_code,subcategory_code,profile,assignment_mode,policy_version,schema_version,easy_pct,medium_pct,hard_pct,very_hard_pct,target_full,easy_full,medium_full,hard_full,very_hard_full,target_expanded,easy_expanded,medium_expanded,hard_expanded,very_hard_expanded,target_mvp,easy_mvp,medium_mvp,hard_mvp,very_hard_mvp,approved_current_total,gap_full,status
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,FOUNDATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,30,45,20,5,252,76,113,50,13,126,38,57,25,6,63,19,28,13,3,0,252,PASS
734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),CAT06,SUB14,FOUNDATION_COMPLEX,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,25,40,30,5,209,52,84,63,10,105,26,42,32,5,52,13,21,16,2,0,209,PASS
3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),CAT09,SUB23,FOUNDATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,30,45,20,5,248,74,112,50,12,124,37,56,25,6,62,19,28,12,3,0,248,PASS
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,CAT05,SUB11,FOUNDATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,30,45,20,5,252,76,113,50,13,126,38,57,25,6,63,19,28,13,3,0,252,PASS
99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,CAT09,SUB24,DISCRIMINATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,15,35,35,15,218,33,76,76,33,109,17,38,38,16,55,9,19,19,8,0,218,PASS
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,CAT05,SUB12,BASELINE,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,20,40,30,10,169,34,67,51,17,85,17,34,26,8,42,8,17,13,4,0,169,PASS
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,LES NOMS de PARENTÉ et de GROUPE,CAT05,SUB11,BASELINE,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,20,40,30,10,100,20,40,30,10,50,10,20,15,5,25,5,10,8,2,0,100,PASS
d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,CAT05,SUB12,BASELINE,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,20,40,30,10,169,34,67,51,17,85,17,34,26,8,42,8,17,13,4,0,169,PASS
3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,CAT09,SUB24,DISCRIMINATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,15,35,35,15,189,29,66,66,28,95,15,33,33,14,47,7,17,16,7,0,189,PASS
988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),CAT08,SUB19,FOUNDATION,AUTO_PROFILE,difficulty-distribution-policy-v0.9.0,stage9-difficulty-distribution-schema-v0.9.0,30,45,20,5,207,62,93,42,10,104,31,47,21,5,52,16,23,10,3,0,207,PASS
