schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B184-Q001,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de sortir, Karim vérifie toujours la porte. »",fr,Avant,Après,Depuis,Pendant,fr,A,"Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Réponse correcte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.",fr,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q002,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_SINGLE,"Complétez correctement : « ___ avoir vérifié les chiffres, Léa a envoyé le rapport. »",fr,Avant de,Après,Pendant,Depuis,fr,B,"Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Réponse correcte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.",fr,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q003,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de répondre, relisez attentivement la question. »",fr,Après,Dans,Avant,Pour,fr,C,"Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Réponse correcte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.",fr,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,,91d52865-9c3c-5b7b-a416-edf3e83ca772,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q004,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_SINGLE,"Complétez correctement : « ___ être arrivés, les voyageurs ont appelé leur famille. »",fr,Avant,Dans,Pour,Après,fr,D,"Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Réponse correcte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.",fr,16ce719d-059a-50fa-938a-bf5d676cc7a6,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q005,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_SINGLE,"Complétez correctement : « ___ de démarrer, la conductrice attache sa ceinture. »",fr,Avant,Après,Depuis,Pendant,fr,A,"Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Réponse correcte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.",fr,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q006,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"La vérification est terminée avant l’envoi. Complétez : « ___ avoir vérifié les chiffres, Léa a envoyé le rapport. »",fr,Avant de,Après,Pendant,Depuis,fr,B,"Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Réponse correcte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.",fr,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q007,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_CONTEXT,"Karim doit vérifier la porte avant sa sortie. Complétez : « ___ de sortir, Karim vérifie toujours la porte. »",fr,Après,Depuis,Avant,Pendant,fr,C,"Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Réponse correcte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.",fr,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,,91d52865-9c3c-5b7b-a416-edf3e83ca772,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q008,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"L’arrivée est déjà accomplie avant l’appel à la famille. Complétez : « ___ être arrivés, les voyageurs ont appelé leur famille. »",fr,Avant,Dans,Pour,Après,fr,D,"Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Réponse correcte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.",fr,16ce719d-059a-50fa-938a-bf5d676cc7a6,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q009,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,d6952e44-05e8-4cfc-b306-041241d04694,L41-S07,,CLOZE_CONTEXT,"La relecture doit précéder la réponse. Complétez : « ___ de répondre, relisez attentivement la question. »",fr,Avant,Après,Dans,Pour,fr,A,"Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Réponse correcte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « avant de + infinitif » exprime l’action effectuée avant l’action principale.",fr,,8051c57f-3143-5694-94e5-01d0d7837aee,f5076c8b-0621-595a-89d0-3f3edd97ede6,91d52865-9c3c-5b7b-a416-edf3e83ca772,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B184-Q010,1,61d3b6b5-dd58-4ca4-b78d-521013ae2461,L41,60a56711-90e8-4268-ab42-2e824f23299f,L41-S06,,CLOZE_CONTEXT,"Le rangement de l’atelier est accompli avant le retour des mécaniciens. Complétez : « ___ avoir rangé l’atelier, les mécaniciens sont rentrés. »",fr,Avant de,Après,Depuis,Pour,fr,B,"Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Réponse correcte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.","Cette option ne respecte pas la règle ciblée dans ce contexte. Avec le même sujet, « après + infinitif passé » exprime une action déjà accomplie avant l’action principale : après avoir/être + participe passé.",fr,16ce719d-059a-50fa-938a-bf5d676cc7a6,,0cc8570a-91cf-5034-aa4c-71e3357c43ec,710b5d60-c7f0-5eab-8038-79a66065d9ca,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 41; printed p. 202; PDF p. 204,chatgpt-qb-runner-v1.0,,TAG017|TAG018|TAG002|TAG003|TAG030,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
