lesson_id,lesson_no,title_fr_official,category_code,subcategory_code,final_weight_pct,weight_model_version,profile,status
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,CAT01,SUB01,2.37,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),CAT06,SUB14,1.96,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),CAT09,SUB23,2.33,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,CAT05,SUB11,2.37,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,CAT09,SUB24,2.05,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,CAT05,SUB12,1.59,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,LES NOMS de PARENTÉ et de GROUPE,CAT05,SUB11,0.94,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,CAT05,SUB12,1.59,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,CAT09,SUB24,1.78,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),CAT08,SUB19,1.95,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
a02fe5a3-8336-4749-8b93-f43d0a82948a,11,LE VERBE « AVOIR »,CAT01,SUB01,2.29,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
ec78c6b7-50f2-4fcf-8ecd-63c1a84e5e41,12,L’ADJECTIF (2),CAT06,SUB14,1.57,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
99f4cbed-373c-4bf4-affd-8eda53373a56,13,LES NOMBRES,CAT07,SUB17,1.63,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
