schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B032-Q001,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_SINGLE,"Complétez : « Pierre et Claire sont le père et la mère de Léa. Ensemble, ce sont ses ___. »",fr-FR,parents,enfants,grands-parents,cousins,fr-FR,A,Le père et la mère sont ensemble « les parents ».,Correct : Le père et la mère sont ensemble « les parents ».,"Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.",fr-FR,,c9219f32-2c57-5a02-b29b-e9f73e82e24b,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q002,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_SINGLE,Complétez : « Paul est le mari de ma fille ; Paul est donc mon ___. »,fr-FR,beau-frère,gendre,beau-père,neveu,fr-FR,B,Le mari de la fille est le « gendre ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Correct : Le mari de la fille est le « gendre ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q003,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,,CLOZE_SINGLE,"Pour parler de tous les gens en général, complétez : « ___ aime les vacances. »",fr-FR,Les gens,Des personnes,Tout le monde,Le monde entier,fr-FR,C,« Tout le monde » équivaut ici à l’ensemble des gens et commande un verbe au singulier : « aime ».,"Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.","Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.",Correct : « Tout le monde » équivaut ici à l’ensemble des gens et commande un verbe au singulier : « aime ».,"Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.",fr-FR,24b2a230-d8ff-5075-adb1-404774bc426a,2434f5de-cfe3-5a13-83e7-db35fdf33137,,bfd1fd88-415b-5ae9-a701-e203aced2b40,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S03,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q004,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,5c5c4c0d-12b8-41aa-90a3-5b4a21fc46e0,L07-S04,,CLOZE_SINGLE,Nadia présente Karim comme son compagnon. Complétez selon l’opposition du livre : « Karim est ___ ami. »,fr-FR,un,l’,cet,mon,fr-FR,D,"Dans l’opposition donnée par le livre, « mon ami » peut désigner le compagnon, tandis que « un ami » renvoie normalement à une relation amicale.",Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,"Correct : Dans l’opposition donnée par le livre, « mon ami » peut désigner le compagnon, tandis que « un ami » renvoie normalement à une relation amicale.",fr-FR,0617c4ad-c364-5580-8298-d58179f55b86,82e1b915-3396-512d-b119-9009f1a4d434,2a974058-0054-5f35-88a7-12d333d81967,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S04,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q005,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_SINGLE,Complétez : « Le fils de ma fille est mon ___. »,fr-FR,petit-fils,neveu,grand-père,petit-neveu,fr-FR,A,Le descendant de la génération suivante par son enfant est le « petit-fils » ; le livre emploie petit- pour certains descendants.,Correct : Le descendant de la génération suivante par son enfant est le « petit-fils » ; le livre emploie petit- pour certains descendants.,"Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.",fr-FR,,c9219f32-2c57-5a02-b29b-e9f73e82e24b,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q006,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_SINGLE,"Hugo est mon fils. Élise est la femme de Hugo. Sans changer de point de vue, Élise est ma ___.",fr-FR,belle-sœur,belle-fille,belle-mère,petite-fille,fr-FR,B,La femme du fils est la « belle-fille ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Correct : La femme du fils est la « belle-fille ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,VERY_HARD,3.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q007,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,,CLOZE_CONTEXT,Le nombre est précisé : « Il y a dix ___ dans la salle. »,fr-FR,mondes,gens,personnes,tout le monde,fr-FR,C,"Quand le nombre d’individus est déterminé et comptable, le livre emploie « personnes » : « dix personnes ».","Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.","Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.","Correct : Quand le nombre d’individus est déterminé et comptable, le livre emploie « personnes » : « dix personnes ».","Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte.",fr-FR,24b2a230-d8ff-5075-adb1-404774bc426a,2434f5de-cfe3-5a13-83e7-db35fdf33137,,bfd1fd88-415b-5ae9-a701-e203aced2b40,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S03,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q008,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,5c5c4c0d-12b8-41aa-90a3-5b4a21fc46e0,L07-S04,,CLOZE_CONTEXT,Claire dit : « Sofia est une amie. » Quelle interprétation correspond à l’opposition du livre ?,fr-FR,Sofia est sa sœur.,Sofia est sa compagne.,Sofia est sa mère.,Sofia est une relation amicale.,fr-FR,D,"Avec « une amie », le livre indique normalement une relation amicale.",Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné.,"Correct : Avec « une amie », le livre indique normalement une relation amicale.",fr-FR,0617c4ad-c364-5580-8298-d58179f55b86,82e1b915-3396-512d-b119-9009f1a4d434,2a974058-0054-5f35-88a7-12d333d81967,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S04,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q009,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,,CLOZE_CONTEXT,"Il ne s’agit ni de mon père ni de ma mère. Un oncle et une cousine venus de Lyon sont, au sens large, ___.",fr-FR,des parents,les parents,mes enfants,mes grands-parents,fr-FR,A,"Ici, « des parents » signifie des membres de la parenté autres que le père et la mère.","Correct : Ici, « des parents » signifie des membres de la parenté autres que le père et la mère.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.","Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.",fr-FR,,0444ff6a-95e2-55a2-b7fe-6ac0df3b8aa4,4064ac79-49b7-5841-9c37-2b09fdc2aa10,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S01,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B032-Q010,1,4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,L07,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,,CLOZE_CONTEXT,"Luc est le frère de mon mari. Dans ma relation avec Luc, c’est mon ___.",fr-FR,gendre,beau-frère,beau-père,petit-fils,fr-FR,B,Le frère du mari ou de la femme est le « beau-frère ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Correct : Le frère du mari ou de la femme est le « beau-frère ».,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit.,fr-FR,663c8d9f-4932-5fae-a3e4-1fab8ce35297,,1274d9ea-0884-5775-9f74-5de1a158b31a,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,MEDIUM,2.10,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 7; printed p. 38; PDF p. 40; Stage1 L07-S02,chatgpt-qb-runner-v1.0,,TAG005,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
