catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,cb28c5be-6afb-5244-8998-207aed7939a5,ca464ada-46fe-413a-b5ea-86e9b46350f7,L20-S01,B088-B092,GMP-FULL-B088-Q001,43,L20-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « être fier/fière de + chose », le complément introduit par « de » se reprend par « en » : « elle en est fière ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Dans « être satisfait de + chose », « en » reprend le complément en « de » : « ils en sont satisfaits ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». « Être content de + chose » appelle « en » pour reprendre le complément : « elle en est contente ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e02b4bae-260c-539e-9541-51bdf554b94b,ca464ada-46fe-413a-b5ea-86e9b46350f7,L20-S01,B088-B092,GMP-FULL-B088-Q001,43,L20-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « être fier/fière de + chose », le complément introduit par « de » se reprend par « en » : « elle en est fière ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Dans « être satisfait de + chose », « en » reprend le complément en « de » : « ils en sont satisfaits ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». « Être content de + chose » appelle « en » pour reprendre le complément : « elle en est contente ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,f9b2c2f4-eecb-54a7-b951-1c60884d7d03,ca464ada-46fe-413a-b5ea-86e9b46350f7,L20-S01,B088-B092,GMP-FULL-B088-Q001,43,L20-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « être fier/fière de + chose », le complément introduit par « de » se reprend par « en » : « elle en est fière ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Dans « être satisfait de + chose », « en » reprend le complément en « de » : « ils en sont satisfaits ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». « Être content de + chose » appelle « en » pour reprendre le complément : « elle en est contente ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2244a25b-405c-5a03-8b3a-eb33d11eaaa4,b6d899ef-5bd9-4fe9-b1a3-64ce4703fc62,L20-S02,B088-B092,GMP-FULL-B088-Q002,41,L20-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Un nom introduit par un partitif peut être repris par « en » : « j’en bois ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en mange. ». Le partitif « du fromage » se reprend par « en » placé avant le verbe : « j’en mange ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en ai trois. ». Même avec une quantité exprimée, « en » reste nécessaire et la quantité suit le verbe : « j’en ai trois ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,6417ef35-86fe-503a-8a39-69406737509d,b6d899ef-5bd9-4fe9-b1a3-64ce4703fc62,L20-S02,B088-B092,GMP-FULL-B088-Q002,38,L20-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Un nom introduit par un partitif peut être repris par « en » : « j’en bois ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en mange. ». Le partitif « du fromage » se reprend par « en » placé avant le verbe : « j’en mange ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en ai trois. ». Même avec une quantité exprimée, « en » reste nécessaire et la quantité suit le verbe : « j’en ai trois ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,cf01d355-7293-5cf4-8b83-047bc7caa6b9,b6d899ef-5bd9-4fe9-b1a3-64ce4703fc62,L20-S02,B088-B092,GMP-FULL-B088-Q002,41,L20-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Un nom introduit par un partitif peut être repris par « en » : « j’en bois ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en mange. ». Le partitif « du fromage » se reprend par « en » placé avant le verbe : « j’en mange ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « Oui, j’en ai trois. ». Même avec une quantité exprimée, « en » reste nécessaire et la quantité suit le verbe : « j’en ai trois ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0b4400a6-6b0e-5864-849e-d132fae0ba44,00ed869e-93f9-40b0-9ec0-321dcd6b278e,L20-S03,B088-B092,GMP-FULL-B088-Q003,43,L20-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « parler de + chose », on reprend le complément par « en » : « il en parle ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Le verbe « parler » se construit ici avec « de » et le complément est une chose ; la reprise correcte est « en ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « s’occuper de + chose », le complément se reprend par « en » : « il s’en occupe ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2bbea696-be2d-57c6-807d-6675dc3da165,00ed869e-93f9-40b0-9ec0-321dcd6b278e,L20-S03,B088-B092,GMP-FULL-B088-Q003,43,L20-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « parler de + chose », on reprend le complément par « en » : « il en parle ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Le verbe « parler » se construit ici avec « de » et le complément est une chose ; la reprise correcte est « en ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « s’occuper de + chose », le complément se reprend par « en » : « il s’en occupe ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,b0abdd92-27a8-554e-931f-bb03a0ed0a99,00ed869e-93f9-40b0-9ec0-321dcd6b278e,L20-S03,B088-B092,GMP-FULL-B088-Q003,43,L20-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « parler de + chose », on reprend le complément par « en » : « il en parle ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Le verbe « parler » se construit ici avec « de » et le complément est une chose ; la reprise correcte est « en ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Avec « s’occuper de + chose », le complément se reprend par « en » : « il s’en occupe ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,164039bf-ea21-5b5d-884e-d51c6808249b,3dea5185-7931-40ed-b50d-56f004a9d2ae,L20-S04,B088-B092,GMP-FULL-B088-Q004,43,L20-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L20-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B088–B092 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». « En » peut remplacer « de + nom de lieu » quand le complément indique l’origine : « nous en revenons ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Pour un lieu d’origine introduit par « de », « en » remplace le complément : « j’en viens ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « en ». Dans une construction de provenance comme « sortir de + lieu », « en » reprend le lieu d’origine. Cette extension suit la règle « de + nom de lieu ».",Question Bank B088-B092 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
